PathParameter	MeanPathLikelihood	MLContribution
0.0000	-42807	20.207
2.1715e-06	1.8654e+07	387.62
2.1888e-05	2.0666e+07	1295.8
8.4561e-05	2.0685e+07	2817.4
0.00022061	2.0731e+07	5053.6
0.00046416	2.0770e+07	8064.1
0.00085232	2.0781e+07	11897
0.0014248	2.0782e+07	16601
0.0022237	2.0782e+07	16029
0.0032929	9.2000e+06	6361.2
0.0046784	-17814	-30.868
0.0064280	-17472	-37.180
0.0085909	-16909	-44.018
0.011218	-16603	-51.835
0.014361	-16377	-60.688
0.018075	-16309	-70.620
0.022413	-16247	-81.424
0.027432	-16197	-92.974
0.033190	-16099	-105.34
0.039745	-16044	-118.32
0.047156	-15887	-131.93
0.055484	-15798	-145.77
0.064790	-15529	-159.79
0.075138	-15355	-175.21
0.086591	-15242	-191.81
0.099213	-15151	-208.91
0.11307	-15003	-226.82
0.12823	-14925	-246.08
0.14475	-14856	-265.40
0.16271	-14695	-285.51
0.18218	-14638	-306.80
0.20322	-14524	-328.84
0.22591	-14467	-352.47
0.25031	-14422	-376.92
0.27650	-14362	-402.26
0.30455	-14320	-428.76
0.33454	-14279	-456.24
0.36653	-14243	-484.86
0.40060	-14216	-514.48
0.43683	-14184	-545.18
0.47530	-14163	-576.88
0.51608	-14133	-609.65
0.55924	-14115	-643.63
0.60487	-14095	-678.63
0.65304	-14078	-714.56
0.70384	-14055	-751.57
0.75734	-14041	-790.00
0.81363	-14031	-829.62
0.87278	-14021	-870.24
0.93488	-14008	-912.01
1.0000	-14000	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 54223.290718090204

Inner area for path parameter in (2.1715e-06,0.93488) = 54203
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-17841	-0.091097
2.1715e-06	2.0679e+07	404.78
2.1888e-05	2.0697e+07	1295.8
8.4561e-05	2.0740e+07	2818.0
0.00022061	2.0765e+07	5054.5
0.00046416	2.0782e+07	8064.5
0.00085232	2.0782e+07	11897
0.0014248	2.0782e+07	16601
0.0022237	2.0782e+07	22221
0.0032929	2.0782e+07	28793
0.0046784	-16975	-30.934
0.0064280	-16337	-37.419
0.0085909	-16252	-43.898
0.011218	-16184	-51.966
0.014361	-16118	-60.687
0.018075	-16049	-70.579
0.022413	-16034	-81.343
0.027432	-15929	-93.062
0.033190	-15883	-105.27
0.039745	-15796	-118.54
0.047156	-15646	-131.94
0.055484	-15520	-146.32
0.064790	-15245	-159.93
0.075138	-15176	-175.27
0.086591	-15029	-191.56
0.099213	-14960	-209.25
0.11307	-14831	-226.73
0.12823	-14673	-245.50
0.14475	-14693	-266.06
0.16271	-14471	-284.84
0.18218	-14560	-307.65
0.20322	-14420	-328.90
0.22591	-14317	-352.07
0.25031	-14358	-377.39
0.27650	-14269	-402.22
0.30455	-14220	-428.65
0.33454	-14208	-456.32
0.36653	-14152	-484.74
0.40060	-14160	-514.55
0.43683	-14139	-545.15
0.47530	-14113	-576.98
0.51608	-14075	-609.46
0.55924	-14068	-643.47
0.60487	-14047	-678.60
0.65304	-14039	-714.75
0.70384	-14023	-751.73
0.75734	-14012	-789.95
0.81363	-14007	-829.68
0.87278	-13989	-870.27
0.93488	-13974	-911.90
1.0000	-13977	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 82844.27389576257
