# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 04:06:50 AEST 2020 [seed=1595614010062]
# -threads 8 xml/biphone_binary_CSGS_2020-07-23_ch2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-22852.125279115044	-904.3839193507408	-21947.741359764303	3608.228247020716	3608.228247020716	17845.2741334235	0.0	7.331093859185465	39.54744839621426	48.74563161419497	92.91353678392576	102.3624235700368	80.40318246147469	235.81628342111642	241.6447229009794	107.26494021195548	241.20358303782137	214.97075807374287	155.7432986004379	48.58637910372952	72.9845743901183	122.60416215880537	82.18703186464145	3500.0	134.77079649132517	0.0	7.331093859185465	39.54744839621426	48.74563161419497	92.91353678392576	102.3624235700368	80.40318246147469	235.81628342111642	241.6447229009794	107.26494021195548	241.20358303782137	214.97075807374287	155.7432986004379	48.58637910372952	72.9845743901183	122.60416215880537	82.18703186464145	3500.0	134.77079649132517	0.001	0.0	0.366	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.001	9.999999999999998E-4	-21947.741359764303	0.0	-882.6744265939509
10000	-15604.496388592133	-811.7849383450679	-14792.711450247065	3718.0480012457224	3718.0480012457224	48545.433237202	0.0	43.5597409079245	185.75189244333006	457.9881252015268	203.52615161346114	278.2196443190192	255.9064195539631	310.1717218058663	560.0312710772546	521.2853241052621	301.02266647074333	636.7422493590307	847.0793365638934	280.7217859160462	347.11265156084545	664.4241182731452	434.6470210498019	3392.804103067129	524.0461779654454	0.0	43.5597409079245	185.75189244333006	457.9881252015268	203.52615161346114	278.2196443190192	255.9064195539631	310.1717218058663	560.0312710772546	521.2853241052621	301.02266647074333	636.7422493590307	847.0793365638934	280.7217859160462	347.11265156084545	664.4241182731452	434.6470210498019	3392.804103067129	524.0461779654454	0.003657479975440594	0.0	0.366	0.009858365049568139	0.20641520611594433	0.6911473964097962	0.3088526035902039	0.5	0.5	0.5589216324131797	3.431667768083036E-4	3.431667768083034E-4	-14792.711450247065	0.0	-791.3232506807062
20000	-15329.168813794375	-941.7955060639457	-14387.37330773043	5972.846764918124	5972.846764918124	181867.95126393155	0.0	75.56751970809934	1558.9655758781762	1070.7756981034286	845.8946821585132	1094.6189460273465	987.901694623483	1186.470575278106	2413.462074718268	1734.8928911803887	1052.6173169248334	2584.624107633953	3822.494030201489	1033.668522640381	1185.4883111127372	2001.0506979645024	2046.1371711333568	3529.3513805584225	2530.4937538404415	0.0	75.56751970809934	1558.9655758781762	1070.7756981034286	845.8946821585132	1094.6189460273465	987.901694623483	1186.470575278106	2413.462074718268	1734.8928911803887	1052.6173169248334	2584.624107633953	3822.494030201489	1033.668522640381	1185.4883111127372	2001.0506979645024	2046.1371711333568	3529.3513805584225	2530.4937538404415	0.001029428603571095	0.0	0.366	1.4152044028858363E-4	0.19226785728908907	0.6877414024064515	0.3122585975935489	0.5	0.5	0.7783788993145617	7.605176729541193E-5	7.605176729541195E-5	-14387.37330773043	0.0	-924.8825642365641
30000	-15297.705020402153	-980.555311240842	-14317.149709161311	7615.389013328375	7615.389013328375	253201.51995175853	0.0	142.77529088482683	1869.940563536677	2013.1060016627373	1341.9870421240307	1548.6282144719478	1324.3378346826753	1750.1257885853465	2672.432270970647	2127.500677381616	1466.2709044254887	3556.684033307439	6064.148680614624	1892.3030617572551	1391.6701754878095	3091.083879218335	2537.5032671590043	3184.3818465311983	3157.918270684357	0.0	142.77529088482683	1869.940563536677	2013.1060016627373	1341.9870421240307	1548.6282144719478	1324.3378346826753	1750.1257885853465	2672.432270970647	2127.500677381616	1466.2709044254887	3556.684033307439	6064.148680614624	1892.3030617572551	1391.6701754878095	3091.083879218335	2537.5032671590043	3184.3818465311983	3157.918270684357	7.010838530935872E-4	0.0	0.366	0.002437677284526458	0.1998296900443104	0.6824714081740032	0.3175285918259973	0.5	0.5	1.1581007186440453	5.22861766610463E-5	5.2286176661046306E-5	-14317.149709161311	0.0	-959.6599155205602
40000	-15286.45119863415	-964.6199165289011	-14321.831282105248	6279.4204991293445	6279.4204991293445	229864.25492024387	0.0	242.21543210207255	1997.8082501877482	1723.3064587030403	805.6213895918022	1407.7146172487596	1190.1110717830886	1483.8885036671145	2335.7387866218414	2209.8251443775052	1534.5872422956686	3449.414684122763	5538.285294708793	1442.8306564828038	1443.6814090136859	2856.90714126411	1925.8170751699454	3069.395737991431	2950.71106086693	0.0	242.21543210207255	1997.8082501877482	1723.3064587030403	805.6213895918022	1407.7146172487596	1190.1110717830886	1483.8885036671145	2335.7387866218414	2209.8251443775052	1534.5872422956686	3449.414684122763	5538.285294708793	1442.8306564828038	1443.6814090136859	2856.90714126411	1925.8170751699454	3069.395737991431	2950.71106086693	8.137625154651304E-4	0.0	0.366	0.0015334937732851934	0.23454687995108184	0.6900069130747826	0.3099930869252177	0.5	0.5	0.8946815488300199	5.35366457324226E-5	5.3536645732422635E-5	-14321.831282105248	0.0	-946.3379002109102
50000	-15305.340563400647	-992.1087617126391	-14313.231801688007	7659.383271869702	7659.383271869702	285749.3537309185	0.0	302.862397400618	2213.8160624970183	3177.876014573109	1055.1632230235036	1695.2938367799711	1482.6149692021036	1917.503936918862	3001.3500063003185	2251.098140292479	1859.103514667788	4197.444195197516	6518.875121887602	1837.7110972964977	1620.5462508309122	3058.8004907957716	3080.175625252537	3156.076063532962	3334.3655455132202	0.0	302.862397400618	2213.8160624970183	3177.876014573109	1055.1632230235036	1695.2938367799711	1482.6149692021036	1917.503936918862	3001.3500063003185	2251.098140292479	1859.103514667788	4197.444195197516	6518.875121887602	1837.7110972964977	1620.5462508309122	3058.8004907957716	3080.175625252537	3156.076063532962	3334.3655455132202	6.685983667946875E-4	0.0	0.366	3.1017900180159555E-4	0.19475475042083393	0.684652711899707	0.31534728810029294	0.5	0.5	1.1865813256250013	4.362696888544985E-5	4.362696888544987E-5	-14313.231801688007	0.0	-970.9411004078347
60000	-15294.701033158046	-992.0257463362585	-14302.675286821788	8135.971344349326	8135.971344349326	278280.44744094985	0.0	296.73844593267216	2716.9981466816216	2462.3618544821725	944.6179617958093	1570.21094285818	1318.8556088679293	1937.101409552961	3073.3146693103226	2579.461672845839	2026.2399020635587	3860.43209259607	6334.062680876199	1990.8218413562179	1605.3138309311398	2515.247997524205	2880.072018410446	3079.2542717501456	3561.8099707616266	0.0	296.73844593267216	2716.9981466816216	2462.3618544821725	944.6179617958093	1570.21094285818	1318.8556088679293	1937.101409552961	3073.3146693103226	2579.461672845839	2026.2399020635587	3860.43209259607	6334.062680876199	1990.8218413562179	1605.3138309311398	2515.247997524205	2880.072018410446	3079.2542717501456	3561.8099707616266	6.459132006810955E-4	0.0	0.366	3.337476160142352E-5	0.21133729212015315	0.6982336598698262	0.30176634013017367	0.5	0.5	1.0745856468260109	4.5452101155918465E-5	4.5452101155918444E-5	-14302.675286821788	0.0	-968.6550324492057
70000	-15318.347576187156	-994.3516549023188	-14323.995921284837	8016.789761814274	8016.789761814274	288942.5629948737	0.0	137.9172589703306	2857.485108255114	1810.131298534031	931.3230238529806	1973.820249091491	1304.4861308013649	1797.31965726401	2846.379685323187	2604.2583312442416	2311.264792820898	4095.1368056468386	6441.798054886066	2408.603373358062	1633.599349621896	3692.533590655402	3169.387168545636	3098.09866861084	2617.610994958266	0.0	137.9172589703306	2857.485108255114	1810.131298534031	931.3230238529806	1973.820249091491	1304.4861308013649	1797.31965726401	2846.379685323187	2604.2583312442416	2311.264792820898	4095.1368056468386	6441.798054886066	2408.603373358062	1633.599349621896	3692.533590655402	3169.387168545636	3098.09866861084	2617.610994958266	5.853783243246878E-4	0.0	0.366	0.007241494877501482	0.18054052570542137	0.6996948924691071	0.300305107530893	0.5	0.5	1.1675561230245421	4.4559484514608486E-5	4.4559484514608466E-5	-14323.995921284837	0.0	-971.6196449018204
80000	-15284.338420471391	-986.8691573530263	-14297.469263118364	7241.214833326992	7241.214833326992	276272.6856569458	0.0	247.0661362881119	2817.965551600156	2114.0777274247557	927.1796217439187	1683.070264734842	1308.001208648927	1632.0688552576878	3431.142481424041	2823.3510497923785	2077.0638232693414	3724.7869330542667	6058.211071420758	1954.7524850253424	1458.9157804760857	2308.3685963466005	2747.2865638611333	3386.1001568217653	3437.4357612265376	0.0	247.0661362881119	2817.965551600156	2114.0777274247557	927.1796217439187	1683.070264734842	1308.001208648927	1632.0688552576878	3431.142481424041	2823.3510497923785	2077.0638232693414	3724.7869330542667	6058.211071420758	1954.7524850253424	1458.9157804760857	2308.3685963466005	2747.2865638611333	3386.1001568217653	3437.4357612265376	6.44054356837619E-4	0.0	0.366	0.0017978110111361075	0.20072380413970237	0.690291331952892	0.3097086680471078	0.5	0.5	1.1372816008462185	4.519238039180055E-5	4.519238039180054E-5	-14297.469263118364	0.0	-967.3378945500231
90000	-15283.311549832937	-974.4750892726386	-14308.836460560298	7107.909978852421	7107.909978852421	248898.62515814655	0.0	310.8246724750608	2538.4177046107075	2995.0002689727494	951.375498688279	1399.809140321205	1329.1143684192962	1785.634644658851	2729.3920663435224	2406.2018345230945	1993.621510876563	3165.5876881640597	5849.494278626905	1845.282820563532	1483.9343056131374	2890.6393182382667	2205.0077850019575	3053.8093995457416	3162.88882801283	0.0	310.8246724750608	2538.4177046107075	2995.0002689727494	951.375498688279	1399.809140321205	1329.1143684192962	1785.634644658851	2729.3920663435224	2406.2018345230945	1993.621510876563	3165.5876881640597	5849.494278626905	1845.282820563532	1483.9343056131374	2890.6393182382667	2205.0077850019575	3053.8093995457416	3162.88882801283	7.721947756440652E-4	0.0	0.366	0.0030723938457863165	0.20975992455358852	0.6845170332643966	0.31548296673560283	0.5	0.5	0.9500317869965748	5.5454477069349216E-5	5.545447706934922E-5	-14308.836460560298	0.0	-954.5766406468335
