PathParameter	MeanPathLikelihood	MLContribution
0.0000	-38207	18.418
2.1715e-06	1.7002e+07	351.97
2.1888e-05	1.8702e+07	1172.2
8.4561e-05	1.8703e+07	2544.5
0.00022061	1.8702e+07	4554.9
0.00046416	1.8703e+07	7259.8
0.00085232	1.8703e+07	10707
0.0014248	1.8703e+07	14941
0.0022237	1.8703e+07	19998
0.0032929	1.8704e+07	25915
0.0046784	1.8704e+07	32723
0.0064280	1.8704e+07	24094
0.0085909	3.5761e+06	4675.3
0.011218	-16632	-51.858
0.014361	-16363	-60.666
0.018075	-16311	-70.582
0.022413	-16228	-81.099
0.027432	-16087	-92.590
0.033190	-16075	-104.87
0.039745	-15925	-117.72
0.047156	-15845	-130.99
0.055484	-15614	-144.85
0.064790	-15516	-159.76
0.075138	-15362	-175.15
0.086591	-15225	-191.47
0.099213	-15114	-208.94
0.11307	-15043	-227.44
0.12823	-14966	-246.41
0.14475	-14855	-266.11
0.16271	-14775	-287.27
0.18218	-14738	-309.41
0.20322	-14672	-332.39
0.22591	-14631	-356.60
0.25031	-14596	-381.66
0.27650	-14550	-407.60
0.30455	-14513	-434.77
0.33454	-14488	-463.01
0.36653	-14458	-492.20
0.40060	-14432	-522.59
0.43683	-14415	-554.30
0.47530	-14405	-587.09
0.51608	-14390	-620.76
0.55924	-14372	-655.50
0.60487	-14359	-691.35
0.65304	-14343	-728.52
0.70384	-14340	-766.94
0.75734	-14330	-806.20
0.81363	-14317	-846.77
0.87278	-14314	-888.54
0.93488	-14304	-931.22
1.0000	-14294	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 134560.5798410388

Inner area for path parameter in (2.1715e-06,0.93488) = 1.3454e+05
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-18174	-0.082460
2.1715e-06	1.8704e+07	367.31
2.1888e-05	1.8704e+07	1172.1
8.4561e-05	1.8704e+07	2544.6
0.00022061	1.8704e+07	4554.9
0.00046416	1.8704e+07	7259.8
0.00085232	1.8704e+07	10708
0.0014248	1.8704e+07	14941
0.0022237	1.8704e+07	19998
0.0032929	1.8704e+07	25915
0.0046784	1.8704e+07	32723
0.0064280	1.8704e+07	40454
0.0085909	1.8704e+07	49132
0.011218	-16080	-51.874
0.014361	-16073	-60.582
0.018075	-16055	-70.640
0.022413	-15952	-81.268
0.027432	-15812	-92.417
0.033190	-15795	-105.15
0.039745	-15725	-117.73
0.047156	-15457	-131.13
0.055484	-15340	-144.68
0.064790	-15089	-159.35
0.075138	-15183	-175.40
0.086591	-15009	-191.60
0.099213	-14950	-208.80
0.11307	-14836	-227.13
0.12823	-14779	-246.35
0.14475	-14716	-266.17
0.16271	-14644	-286.97
0.18218	-14634	-309.58
0.20322	-14578	-332.39
0.22591	-14534	-356.51
0.25031	-14513	-381.88
0.27650	-14458	-407.45
0.30455	-14444	-434.68
0.33454	-14418	-463.01
0.36653	-14414	-492.33
0.40060	-14382	-522.51
0.43683	-14370	-554.19
0.47530	-14367	-587.11
0.51608	-14351	-620.82
0.55924	-14338	-655.51
0.60487	-14332	-691.48
0.65304	-14307	-728.35
0.70384	-14309	-766.96
0.75734	-14301	-806.26
0.81363	-14293	-846.64
0.87278	-14294	-888.71
0.93488	-14283	-931.33
1.0000	-14277	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 195374.1043160137
