# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 01:14:04 AEST 2020 [seed=1595603643764]
# -threads 8 xml/biphone_binary_CSHR_2020-07-23_ch1.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-41802.54540160679	-2102.6217762665315	-39699.923625340256	3569.699784385485	3569.699784385485	18765.32536878001	0.0	10.534311378489045	245.3004216782992	8.164643654983148	18.22812424902391	168.433860671439	170.61233682218284	97.505170077566	274.9244659566619	249.7731417476317	344.7192283778629	297.59630606129895	111.2639919191107	4.915309702361577	106.45036780914572	121.027096825251	147.61892870741627	3500.0	66.45337296833546	0.0	10.534311378489045	245.3004216782992	8.164643654983148	18.22812424902391	168.433860671439	170.61233682218284	97.505170077566	274.9244659566619	249.7731417476317	344.7192283778629	297.59630606129895	111.2639919191107	4.915309702361577	106.45036780914572	121.027096825251	147.61892870741627	3500.0	66.45337296833546	0.001	0.0	0.366	0.5	0.5	0.5	0.5	0.5	0.5	0.001	0.1	0.002310848663203567	7.074289015064632	-0.001873221641712941	-39699.923625340256	-1199.394378775646	-882.4849153538692
10000	-16900.849453033927	-1997.4110992217686	-14903.438353812156	5095.1391699803735	5095.1391699803735	30712.866642746427	0.0	4.440889235553639	324.20231654638957	27.94758080878494	8.95776245024557	129.70691512431102	122.27696232497699	115.77929938238624	485.16875498758384	17.38199643737693	547.3206455156695	439.5007367516403	187.59522522704071	46.676491921288964	228.47975231852118	141.54103155168866	284.9178644079212	5089.3575529189475	134.7422832717261	0.0	4.440889235553639	324.20231654638957	27.94758080878494	8.95776245024557	129.70691512431102	122.27696232497699	115.77929938238624	485.16875498758384	17.38199643737693	547.3206455156695	439.5007367516403	187.59522522704071	46.676491921288964	228.47975231852118	141.54103155168866	284.9178644079212	5089.3575529189475	134.7422832717261	0.005202547379395298	0.0	0.366	1.3578415170587547E-4	0.09882156037618908	0.6594616047010903	0.34053839529890934	0.5	0.5	0.005032924517623328	0.024985765429048533	6.317367764400544E-4	3.132586818786407	-0.019949777241300294	-14903.438353812156	-1199.394378775646	-780.8675664320754
20000	-16561.286261197238	-1988.914766380793	-14572.371494816445	4312.142948124687	4312.142948124687	32161.87738267136	0.0	4.613107300034966	216.66950108030966	78.98562771231248	14.40325910768383	163.21585736182757	149.8402000005914	43.78717184541798	583.3414117711269	20.316248977647966	518.7736312285156	793.4719998526027	209.00998559847378	101.7133950978164	296.0450968540588	158.5638446244615	313.37453612559835	3409.341298846881	141.29708914486164	0.0	4.613107300034966	216.66950108030966	78.98562771231248	14.40325910768383	163.21585736182757	149.8402000005914	43.78717184541798	583.3414117711269	20.316248977647966	518.7736312285156	793.4719998526027	209.00998559847378	101.7133950978164	296.0450968540588	158.5638446244615	313.37453612559835	3409.341298846881	141.29708914486164	0.005028669306855334	0.0	0.366	5.603737517752293E-4	0.11705560010595155	0.6551077288510158	0.34489227114898363	0.5	0.5	0.004265622781545509	0.027886171733264492	5.609198068399666E-4	3.498913982930952	-0.011345699580006027	-14572.371494816445	-1199.394378775646	-773.6023648107087
30000	-16480.479419249164	-2001.69175842639	-14478.787660822776	3971.2104090728667	3971.2104090728667	38864.022556658274	0.0	3.809120274005171	378.5234562198624	99.03113153042553	19.95691257834261	219.3117626469228	204.73091966077126	62.02951045778329	645.6170742972392	21.919183666643058	708.3876353475024	976.8169500101926	301.42175233577547	212.8015381504392	437.9284639777132	267.82846266282314	429.3198458919537	3451.318212490512	191.0452934436158	0.0	3.809120274005171	378.5234562198624	99.03113153042553	19.95691257834261	219.3117626469228	204.73091966077126	62.02951045778329	645.6170742972392	21.919183666643058	708.3876353475024	976.8169500101926	301.42175233577547	212.8015381504392	437.9284639777132	267.82846266282314	429.3198458919537	3451.318212490512	191.0452934436158	0.004580814426938041	0.0	0.366	2.8786405908127685E-4	0.11870026374628015	0.6407252678688655	0.35927473213113437	0.5	0.5	0.0030822013217331004	0.023592911613341573	4.521068567719167E-4	3.757882798389057	-0.007081704324918183	-14478.787660822776	-1199.394378775646	-785.3796624003429
40000	-16425.68712430156	-2023.5914264752423	-14402.095697826318	3806.4655289675297	3806.4655289675297	48903.34940297764	0.0	8.162305172682249	269.27249916457487	146.475359028726	35.91017983982978	302.78953593895653	281.2248895767747	97.10594808010558	897.637013439355	29.31151605417164	892.5613225442582	1302.7150050653167	489.017631597177	266.3416371706335	444.46284217013266	229.20890630972346	880.8475876440613	3543.6947390522587	289.89904497162973	0.0	8.162305172682249	269.27249916457487	146.475359028726	35.91017983982978	302.78953593895653	281.2248895767747	97.10594808010558	897.637013439355	29.31151605417164	892.5613225442582	1302.7150050653167	489.017631597177	266.3416371706335	444.46284217013266	229.20890630972346	880.8475876440613	3543.6947390522587	289.89904497162973	0.0033971644150401605	0.0	0.366	2.2470900887491056E-4	0.11807011706009585	0.6573360002153905	0.3426639997846092	0.5	0.5	0.0022829621830493803	0.017799014966941983	3.4599433610191905E-4	2.577338670013349	0.05511761719443615	-14402.095697826318	-1199.394378775646	-806.7702134017545
50000	-16402.165123576026	-2033.8966614378262	-14368.268462138198	4009.3453125126084	4009.3453125126084	56119.49532850507	0.0	5.9905904681852125	421.2629660372884	144.4208100649861	58.236239365286934	377.4244034522625	358.3440817680153	114.1793783117106	774.6184349993788	36.93213420797548	667.799469887587	1667.1522318521318	609.2177844116856	239.67608434007087	455.618432276455	358.95071745546113	953.984201660602	3440.23712044606	282.43946252909257	0.0	5.9905904681852125	421.2629660372884	144.4208100649861	58.236239365286934	377.4244034522625	358.3440817680153	114.1793783117106	774.6184349993788	36.93213420797548	667.799469887587	1667.1522318521318	609.2177844116856	239.67608434007087	455.618432276455	358.95071745546113	953.984201660602	3440.23712044606	282.43946252909257	0.002883855887283171	0.0	0.366	4.023331846915554E-4	0.1124221839378008	0.6643217887973454	0.3356782112026542	0.5	0.5	0.0017901295683694115	0.013833058258987561	3.0146372522533126E-4	2.622160713595818	0.05339744183165042	-14368.268462138198	-1199.394378775646	-818.0430421886431
60000	-16369.187498177722	-2044.2348925888862	-14324.952605588836	3514.7697992595427	3514.7697992595427	62312.65472174678	0.0	14.37042883367266	532.5219759453158	263.92394573999223	52.35851915132382	591.4944103589227	345.03514823246724	125.76752745796158	732.972954712433	37.96273078076871	1064.7643340209845	1716.5728380406283	667.6714547651435	750.780680728628	881.9580456687918	285.37900996881865	980.9481417143344	3148.076888806249	345.81813112793145	0.0	14.37042883367266	532.5219759453158	263.92394573999223	52.35851915132382	591.4944103589227	345.03514823246724	125.76752745796158	732.972954712433	37.96273078076871	1064.7643340209845	1716.5728380406283	667.6714547651435	750.780680728628	881.9580456687918	285.37900996881865	980.9481417143344	3148.076888806249	345.81813112793145	0.002304308141951349	0.0	0.366	0.0015329113941231212	0.1376090043632773	0.6586571679765598	0.3413428320234401	0.5	0.5	0.0017898320461050908	0.01707163041051276	2.5885800000247425E-4	2.8719045003246446	0.05674880620219038	-14324.952605588836	-1199.394378775646	-825.9225865714866
70000	-16377.703747244575	-2061.135449897855	-14316.568297346721	4406.502878837955	4406.502878837955	76482.6743881847	0.0	18.681955510637923	1150.8128399840841	263.6502201548815	59.58559540827003	693.3202925583352	510.7827961607565	150.37528102761382	1019.3192272355366	51.57232679872284	950.1539280327314	2457.192986334627	848.4650825963176	905.8696130878695	588.7002952039388	402.64535931954987	1136.754182638709	3427.9577906160675	456.37021973750694	0.0	18.681955510637923	1150.8128399840841	263.6502201548815	59.58559540827003	693.3202925583352	510.7827961607565	150.37528102761382	1019.3192272355366	51.57232679872284	950.1539280327314	2457.192986334627	848.4650825963176	905.8696130878695	588.7002952039388	402.64535931954987	1136.754182638709	3427.9577906160675	456.37021973750694	0.002428191425801987	0.0	0.366	2.9837794183483604E-4	0.1450020527273116	0.6600793695090312	0.3399206304909686	0.5	0.5	0.0013526486953296447	0.011975331212755637	2.1386394368277147E-4	2.7457853043731646	0.04372132695578054	-14316.568297346721	-1199.394378775646	-846.2938139995607
80000	-16399.723396691727	-2080.8150793703517	-14318.908317321377	4799.120135557475	4799.120135557475	91872.7686668019	0.0	17.333793716916855	1453.4174822741784	226.1559197887929	94.2771644604711	904.86615133065	585.3304330018465	184.38284386426545	1341.269571800299	45.173781767621826	1355.799735131067	2810.5377045884934	1062.0828253163186	1304.8427811569768	890.0734981008491	573.5830159848495	1283.8336028055478	3519.822241452739	557.2021020897193	0.0	17.333793716916855	1453.4174822741784	226.1559197887929	94.2771644604711	904.86615133065	585.3304330018465	184.38284386426545	1341.269571800299	45.173781767621826	1355.799735131067	2810.5377045884934	1062.0828253163186	1304.8427811569768	890.0734981008491	573.5830159848495	1283.8336028055478	3519.822241452739	557.2021020897193	0.0015677339792315897	0.0	0.366	9.645870788728338E-4	0.13037186470483442	0.6506950628939129	0.34930493710608723	0.5	0.5	0.0010632459930925901	0.009677184301568874	1.7242337765558034E-4	2.8033708499156935	0.046116999392082164	-14318.908317321377	-1199.394378775646	-866.9940418388926
90000	-16381.652100859304	-2088.227194818281	-14293.424906041024	4318.348211700055	4318.348211700055	101612.96955460234	0.0	21.287445565317785	1548.9652507079122	353.9570466354639	85.72700791516016	872.7449624471444	645.0493361234662	210.9464492062023	1384.7816558661	46.059920177838194	1660.1613924336655	2637.4241633242345	1165.7013685780357	1552.1596085214376	858.3201307635967	639.7436553422054	1419.9034491569198	3276.5311868453023	864.6745773983674	0.0	21.287445565317785	1548.9652507079122	353.9570466354639	85.72700791516016	872.7449624471444	645.0493361234662	210.9464492062023	1384.7816558661	46.059920177838194	1660.1613924336655	2637.4241633242345	1165.7013685780357	1552.1596085214376	858.3201307635967	639.7436553422054	1419.9034491569198	3276.5311868453023	864.6745773983674	0.0016183439607153354	0.0	0.366	0.0010677251061684807	0.13308457087083245	0.6509192502948766	0.34908074970512304	0.5	0.5	9.628704586188816E-4	0.008586150487614548	1.599896476836842E-4	2.8293118983854404	0.04764981934093807	-14293.424906041024	-1199.394378775646	-873.3790535147463
