PathParameter	MeanPathLikelihood	MLContribution
0.0000	-51035	23.618
2.1715e-06	2.1803e+07	429.87
2.1888e-05	2.1803e+07	1366.5
8.4561e-05	2.1804e+07	2664.4
0.00022061	1.7363e+07	2111.3
0.00046416	-25248	-8.7433
0.00085232	-19801	-10.973
0.0014248	-18533	-14.450
0.0022237	-17645	-18.699
0.0032929	-17331	-23.939
0.0046784	-17224	-29.952
0.0064280	-17015	-36.678
0.0085909	-16900	-44.293
0.011218	-16821	-52.703
0.014361	-16712	-61.989
0.018075	-16675	-72.234
0.022413	-16626	-82.919
0.027432	-16414	-93.673
0.033190	-16124	-105.12
0.039745	-15951	-117.72
0.047156	-15818	-131.29
0.055484	-15713	-145.73
0.064790	-15606	-160.89
0.075138	-15490	-176.34
0.086591	-15304	-192.69
0.099213	-15228	-210.32
0.11307	-15128	-228.72
0.12823	-15051	-247.76
0.14475	-14934	-267.45
0.16271	-14846	-288.23
0.18218	-14767	-309.89
0.20322	-14688	-332.62
0.22591	-14635	-356.11
0.25031	-14552	-380.29
0.27650	-14489	-406.03
0.30455	-14461	-432.94
0.33454	-14417	-460.65
0.36653	-14381	-489.64
0.40060	-14359	-519.73
0.43683	-14331	-550.53
0.47530	-14294	-582.51
0.51608	-14277	-615.93
0.55924	-14262	-650.11
0.60487	-14233	-685.15
0.65304	-14211	-721.60
0.70384	-14200	-759.16
0.75734	-14179	-797.78
0.81363	-14168	-837.64
0.87278	-14154	-878.57
0.93488	-14143	-920.63
1.0000	-14130	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -7915.311668963836

Inner area for path parameter in (2.1715e-06,0.93488) = -7938.9
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-38203	-0.11030
2.1715e-06	2.1805e+07	429.88
2.1888e-05	2.1805e+07	1366.5
8.4561e-05	2.1805e+07	2966.6
0.00022061	2.1805e+07	5309.9
0.00046416	-17027	-8.3818
0.00085232	-16942	-10.756
0.0014248	-17044	-14.505
0.0022237	-16820	-18.690
0.0032929	-16705	-23.893
0.0046784	-16684	-29.975
0.0064280	-16575	-36.682
0.0085909	-16555	-44.269
0.011218	-16448	-52.728
0.014361	-16353	-61.943
0.018075	-16363	-72.203
0.022413	-16389	-83.250
0.027432	-15958	-93.868
0.033190	-15812	-105.27
0.039745	-15705	-117.84
0.047156	-15492	-130.92
0.055484	-15390	-145.46
0.064790	-15366	-160.82
0.075138	-15226	-176.55
0.086591	-15136	-192.50
0.099213	-14999	-210.06
0.11307	-14964	-228.54
0.12823	-14933	-248.30
0.14475	-14805	-267.66
0.16271	-14639	-287.82
0.18218	-14652	-310.07
0.20322	-14523	-332.26
0.22591	-14535	-356.50
0.25031	-14437	-380.45
0.27650	-14391	-405.86
0.30455	-14380	-433.03
0.33454	-14356	-460.71
0.36653	-14319	-489.48
0.40060	-14290	-519.74
0.43683	-14272	-550.76
0.47530	-14239	-582.26
0.51608	-14235	-615.77
0.55924	-14204	-650.27
0.60487	-14194	-685.29
0.65304	-14160	-721.32
0.70384	-14156	-759.24
0.75734	-14148	-797.82
0.81363	-14135	-837.62
0.87278	-14128	-878.54
0.93488	-14114	-920.70
1.0000	-14106	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -4437.828559852652
