PathParameter	MeanPathLikelihood	MLContribution
0.0000	-57575	22.108
2.1715e-06	2.0419e+07	402.61
2.1888e-05	2.0421e+07	1279.9
8.4561e-05	2.0421e+07	2778.4
0.00022061	2.0421e+07	3945.7
0.00046416	1.1981e+07	2321.7
0.00085232	-18751	-10.571
0.0014248	-18180	-14.444
0.0022237	-17983	-18.991
0.0032929	-17541	-24.340
0.0046784	-17594	-30.308
0.0064280	-17053	-36.669
0.0085909	-16855	-44.211
0.011218	-16804	-52.749
0.014361	-16758	-62.003
0.018075	-16637	-71.784
0.022413	-16456	-82.231
0.027432	-16309	-93.446
0.033190	-16150	-105.39
0.039745	-16008	-117.99
0.047156	-15835	-131.42
0.055484	-15727	-145.91
0.064790	-15628	-160.82
0.075138	-15454	-176.39
0.086591	-15349	-192.95
0.099213	-15225	-210.26
0.11307	-15123	-228.46
0.12823	-15021	-247.75
0.14475	-14962	-268.18
0.16271	-14898	-289.20
0.18218	-14814	-311.33
0.20322	-14778	-334.74
0.22591	-14733	-359.03
0.25031	-14693	-384.31
0.27650	-14655	-410.66
0.30455	-14626	-438.15
0.33454	-14600	-466.54
0.36653	-14566	-495.93
0.40060	-14543	-526.74
0.43683	-14533	-558.62
0.47530	-14512	-591.32
0.51608	-14491	-625.32
0.55924	-14483	-660.54
0.60487	-14469	-696.87
0.65304	-14462	-734.23
0.70384	-14445	-772.67
0.75734	-14439	-812.45
0.81363	-14430	-853.34
0.87278	-14423	-895.39
0.93488	-14415	-938.65
1.0000	-14411	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -3932.932968821589

Inner area for path parameter in (2.1715e-06,0.93488) = -3955.0
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-38222	-0.12353
2.1715e-06	2.0422e+07	402.60
2.1888e-05	2.0422e+07	1279.9
8.4561e-05	2.0422e+07	2778.3
0.00022061	2.0422e+07	4973.5
0.00046416	2.0422e+07	7926.0
0.00085232	-16875	-10.531
0.0014248	-16756	-14.317
0.0022237	-16844	-19.025
0.0032929	-16532	-24.093
0.0046784	-16782	-30.561
0.0064280	-16587	-36.716
0.0085909	-16420	-44.162
0.011218	-16441	-52.721
0.014361	-16502	-62.066
0.018075	-16322	-72.014
0.022413	-16003	-82.154
0.027432	-15892	-93.474
0.033190	-15830	-105.51
0.039745	-15762	-118.27
0.047156	-15619	-131.40
0.055484	-15545	-145.88
0.064790	-15332	-160.87
0.075138	-15252	-176.45
0.086591	-15141	-193.08
0.099213	-15064	-210.38
0.11307	-14977	-228.73
0.12823	-14882	-247.75
0.14475	-14794	-268.03
0.16271	-14794	-289.55
0.18218	-14704	-311.27
0.20322	-14697	-334.87
0.22591	-14633	-359.03
0.25031	-14609	-384.31
0.27650	-14580	-410.65
0.30455	-14572	-438.25
0.33454	-14552	-466.77
0.36653	-14520	-495.95
0.40060	-14495	-526.57
0.43683	-14494	-558.68
0.47530	-14467	-591.39
0.51608	-14458	-625.27
0.55924	-14446	-660.56
0.60487	-14432	-696.72
0.65304	-14425	-734.34
0.70384	-14419	-772.57
0.75734	-14412	-812.50
0.81363	-14405	-853.31
0.87278	-14405	-895.47
0.93488	-14389	-938.56
1.0000	-14381	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 2675.485918413743
