# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 18:45:06 AEST 2020 [seed=1595737814992]
# -threads 8 xml/biphone_binary_SMGR_2020-07-23_ch1.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14312.328088125161	-16471.706359422114	-2159.378271296953	1.0	-16471.706359422114
60000	-14300.142610631905	-16460.09180443661	-2159.9491938047063	1.0	-16460.09180443661
70000	-14301.701697405226	-16443.534071571557	-2141.8323741663316	1.0	-16443.534071571557
80000	-14313.990734572366	-16471.451950011244	-2157.4612154388774	1.0	-16471.451950011244
90000	-14301.011707131642	-16468.195944677205	-2167.1842375455626	1.0	-16468.195944677205
100000	-14302.353286749583	-16459.137066060368	-2156.783779310784	1.0	-16459.137066060368
110000	-14277.01290792144	-16432.364473706133	-2155.351565784693	1.0	-16432.364473706133
120000	-14320.98855911953	-16473.560039443888	-2152.571480324358	1.0	-16473.560039443888
130000	-14309.489665565041	-16460.584708448372	-2151.0950428833316	1.0	-16460.584708448372
140000	-14306.371907840276	-16483.809683180643	-2177.4377753403687	1.0	-16483.809683180643
150000	-14318.18671615145	-16487.69947164312	-2169.5127554916717	1.0	-16487.69947164312
160000	-14301.059747938069	-16471.774476093295	-2170.714728155226	1.0	-16471.774476093295
170000	-14325.205675939476	-16487.471565576398	-2162.2658896369207	1.0	-16487.471565576398
180000	-14314.181369942311	-16486.00165424295	-2171.820284300641	1.0	-16486.00165424295
190000	-14301.401206450657	-16470.59240648734	-2169.191200036683	1.0	-16470.59240648734
200000	-14303.203813247717	-16467.982047734546	-2164.7782344868288	1.0	-16467.982047734546
210000	-14299.770456850441	-16457.337104337978	-2157.566647487535	1.0	-16457.337104337978
220000	-14298.2199584281	-16449.74900917908	-2151.5290507509776	1.0	-16449.74900917908
230000	-14312.387255670234	-16473.33943777427	-2160.952182104037	1.0	-16473.33943777427
240000	-14303.718074094626	-16457.27045414742	-2153.552380052793	1.0	-16457.27045414742
250000	-14304.8311539982	-16440.28976502882	-2135.458611030621	1.0	-16440.28976502882
260000	-14293.864633979987	-16436.684117338264	-2142.8194833582766	1.0	-16436.684117338264
270000	-14297.135816461216	-16471.093425527222	-2173.957609066007	1.0	-16471.093425527222
280000	-14324.234999105352	-16482.93201005284	-2158.697010947487	1.0	-16482.93201005284
290000	-14307.679782928995	-16469.08615670365	-2161.406373774656	1.0	-16469.08615670365
300000	-14300.420572448511	-16464.49556959656	-2164.074997148048	1.0	-16464.49556959656
310000	-14288.456996088054	-16445.675679747575	-2157.218683659522	1.0	-16445.675679747575
320000	-14310.045894971725	-16478.222423769894	-2168.17652879817	1.0	-16478.222423769894
330000	-14282.539699931149	-16435.48213120189	-2152.942431270741	1.0	-16435.48213120189
340000	-14285.762253577186	-16465.258466954565	-2179.4962133773793	1.0	-16465.258466954565
350000	-14307.448489870587	-16469.70041682622	-2162.2519269556337	1.0	-16469.70041682622
360000	-14299.56067441129	-16470.394915921555	-2170.8342415102657	1.0	-16470.394915921555
370000	-14295.802485282495	-16475.283000247327	-2179.4805149648328	1.0	-16475.283000247327
380000	-14311.772544737612	-16493.628849365647	-2181.856304628034	1.0	-16493.628849365647
390000	-14296.900718506431	-16480.78873116071	-2183.8880126542767	1.0	-16480.78873116071
400000	-14319.943134488862	-16514.88221831163	-2194.939083822769	1.0	-16514.88221831163
410000	-14297.300658984506	-16469.076909371215	-2171.776250386709	1.0	-16469.076909371215
420000	-14317.472898761902	-16499.72493827946	-2182.252039517559	1.0	-16499.72493827946
430000	-14319.844561009213	-16478.831164202544	-2158.9866031933316	1.0	-16478.831164202544
440000	-14323.838087799782	-16481.08200519209	-2157.2439173923067	1.0	-16481.08200519209
