PathParameter	MeanPathLikelihood	MLContribution
0.0000	-30692	-0.066552
2.1715e-06	-30603	-0.59636
2.1888e-05	-29891	-1.7070
8.4561e-05	-24580	-3.1387
0.00022061	-21559	-5.0380
0.00046416	-19813	-7.6132
0.00085232	-19413	-11.030
0.0014248	-19119	-15.019
0.0022237	-18483	-19.645
0.0032929	-18264	-25.176
0.0046784	-18077	-31.606
0.0064280	-18053	-38.927
0.0085909	-17942	-45.837
0.011218	-16955	-53.009
0.014361	-16772	-61.981
0.018075	-16610	-71.636
0.022413	-16415	-82.139
0.027432	-16314	-93.586
0.033190	-16194	-105.63
0.039745	-16036	-118.52
0.047156	-15950	-132.34
0.055484	-15832	-146.77
0.064790	-15708	-162.15
0.075138	-15632	-178.29
0.086591	-15503	-195.12
0.099213	-15414	-213.05
0.11307	-15337	-231.71
0.12823	-15237	-251.06
0.14475	-15147	-271.07
0.16271	-15036	-291.82
0.18218	-14945	-313.63
0.20322	-14866	-336.48
0.22591	-14798	-360.46
0.25031	-14745	-385.34
0.27650	-14681	-411.52
0.30455	-14661	-438.71
0.33454	-14602	-466.67
0.36653	-14573	-495.88
0.40060	-14533	-525.92
0.43683	-14498	-557.19
0.47530	-14473	-589.65
0.51608	-14448	-623.25
0.55924	-14430	-657.83
0.60487	-14404	-693.43
0.65304	-14385	-730.15
0.70384	-14363	-768.17
0.75734	-14353	-807.41
0.81363	-14337	-847.62
0.87278	-14323	-889.19
0.93488	-14316	-931.89
1.0000	-14303	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -14695.6478498381

Inner area for path parameter in (2.1715e-06,0.93488) = -14696
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-18300	-0.066480
2.1715e-06	-18639	-0.59120
2.1888e-05	-17723	-1.7460
8.4561e-05	-18691	-3.0918
0.00022061	-18151	-5.0261
0.00046416	-17991	-7.6008
0.00085232	-17866	-10.955
0.0014248	-17771	-15.034
0.0022237	-17926	-19.686
0.0032929	-17616	-25.213
0.0046784	-17645	-31.529
0.0064280	-17505	-38.955
0.0085909	-17563	-47.030
0.011218	-16497	-52.996
0.014361	-16397	-62.068
0.018075	-16116	-71.681
0.022413	-16032	-82.061
0.027432	-15940	-93.509
0.033190	-15795	-105.70
0.039745	-15810	-118.47
0.047156	-15731	-132.43
0.055484	-15581	-146.91
0.064790	-15471	-161.90
0.075138	-15388	-178.26
0.086591	-15327	-195.11
0.099213	-15262	-212.98
0.11307	-15177	-231.89
0.12823	-15089	-251.14
0.14475	-14972	-270.97
0.16271	-14885	-291.83
0.18218	-14816	-313.72
0.20322	-14738	-336.34
0.22591	-14682	-360.25
0.25031	-14648	-385.59
0.27650	-14580	-411.12
0.30455	-14604	-439.29
0.33454	-14531	-466.61
0.36653	-14506	-496.08
0.40060	-14467	-525.95
0.43683	-14453	-557.18
0.47530	-14404	-589.53
0.51608	-14401	-623.26
0.55924	-14369	-657.78
0.60487	-14357	-693.42
0.65304	-14343	-730.37
0.70384	-14330	-768.07
0.75734	-14328	-807.54
0.81363	-14306	-847.70
0.87278	-14286	-888.95
0.93488	-14287	-932.08
1.0000	-14277	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -14697.250457296039
