# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 14:30:15 AEST 2020 [seed=1595737813116]
# -threads 8 xml/biphone_binary_SMGR_2020-07-23_ch2.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-38818.65275314242	-2101.0026952626636	-36717.65005787976	3508.5745953659357	3508.5745953659357	16148.943010093182	0.0	124.3424766848744	111.16939278652771	1.2792667853703652	114.43930607346877	196.66285490942155	117.82981045745464	199.7535834277072	196.60245508663527	4.962491376477886	107.23856675272516	107.83616001147885	106.90780410391044	42.827115803309425	86.61359537964948	18.501402222402593	102.46163302538949	3500.0	79.64160293968523	0.0	124.3424766848744	111.16939278652771	1.2792667853703652	114.43930607346877	196.66285490942155	117.82981045745464	199.7535834277072	196.60245508663527	4.962491376477886	107.23856675272516	107.83616001147885	106.90780410391044	42.827115803309425	86.61359537964948	18.501402222402593	102.46163302538949	3500.0	79.64160293968523	0.001	0.0	0.366	0.5	0.001	0.1	0.012037080399121549	6.854550786173495	0.0026775017172776775	-36717.65005787976	-1199.394378775646	-882.7762049124592
10000	-17027.052535179606	-1965.1211733042646	-15061.93136187534	4242.643546894619	4242.643546894619	20984.449290275807	0.0	20.44828932519752	88.43007520603007	35.03318095473747	138.9853773906579	56.18559015776057	126.97309492773772	143.46958351327663	268.7117021150102	38.75984255604536	75.70592746070692	105.55597711488122	133.84399131663798	117.03207296189856	107.3481080246693	18.776057473427713	129.71182207795505	4236.359651955011	70.5928648518809	0.0	20.44828932519752	88.43007520603007	35.03318095473747	138.9853773906579	56.18559015776057	126.97309492773772	143.46958351327663	268.7117021150102	38.75984255604536	75.70592746070692	105.55597711488122	133.84399131663798	117.03207296189856	107.3481080246693	18.776057473427713	129.71182207795505	4236.359651955011	70.5928648518809	0.007220182217564138	0.0	0.366	0.43412266080379736	0.004728565903722879	0.0189115483710186	7.468768434455052E-4	2.5104480981456967	0.06136690291799162	-15061.93136187534	-1199.394378775646	-749.4981411449035
20000	-16841.44324489343	-1966.379617512593	-14875.06362738084	4492.704746933511	4492.704746933511	21443.09868728867	0.0	23.746806950993577	102.68031392437162	30.482202965573023	147.0119235497824	65.02167924842254	94.94143420203102	140.4694976770575	255.57653450981385	70.94888056796431	75.88055033408092	103.05997892119792	146.33356792411314	108.4358630587777	109.36283738890445	9.49110664497136	124.11568655144252	4489.059469657582	71.68464241452318	0.0	23.746806950993577	102.68031392437162	30.482202965573023	147.0119235497824	65.02167924842254	94.94143420203102	140.4694976770575	255.57653450981385	70.94888056796431	75.88055033408092	103.05997892119792	146.33356792411314	108.4358630587777	109.36283738890445	9.49110664497136	124.11568655144252	4489.059469657582	71.68464241452318	0.007412311116443664	0.0	0.366	0.4147098363563888	0.004524396436758815	0.022203206231511584	7.004760692204884E-4	2.919479291845773	0.047638850905531153	-14875.06362738084	-1199.394378775646	-750.8628784034031
30000	-16567.405929356835	-1957.7893725365407	-14609.616556820294	3998.770105610777	3998.770105610777	22525.360685572927	0.0	36.54043968736088	121.64235740714113	48.208931187255395	95.79175023502312	88.4180858448453	141.35080936693396	138.86567719987903	378.9617649528536	121.0675216931109	120.47878082445006	147.47381221489397	226.58560495531583	108.57085231720265	127.46484450904104	11.782851515333427	167.88843257856462	3872.39371215315	103.6133045064732	0.0	36.54043968736088	121.64235740714113	48.208931187255395	95.79175023502312	88.4180858448453	141.35080936693396	138.86567719987903	378.9617649528536	121.0675216931109	120.47878082445006	147.47381221489397	226.58560495531583	108.57085231720265	127.46484450904104	11.782851515333427	167.88843257856462	3872.39371215315	103.6133045064732	0.007961734074744055	0.0	0.366	0.4543937421111002	0.0032496939276934504	0.01638099761024314	6.239518092700201E-4	2.8915673007161242	4.6468336256129687E-4	-14609.616556820294	-1199.394378775646	-742.0993243661895
40000	-16529.091510617884	-1968.142826924836	-14560.948683693046	4087.832145522941	4087.832145522941	26841.295973724085	0.0	22.7881132224181	180.29656367023546	39.25724513713493	110.85303776455235	108.2051292146242	240.65758609759752	244.33661843967013	492.65349946857356	160.52918836721676	230.5496172841266	190.62544776879767	279.7208720715453	125.45884877765226	190.4665053414662	14.710948919409743	238.66913798426816	3942.3241946932467	130.6158812248327	0.0	22.7881132224181	180.29656367023546	39.25724513713493	110.85303776455235	108.2051292146242	240.65758609759752	244.33661843967013	492.65349946857356	160.52918836721676	230.5496172841266	190.62544776879767	279.7208720715453	125.45884877765226	190.4665053414662	14.710948919409743	238.66913798426816	3942.3241946932467	130.6158812248327	0.006066355503355207	0.0	0.366	0.4401498449095609	0.002226506225725257	0.011736077406229258	4.944629173126387E-4	3.031361906638245	0.02824777036271686	-14560.948683693046	-1199.394378775646	-752.8213555756142
50000	-16509.155338614408	-1968.237643413305	-14540.917695201104	3603.7533897343505	3603.7533897343505	28617.094271661612	0.0	21.03059978391092	129.5107238197339	56.27446436234132	215.64078713596666	128.21322767569234	275.3956780129259	278.964883110312	636.8973077101944	168.79978211239006	242.42951538051423	249.273825133979	393.6173409099019	238.84281713330583	161.3531319863527	23.181074740354973	297.00812318409965	3358.7977385251215	186.13172598633682	0.0	21.03059978391092	129.5107238197339	56.27446436234132	215.64078713596666	128.21322767569234	275.3956780129259	278.964883110312	636.8973077101944	168.79978211239006	242.42951538051423	249.273825133979	393.6173409099019	238.84281713330583	161.3531319863527	23.181074740354973	297.00812318409965	3358.7977385251215	186.13172598633682	0.005958278531871337	0.0	0.366	0.4879333532707881	0.001657160456756734	0.0076669844761113595	4.522304258891046E-4	2.7592626853216813	-0.04491669894860889	-14540.917695201104	-1199.394378775646	-751.9201054149731
60000	-16476.62575499268	-1984.962780613453	-14491.662974379227	3974.460348930363	3974.460348930363	34587.97789924152	0.0	63.4952825671328	233.7998922306707	71.68395150766493	280.4428959451355	186.3158393557075	206.5966706932574	305.0523414385922	822.7388896200555	257.3584151878264	429.502232355289	279.2433161667033	376.6658878690912	360.59180384912185	275.79066609051864	38.934875645350175	366.56103461954405	3948.3412338586463	292.5872677761183	0.0	63.4952825671328	233.7998922306707	71.68395150766493	280.4428959451355	186.3158393557075	206.5966706932574	305.0523414385922	822.7388896200555	257.3584151878264	429.502232355289	279.2433161667033	376.6658878690912	360.59180384912185	275.79066609051864	38.934875645350175	366.56103461954405	3948.3412338586463	292.5872677761183	0.004728773505412333	0.0	0.366	0.50435765743045	0.0012620730571923006	0.004853696475119126	3.604967809351092E-4	2.521829890888464	-0.07124176193711594	-14491.662974379227	-1199.394378775646	-769.5526191024164
70000	-16483.868985845176	-1998.4277232746476	-14485.441262570528	4108.194387745961	4108.194387745961	40484.23932109782	0.0	26.28147568616167	324.7414353289398	51.867384822552495	241.9641532481076	196.52165872363153	212.07427333916152	360.28968060857164	1122.7481475746833	310.4521629582567	512.7672395947249	422.68640644033377	458.83186370878093	423.1968719885412	361.2113231868952	56.56016848850775	393.74705931243864	3828.916940521815	319.35233829629374	0.0	26.28147568616167	324.7414353289398	51.867384822552495	241.9641532481076	196.52165872363153	212.07427333916152	360.28968060857164	1122.7481475746833	310.4521629582567	512.7672395947249	422.68640644033377	458.83186370878093	423.1968719885412	361.2113231868952	56.56016848850775	393.74705931243864	3828.916940521815	319.35233829629374	0.00375213291833025	0.0	0.366	0.4795674470696476	9.466898760309535E-4	0.0033614395588352176	3.364813071203435E-4	2.5187360213443717	-0.016217381196737823	-14485.441262570528	-1199.394378775646	-783.8773406180848
80000	-16443.70635226488	-2021.52846552373	-14422.177886741149	4495.848140215642	4495.848140215642	52137.88064499008	0.0	89.12442904945154	451.9838310082638	156.77009247733474	185.9706571511796	322.0151770597837	259.60220482345113	498.1928818349778	704.5351466366798	364.1952865497358	590.3524522468119	697.1473634674711	652.9059655256821	586.5121206368399	495.2629388123479	125.92997911386313	492.8208688665441	4469.678295964082	493.76576605992005	0.0	89.12442904945154	451.9838310082638	156.77009247733474	185.9706571511796	322.0151770597837	259.60220482345113	498.1928818349778	704.5351466366798	364.1952865497358	590.3524522468119	697.1473634674711	652.9059655256821	586.5121206368399	495.2629388123479	125.92997911386313	492.8208688665441	4469.678295964082	493.76576605992005	0.003083354721130218	0.0	0.366	0.5100562432702017	5.73386879474706E-4	0.0017826748965021977	2.252511792312559E-4	2.283406688969332	-0.013760866983313455	-14422.177886741149	-1199.394378775646	-807.0842236442959
90000	-16396.585744191125	-2011.7850053676339	-14384.800738823491	4043.582832908741	4043.582832908741	48359.280286911555	0.0	168.50755222088972	518.8204431451509	171.27734243242602	177.3394353431601	464.5426666444166	247.74823608746206	388.10751017903243	634.7632958766936	389.549886718169	637.3184851530466	415.3279757633943	608.8342716242672	631.7141111171217	536.9000833942225	82.72126457134986	537.1838889196146	4028.25897983043	452.7192454445852	0.0	168.50755222088972	518.8204431451509	171.27734243242602	177.3394353431601	464.5426666444166	247.74823608746206	388.10751017903243	634.7632958766936	389.549886718169	637.3184851530466	415.3279757633943	608.8342716242672	631.7141111171217	536.9000833942225	82.72126457134986	537.1838889196146	4028.25897983043	452.7192454445852	0.003968222069156297	0.0	0.366	0.5024891909389574	5.885168859786796E-4	0.0015993318045132907	2.4707253508060123E-4	2.056769682655152	0.012819209828761047	-14384.800738823491	-1199.394378775646	-796.9876538511506
