PathParameter	MeanPathLikelihood	MLContribution
0.0000	-30529	-0.066095
2.1715e-06	-30346	-0.59232
2.1888e-05	-29739	-1.7319
8.4561e-05	-25527	-3.1797
0.00022061	-21216	-4.9514
0.00046416	-19445	-7.4621
0.00085232	-19003	-10.817
0.0014248	-18787	-14.862
0.0022237	-18422	-19.555
0.0032929	-18156	-25.065
0.0046784	-18024	-30.894
0.0064280	-17292	-37.197
0.0085909	-17104	-44.598
0.011218	-16850	-52.747
0.014361	-16711	-61.785
0.018075	-16566	-71.596
0.022413	-16440	-82.168
0.027432	-16300	-93.571
0.033190	-16203	-105.80
0.039745	-16080	-118.76
0.047156	-15969	-132.22
0.055484	-15784	-146.50
0.064790	-15699	-162.06
0.075138	-15623	-178.19
0.086591	-15495	-194.94
0.099213	-15395	-213.08
0.11307	-15359	-232.07
0.12823	-15261	-251.36
0.14475	-15159	-271.69
0.16271	-15093	-293.08
0.18218	-15018	-315.36
0.20322	-14958	-338.81
0.22591	-14912	-363.28
0.25031	-14863	-388.91
0.27650	-14837	-415.67
0.30455	-14801	-443.18
0.33454	-14761	-471.84
0.36653	-14737	-501.81
0.40060	-14717	-532.82
0.43683	-14695	-564.82
0.47530	-14673	-598.00
0.51608	-14658	-632.38
0.55924	-14643	-667.86
0.60487	-14630	-704.43
0.65304	-14615	-742.23
0.70384	-14608	-781.30
0.75734	-14599	-821.45
0.81363	-14590	-862.75
0.87278	-14582	-905.24
0.93488	-14574	-948.90
1.0000	-14567	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -14863.622579054592

Inner area for path parameter in (2.1715e-06,0.93488) = -14864
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-18817	-0.066128
2.1715e-06	-17914	-0.58467
2.1888e-05	-18068	-1.7241
8.4561e-05	-18055	-3.0842
0.00022061	-18036	-4.9514
0.00046416	-17905	-7.4418
0.00085232	-17162	-10.770
0.0014248	-18017	-14.915
0.0022237	-17642	-19.568
0.0032929	-17295	-25.078
0.0046784	-17437	-31.445
0.0064280	-16518	-37.092
0.0085909	-16672	-44.668
0.011218	-16374	-52.624
0.014361	-16356	-61.809
0.018075	-16236	-71.572
0.022413	-15994	-82.156
0.027432	-15998	-93.497
0.033190	-15871	-105.72
0.039745	-15654	-118.57
0.047156	-15724	-132.59
0.055484	-15501	-146.43
0.064790	-15382	-161.64
0.075138	-15368	-178.28
0.086591	-15320	-195.07
0.099213	-15227	-212.90
0.11307	-15204	-232.20
0.12823	-15118	-251.72
0.14475	-14983	-271.44
0.16271	-14914	-292.86
0.18218	-14882	-315.35
0.20322	-14836	-338.53
0.22591	-14807	-363.42
0.25031	-14755	-388.66
0.27650	-14773	-415.72
0.30455	-14701	-443.15
0.33454	-14684	-471.72
0.36653	-14697	-501.95
0.40060	-14676	-532.88
0.43683	-14636	-564.80
0.47530	-14615	-597.95
0.51608	-14617	-632.35
0.55924	-14602	-667.71
0.60487	-14594	-704.53
0.65304	-14581	-742.20
0.70384	-14577	-781.23
0.75734	-14579	-821.49
0.81363	-14573	-862.79
0.87278	-14565	-905.31
0.93488	-14554	-948.94
1.0000	-14544	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -14863.14753841701
