# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 14:30:15 AEST 2020 [seed=1595737812344]
# -threads 8 xml/biphone_binary_SMGS_2020-07-23_ch2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-22576.09335035069	-902.1998975207896	-21673.8934528299	3561.5791605059826	3561.5791605059826	17673.7286775408	0.0	5.5622107732776165	147.04007650382044	9.603487897946879	56.87193448068293	125.78521228167259	112.87267786052833	764.4540657371155	22.076617776069053	83.62549675047791	323.7742597634247	115.21421382809561	84.57484458178881	185.17139284499956	106.12636065937858	7.4370132173025665	121.32920765922623	3500.0	35.9324739638717	0.0	5.5622107732776165	147.04007650382044	9.603487897946879	56.87193448068293	125.78521228167259	112.87267786052833	764.4540657371155	22.076617776069053	83.62549675047791	323.7742597634247	115.21421382809561	84.57484458178881	185.17139284499956	106.12636065937858	7.4370132173025665	121.32920765922623	3500.0	35.9324739638717	0.001	0.0	0.366	0.5	0.001	9.999999999999998E-4	-21673.8934528299	0.0	-882.7728057832253
10000	-15972.556631374182	-795.5834382300008	-15176.973193144182	4331.888231017825	4331.888231017825	40827.60343836085	0.0	36.184285242475774	378.53393517216267	229.91843807156752	150.653746508309	198.70727669262448	156.95650232074115	228.94066018716686	375.65848765277116	410.5302637250084	213.33474993180022	370.37416485014495	589.9779213141154	380.08410970216596	300.95007225179967	405.0232471919637	380.3675566971195	3982.8199259795574	256.75098244356	0.0	36.184285242475774	378.53393517216267	229.91843807156752	150.653746508309	198.70727669262448	156.95650232074115	228.94066018716686	375.65848765277116	410.5302637250084	213.33474993180022	370.37416485014495	589.9779213141154	380.08410970216596	300.95007225179967	405.0232471919637	380.3675566971195	3982.8199259795574	256.75098244356	0.004079839248776365	0.0	0.366	0.5460167311507668	3.667841729883383E-4	3.6678417298833843E-4	-15176.973193144182	0.0	-778.0611228275473
20000	-15619.750629521974	-865.2988241575287	-14754.451805364444	4398.9762704250925	4398.9762704250925	90251.60378953535	0.0	85.8839728248562	945.4489220413128	642.8565620538166	294.1877064760265	405.9452829376979	447.69011317661074	483.3902279325116	965.3949078354198	917.2275555154406	711.6390297295486	945.4170192801521	1786.9895450607937	612.767413172098	613.017795475922	705.147529756737	811.5908080940553	4201.124373319418	839.7689400910738	0.0	85.8839728248562	945.4489220413128	642.8565620538166	294.1877064760265	405.9452829376979	447.69011317661074	483.3902279325116	965.3949078354198	917.2275555154406	711.6390297295486	945.4170192801521	1786.9895450607937	612.767413172098	613.017795475922	705.147529756737	811.5908080940553	4201.124373319418	839.7689400910738	0.0020416872084984493	0.0	0.366	0.5310403773228621	1.1561648701768666E-4	1.1561648701768672E-4	-14754.451805364444	0.0	-847.5784266302138
30000	-15583.434236599973	-926.621619913358	-14656.812616686615	4456.301569977447	4456.301569977447	166589.4765929547	0.0	87.40774210140087	1317.73437545945	1241.7719946439602	630.2224834124263	925.2080055031341	867.8798623690755	970.8741948243221	1877.2565594047066	1771.4868676123542	1182.8430203688622	1934.8081142411547	3586.3245416740583	1505.8625457094215	918.677366183857	1648.7783527535657	1675.102514480126	3298.8955375494857	1798.8237063323677	0.0	87.40774210140087	1317.73437545945	1241.7719946439602	630.2224834124263	925.2080055031341	867.8798623690755	970.8741948243221	1877.2565594047066	1771.4868676123542	1182.8430203688622	1934.8081142411547	3586.3245416740583	1505.8625457094215	918.677366183857	1648.7783527535657	1675.102514480126	3298.8955375494857	1798.8237063323677	0.0010594441361752806	0.0	0.366	0.5784407810013399	5.941789393232483E-5	5.9417893932324754E-5	-14656.812616686615	0.0	-910.075334528429
40000	-15552.410882544751	-944.6232789930355	-14607.787603551717	6132.526252176225	6132.526252176225	196159.64748858332	0.0	156.92076122510102	1838.294288354344	1439.5492334359212	723.6959268976802	1137.9269107320506	1162.2938679458593	1208.7890097368459	2358.2481742035056	2341.971031046198	1351.1909481657613	2246.1356171422412	5095.731426418876	1655.750718086657	1062.8259631373176	1800.5157870325486	2442.2378180607343	3264.6679442926024	2171.7887983994046	0.0	156.92076122510102	1838.294288354344	1439.5492334359212	723.6959268976802	1137.9269107320506	1162.2938679458593	1208.7890097368459	2358.2481742035056	2341.971031046198	1351.1909481657613	2246.1356171422412	5095.731426418876	1655.750718086657	1062.8259631373176	1800.5157870325486	2442.2378180607343	3264.6679442926024	2171.7887983994046	9.718734556271304E-4	0.0	0.366	0.5433436317474144	5.1928337086009714E-5	5.192833708600972E-5	-14607.787603551717	0.0	-929.6829113631604
50000	-15534.801707866796	-966.440693652026	-14568.36101421477	6330.526532065787	6330.526532065787	233898.95156506455	0.0	176.47414453157734	1930.9962157335244	2448.5585749074107	653.9832893361869	1361.141525101074	1281.938504556393	1538.4674792367618	2233.991763150081	2477.741343899133	1522.0689569175531	2890.4131545574724	6213.553984612516	1871.2128696908007	1300.3248175432723	2758.3369172197204	2682.211947287358	3087.430868004304	2239.5621983783553	0.0	176.47414453157734	1930.9962157335244	2448.5585749074107	653.9832893361869	1361.141525101074	1281.938504556393	1538.4674792367618	2233.991763150081	2477.741343899133	1522.0689569175531	2890.4131545574724	6213.553984612516	1871.2128696908007	1300.3248175432723	2758.3369172197204	2682.211947287358	3087.430868004304	2239.5621983783553	6.963355587561024E-4	0.0	0.366	0.5504468486751235	4.2415223240581226E-5	4.2415223240581273E-5	-14568.36101421477	0.0	-950.7085099377359
60000	-15566.61972435959	-981.4115875127253	-14585.208136846866	7073.4863783809205	7073.4863783809205	266810.46033302037	0.0	508.724306392089	2008.9494721851333	1923.2073484043424	1261.3105893196	1942.926850448374	1582.4207799100013	1881.4460123583415	3230.617778342295	2762.816410708876	1706.5163577942649	3201.5211820605136	6974.995503446197	2092.1809779547593	1651.4244312892906	3519.2658884154125	3108.8274526444948	3222.7943699785883	2779.175056521921	0.0	508.724306392089	2008.9494721851333	1923.2073484043424	1261.3105893196	1942.926850448374	1582.4207799100013	1881.4460123583415	3230.617778342295	2762.816410708876	1706.5163577942649	3201.5211820605136	6974.995503446197	2092.1809779547593	1651.4244312892906	3519.2658884154125	3108.8274526444948	3222.7943699785883	2779.175056521921	7.981856174558256E-4	0.0	0.366	0.6379146590618783	3.650684829939605E-5	3.650684829939605E-5	-14585.208136846866	0.0	-964.7927026626065
70000	-15559.338006114305	-991.474959412378	-14567.863046701927	7929.396637492778	7929.396637492778	284321.12079269486	0.0	218.49948348398985	2040.2833662438288	2085.312498971422	861.7113422153049	1774.4829705822901	1334.1380927608304	2055.403043662351	2934.41557934142	2096.9542796138635	1973.6704804408723	3326.8627048188396	7014.40923319158	1910.5697583933254	1695.4085454364945	3536.616717427341	2944.995872477539	3033.033485267403	3285.8188015133037	0.0	218.49948348398985	2040.2833662438288	2085.312498971422	861.7113422153049	1774.4829705822901	1334.1380927608304	2055.403043662351	2934.41557934142	2096.9542796138635	1973.6704804408723	3326.8627048188396	7014.40923319158	1910.5697583933254	1695.4085454364945	3536.616717427341	2944.995872477539	3033.033485267403	3285.8188015133037	6.933979019804805E-4	0.0	0.366	0.5379796776753826	3.5080763218741797E-5	3.508076321874175E-5	-14567.863046701927	0.0	-970.9285959737358
80000	-15556.347128167903	-982.1398318831846	-14574.207296284718	7049.191403427759	7049.191403427759	271944.5799329332	0.0	321.2347681548046	1770.7443106244598	1983.279510957037	903.1206824146907	1677.621481712935	1333.0194452335054	1725.6576424280306	2797.463590501671	2217.148227105091	2257.8785829538165	3599.37023747886	6829.181376856329	2057.2584098254456	1798.797888818784	3603.26172357365	3069.0247762983963	3054.87318867402	2679.863086762562	0.0	321.2347681548046	1770.7443106244598	1983.279510957037	903.1206824146907	1677.621481712935	1333.0194452335054	1725.6576424280306	2797.463590501671	2217.148227105091	2257.8785829538165	3599.37023747886	6829.181376856329	2057.2584098254456	1798.797888818784	3603.26172357365	3069.0247762983963	3054.87318867402	2679.863086762562	6.637062842419824E-4	0.0	0.366	0.5734092600957503	3.562685093947526E-5	3.562685093947525E-5	-14574.207296284718	0.0	-964.7743953809141
90000	-15576.0341412047	-996.3546253787849	-14579.679515825916	7789.94939755229	7789.94939755229	305879.3252226549	0.0	185.57696415212072	2811.610673437882	2570.9773249094037	1312.4779761650623	1993.1356974038945	1571.6963091273642	2134.1481988146593	3257.3012296834127	3229.422929338558	2291.8957176483473	4010.043325066479	7205.045126258329	2182.791074188123	1899.4596411278567	3684.286311415289	2738.595814318009	3146.771907730402	3477.104802506722	0.0	185.57696415212072	2811.610673437882	2570.9773249094037	1312.4779761650623	1993.1356974038945	1571.6963091273642	2134.1481988146593	3257.3012296834127	3229.422929338558	2291.8957176483473	4010.043325066479	7205.045126258329	2182.791074188123	1899.4596411278567	3684.286311415289	2738.595814318009	3146.771907730402	3477.104802506722	5.742537672636023E-4	0.0	0.366	0.5642408722474287	3.4304061382577524E-5	3.4304061382577503E-5	-14579.679515825916	0.0	-977.4715998812178
