PathParameter	MeanPathLikelihood	MLContribution
0.0000	-38102	-0.082789
2.1715e-06	-38147	-0.75168
2.1888e-05	-38103	-2.3849
8.4561e-05	-38001	-5.1632
0.00022061	-37899	-8.9516
0.00046416	-35613	-11.922
0.00085232	-25813	-13.219
0.0014248	-20367	-16.091
0.0022237	-19920	-21.092
0.0032929	-19533	-26.896
0.0046784	-19291	-33.552
0.0064280	-19064	-41.044
0.0085909	-18890	-49.422
0.011218	-18736	-58.541
0.014361	-18510	-68.401
0.018075	-18330	-79.176
0.022413	-18171	-90.678
0.027432	-17960	-102.96
0.033190	-17805	-115.99
0.039745	-17588	-129.81
0.047156	-17443	-144.61
0.055484	-17286	-160.12
0.064790	-17126	-176.32
0.075138	-16953	-193.45
0.086591	-16829	-211.51
0.099213	-16686	-230.52
0.11307	-16586	-250.49
0.12823	-16466	-271.39
0.14475	-16379	-293.48
0.16271	-16299	-316.43
0.18218	-16210	-340.21
0.20322	-16127	-364.80
0.22591	-16034	-390.54
0.25031	-15974	-417.72
0.27650	-15925	-445.85
0.30455	-15864	-474.97
0.33454	-15817	-505.40
0.36653	-15778	-537.15
0.40060	-15750	-570.08
0.43683	-15718	-603.94
0.47530	-15683	-639.05
0.51608	-15661	-675.46
0.55924	-15637	-712.82
0.60487	-15607	-751.58
0.65304	-15595	-791.61
0.70384	-15571	-832.72
0.75734	-15557	-875.27
0.81363	-15544	-919.10
0.87278	-15533	-964.18
0.93488	-15521	-1010.4
1.0000	-15510	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -15947.361945977422

Inner area for path parameter in (2.1715e-06,0.93488) = -15947
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-28451	-0.082737
2.1715e-06	-35769	-0.75210
2.1888e-05	-34593	-2.3875
8.4561e-05	-28956	-5.1535
0.00022061	-27098	-9.0729
0.00046416	-25173	-12.076
0.00085232	-19226	-12.956
0.0014248	-18887	-15.949
0.0022237	-18777	-21.044
0.0032929	-18660	-26.915
0.0046784	-18586	-33.587
0.0064280	-18446	-41.040
0.0085909	-18231	-49.416
0.011218	-18098	-58.635
0.014361	-17856	-68.307
0.018075	-17914	-79.186
0.022413	-17739	-90.791
0.027432	-17563	-102.97
0.033190	-17436	-116.03
0.039745	-17227	-129.63
0.047156	-17133	-144.57
0.055484	-16952	-160.07
0.064790	-16900	-176.57
0.075138	-16678	-193.42
0.086591	-16571	-211.39
0.099213	-16369	-230.02
0.11307	-16399	-250.60
0.12823	-16309	-271.47
0.14475	-16191	-293.28
0.16271	-16137	-316.45
0.18218	-16057	-340.16
0.20322	-15972	-364.85
0.22591	-15898	-390.57
0.25031	-15887	-417.71
0.27650	-15846	-446.05
0.30455	-15785	-475.06
0.33454	-15740	-505.48
0.36653	-15688	-536.78
0.40060	-15675	-570.12
0.43683	-15653	-604.05
0.47530	-15636	-639.07
0.51608	-15588	-675.25
0.55924	-15589	-713.07
0.60487	-15569	-751.43
0.65304	-15556	-791.78
0.70384	-15529	-832.61
0.75734	-15501	-875.11
0.81363	-15507	-919.03
0.87278	-15493	-964.09
0.93488	-15491	-1010.5
1.0000	-15480	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -15946.59691825529
