# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 16:20:41 AEST 2020 [seed=1595737812845]
# -threads 8 xml/biphone_binary_SMHR_2020-07-23_ch1.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-15505.924816646986	-17664.26618510726	-2158.3413684602733	1.0	-17664.26618510726
60000	-15503.790276148484	-17651.843963506926	-2148.053687358442	1.0	-17651.843963506926
70000	-15514.836777703566	-17665.229282558623	-2150.3925048550573	1.0	-17665.229282558623
80000	-15493.893787902805	-17646.43813514165	-2152.544347238844	1.0	-17646.43813514165
90000	-15484.263045857413	-17636.522809180846	-2152.2597633234327	1.0	-17636.522809180846
100000	-15489.04821481838	-17650.838696668252	-2161.790481849873	1.0	-17650.838696668252
110000	-15504.089213202922	-17644.36991021408	-2140.28069701116	1.0	-17644.36991021408
120000	-15515.765409825579	-17683.76605895754	-2168.0006491319596	1.0	-17683.76605895754
130000	-15479.866882046672	-17647.73531478789	-2167.868432741218	1.0	-17647.73531478789
140000	-15489.471782748013	-17658.206147734185	-2168.734364986173	1.0	-17658.206147734185
150000	-15486.048428706024	-17653.37967654468	-2167.3312478386547	1.0	-17653.37967654468
160000	-15502.444180905173	-17658.36221869468	-2155.918037789508	1.0	-17658.36221869468
170000	-15486.811082099928	-17647.59929579189	-2160.7882136919607	1.0	-17647.59929579189
180000	-15494.505830058815	-17665.417317601125	-2170.9114875423097	1.0	-17665.417317601125
190000	-15509.95897831893	-17658.993727814955	-2149.034749496027	1.0	-17658.993727814955
200000	-15506.58317748913	-17655.904465689175	-2149.3212882000453	1.0	-17655.904465689175
210000	-15518.914296482617	-17684.795508057967	-2165.8812115753503	1.0	-17684.795508057967
220000	-15514.78130990337	-17686.41854352866	-2171.637233625289	1.0	-17686.41854352866
230000	-15528.39078646438	-17683.87650497884	-2155.485718514461	1.0	-17683.87650497884
240000	-15493.199606590259	-17641.586719576782	-2148.3871129865233	1.0	-17641.586719576782
250000	-15498.786025588246	-17669.01526084141	-2170.2292352531636	1.0	-17669.01526084141
260000	-15511.28058291306	-17675.275750545206	-2163.995167632146	1.0	-17675.275750545206
270000	-15486.548701004258	-17665.00133390755	-2178.45263290329	1.0	-17665.00133390755
280000	-15516.209707373266	-17678.828348659616	-2162.61864128635	1.0	-17678.828348659616
290000	-15512.19172797733	-17670.07731431618	-2157.88558633885	1.0	-17670.07731431618
300000	-15479.616663406865	-17628.88193344579	-2149.265270038926	1.0	-17628.88193344579
310000	-15499.911383235809	-17665.600108262504	-2165.688725026695	1.0	-17665.600108262504
320000	-15510.79694626383	-17684.722259391678	-2173.9253131278474	1.0	-17684.722259391678
330000	-15515.586642457016	-17669.55348656662	-2153.9668441096046	1.0	-17669.55348656662
340000	-15510.857090328567	-17666.779760380618	-2155.9226700520508	1.0	-17666.779760380618
350000	-15497.098554456737	-17659.086318316153	-2161.9877638594157	1.0	-17659.086318316153
360000	-15513.1591311829	-17679.556385736352	-2166.397254553452	1.0	-17679.556385736352
370000	-15515.869143293949	-17682.69661552682	-2166.8274722328706	1.0	-17682.69661552682
380000	-15494.312828282706	-17652.603348511017	-2158.29052022831	1.0	-17652.603348511017
390000	-15504.709813304646	-17666.588086065345	-2161.8782727607	1.0	-17666.588086065345
400000	-15496.62914755019	-17664.363284945215	-2167.734137395025	1.0	-17664.363284945215
410000	-15513.999194523314	-17676.60866715599	-2162.609472632675	1.0	-17676.60866715599
420000	-15515.324479671643	-17671.430600716045	-2156.106121044403	1.0	-17671.430600716045
430000	-15521.104827129251	-17666.218050168496	-2145.1132230392445	1.0	-17666.218050168496
440000	-15512.319792288403	-17668.215494931177	-2155.895702642775	1.0	-17668.215494931177
450000	-15500.29416477361	-17669.629863124712	-2169.335698351102	1.0	-17669.629863124712
460000	-15492.506350266593	-17632.642859972995	-2140.1365097064026	1.0	-17632.642859972995
470000	-15517.628154789207	-17667.18830799338	-2149.5601532041733	1.0	-17667.18830799338
480000	-15513.534177280464	-17656.400584604282	-2142.866407323818	1.0	-17656.400584604282
490000	-15519.810647247257	-17657.486257731045	-2137.675610483788	1.0	-17657.486257731045
500000	-15527.104777452145	-17684.163087555364	-2157.0583101032184	1.0	-17684.163087555364
510000	-15504.326053373145	-17672.523708632358	-2168.1976552592123	1.0	-17672.523708632358
520000	-15522.127695590334	-17665.23692907014	-2143.1092334798045	1.0	-17665.23692907014
530000	-15518.674236124525	-17655.680035007954	-2137.0057988834283	1.0	-17655.680035007954
540000	-15521.899793029175	-17679.94892984401	-2158.0491368148337	1.0	-17679.94892984401
550000	-15510.279519925174	-17648.661251563022	-2138.3817316378477	0.9348750848354606	-16638.5556136496
560000	-15507.28483137915	-17663.69781839502	-2156.412987015871	0.9348750848354606	-16653.787209319104
570000	-15513.705409485341	-17694.35284676232	-2180.647437276977	0.9348750848354606	-16684.02409808193
580000	-15511.197440174943	-17643.30271994762	-2132.105279772678	0.9348750848354606	-16633.137302555806
590000	-15503.977680780103	-17647.815881823124	-2143.8382010430214	0.9348750848354606	-16638.120650649405
600000	-15513.730075209198	-17661.68807736519	-2147.958002155993	0.9348750848354606	-16651.357722331628
610000	-15544.886436191717	-17696.39072618325	-2151.504289991534	0.9348750848354606	-16684.031315783865
620000	-15546.950889360873	-17710.91915993288	-2163.968270572009	0.9348750848354606	-16698.425302195992
630000	-15534.999302654964	-17688.25364748214	-2153.254344827176	0.9348750848354606	-16676.538135815557
640000	-15539.960419549003	-17690.70945722967	-2150.7490376806663	0.9348750848354606	-16678.670853246243
650000	-15523.304574736414	-17672.8518273364	-2149.5472525999844	0.9348750848354606	-16661.89793383338
660000	-15516.533618794287	-17693.863686242377	-2177.330067448091	0.9348750848354606	-16683.350750670674
670000	-15531.876858708183	-17724.90665564703	-2193.029796938849	0.9348750848354606	-16713.39449287759
680000	-15550.543602071333	-17726.549510606314	-2176.00590853498	0.9348750848354606	-16713.821677758944
690000	-15521.846594459252	-17699.11618333953	-2177.269588880279	0.9348750848354606	-16688.257240678377
700000	-15510.97037853643	-17668.38361583692	-2157.413237300489	0.9348750848354606	-16658.23298581505
710000	-15516.567378199044	-17665.760797987467	-2149.1934197884216	0.9348750848354606	-16655.24566383739
720000	-15521.54306084893	-17683.395614644585	-2161.852553795656	0.9348750848354606	-16672.556439584052
730000	-15514.570120218646	-17673.59461731642	-2159.024497097773	0.9348750848354606	-16663.209554422883
740000	-15509.025518493647	-17665.05632175498	-2156.030803261331	0.9348750848354606	-16655.0323505784
750000	-15517.385396808175	-17676.739179131346	-2159.353782323172	0.9348750848354606	-16666.170771588753
760000	-15516.671509439579	-17687.754926320402	-2171.0834168808233	0.9348750848354606	-16677.233010632124
770000	-15507.127637541445	-17665.877860667737	-2158.7502231262924	0.9348750848354606	-16655.977488827164
780000	-15512.430399320314	-17647.17106343511	-2134.7406641147963	0.9348750848354606	-16636.92534968355
790000	-15514.942804338243	-17663.010609964815	-2148.0678056265724	0.9348750848354606	-16652.601276049605
800000	-15505.492077269111	-17665.407382174788	-2159.9153049056763	0.9348750848354606	-16655.613526058198
810000	-15523.467945851467	-17676.71119344151	-2153.2432475900446	0.9348750848354606	-16665.746660408488
820000	-15522.250477593747	-17686.134394145483	-2163.883916551737	0.9348750848354606	-16675.249148629457
830000	-15491.134944287465	-17655.75286644987	-2164.617922162406	0.9348750848354606	-16646.89401740072
840000	-15502.825159021859	-17692.545301996877	-2189.720142975018	0.9348750848354606	-16682.92512870489
850000	-15509.622058583387	-17666.5744158266	-2156.9523572432117	0.9348750848354606	-16656.51159502729
860000	-15524.307209188173	-17696.116522485983	-2171.8093132978106	0.9348750848354606	-16685.097332499357
870000	-15523.00429930966	-17692.06706463401	-2169.062765324352	0.9348750848354606	-16681.132726542688
880000	-15501.69315500921	-17671.665310908782	-2169.972155899572	0.9348750848354606	-16662.118859282084
890000	-15512.339896650878	-17653.446631649087	-2141.1067349982095	0.9348750848354606	-16643.2068118762
900000	-15518.477764002262	-17660.830919095366	-2142.353155093104	0.9348750848354606	-16650.191371231926
910000	-15518.928426507033	-17663.132554095944	-2144.204127588912	0.9348750848354606	-16652.463656875112
920000	-15520.247392086192	-17680.77316627397	-2160.525774187779	0.9348750848354606	-16670.018371531696
930000	-15508.735439815026	-17649.279728628826	-2140.5442888138004	0.9348750848354606	-16639.274648801587
940000	-15503.376879899499	-17636.71806059371	-2133.3411806942113	0.9348750848354606	-16627.06195652637
950000	-15493.324499766011	-17647.381472868467	-2154.056973102456	0.9348750848354606	-16638.380029204523
960000	-15523.444109654149	-17666.652282165585	-2143.2081725114376	0.9348750848354606	-16655.689301462888
970000	-15510.2051236323	-17666.957860476832	-2156.7527368445317	0.9348750848354606	-16656.857067615674
980000	-15510.72519950264	-17689.048674968297	-2178.3234754656564	0.9348750848354606	-16678.914012210204
990000	-15513.201295584331	-17678.126665764976	-2164.9253701806447	0.9348750848354606	-16667.830747459626
1000000	-15506.197725303871	-17677.874268897674	-2171.676543593804	0.9348750848354606	-16668.034457512684
1010000	-15527.029616406773	-17682.00719607313	-2154.977579666356	0.9348750848354606	-16670.810709547346
1020000	-15519.505671103852	-17671.275584597875	-2151.7699134940226	0.9348750848354606	-16660.569094371647
1030000	-15510.128072209398	-17656.245372807618	-2146.1173005982205	0.9348750848354606	-16646.14959791384
1040000	-15516.445303405148	-17670.622089995115	-2154.176786589968	0.9348750848354606	-16660.114905955637
1050000	-15492.87930129343	-17655.673803036367	-2162.794501742937	0.872778642317937	-15684.648663921485
1060000	-15520.286548680448	-17670.97720297496	-2150.69065429451	0.872778642317937	-15696.465276637171
1070000	-15529.365508544754	-17674.709016126908	-2145.3435075821535	0.872778642317937	-15699.042052188843
1080000	-15520.014557462067	-17691.06140210718	-2171.046844645114	0.872778642317937	-15716.584078861475
1090000	-15523.470384098287	-17696.79127869891	-2173.320894600623	0.872778642317937	-15721.87430049663
1100000	-15522.350883653316	-17670.361715518247	-2148.0108318649304	0.872778642317937	-15695.587161682502
1110000	-15537.500348999332	-17678.80900600175	-2141.308657002418	0.872778642317937	-15702.107116616526
1120000	-15520.809757032146	-17677.46069665408	-2156.6509396219353	0.872778642317937	-15702.882207039442
1130000	-15530.701299091705	-17693.119064296538	-2162.417765204833	0.872778642317937	-15717.282159271512
1140000	-15529.268781124332	-17686.849197842006	-2157.580416717674	0.872778642317937	-15711.194539697693
1150000	-15543.443951086389	-17704.379345629164	-2160.935394542775	0.872778642317937	-15726.921303116906
1160000	-15523.788128177302	-17667.10233318157	-2143.3142050042684	0.872778642317937	-15692.144931146162
1170000	-15530.416892840014	-17675.798515820472	-2145.381622980457	0.872778642317937	-15699.997793344919
1180000	-15540.141572206538	-17701.708331122085	-2161.5667589155473	0.872778642317937	-15724.6704217345
1190000	-15528.633288189521	-17695.23481292143	-2166.601524731908	0.872778642317937	-15719.661003051082
1200000	-15528.988373672759	-17683.184210061987	-2154.195836389228	0.872778642317937	-15707.565225734368
