PathParameter	MeanPathLikelihood	MLContribution
0.0000	-38193	-0.082849
2.1715e-06	-38111	-0.75143
2.1888e-05	-38113	-2.3885
8.4561e-05	-38106	-5.1753
0.00022061	-37972	-8.8724
0.00046416	-34888	-11.652
0.00085232	-25149	-13.033
0.0014248	-20382	-16.046
0.0022237	-19792	-21.049
0.0032929	-19580	-26.955
0.0046784	-19328	-33.571
0.0064280	-19048	-41.086
0.0085909	-18944	-49.442
0.011218	-18698	-58.473
0.014361	-18506	-68.420
0.018075	-18344	-79.197
0.022413	-18166	-90.606
0.027432	-17937	-102.85
0.033190	-17789	-115.98
0.039745	-17601	-129.78
0.047156	-17422	-144.48
0.055484	-17276	-160.00
0.064790	-17109	-176.24
0.075138	-16955	-193.33
0.086591	-16807	-211.31
0.099213	-16676	-230.50
0.11307	-16593	-250.45
0.12823	-16453	-271.35
0.14475	-16387	-293.41
0.16271	-16284	-316.29
0.18218	-16212	-340.17
0.20322	-16121	-364.70
0.22591	-16031	-390.56
0.25031	-15980	-417.77
0.27650	-15923	-445.71
0.30455	-15856	-474.88
0.33454	-15819	-505.43
0.36653	-15779	-537.25
0.40060	-15755	-570.07
0.43683	-15713	-603.85
0.47530	-15684	-638.88
0.51608	-15651	-675.20
0.55924	-15634	-712.67
0.60487	-15603	-751.37
0.65304	-15591	-791.34
0.70384	-15565	-832.43
0.75734	-15553	-875.00
0.81363	-15539	-918.86
0.87278	-15530	-963.94
0.93488	-15517	-1010.2
1.0000	-15506	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -15943.01626368502

Inner area for path parameter in (2.1715e-06,0.93488) = -15943
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-37618	-0.082938
2.1715e-06	-35769	-0.75138
2.1888e-05	-34593	-2.3881
8.4561e-05	-33850	-5.1802
0.00022061	-30194	-9.1658
0.00046416	-25173	-11.795
0.00085232	-19295	-12.708
0.0014248	-18887	-15.877
0.0022237	-18787	-21.015
0.0032929	-18660	-26.979
0.0046784	-18640	-33.671
0.0064280	-18548	-41.027
0.0085909	-18483	-49.576
0.011218	-18098	-58.522
0.014361	-17856	-68.192
0.018075	-18015	-79.324
0.022413	-17761	-90.821
0.027432	-17563	-102.77
0.033190	-17436	-115.96
0.039745	-17304	-129.83
0.047156	-17133	-144.49
0.055484	-16952	-159.74
0.064790	-16900	-176.38
0.075138	-16755	-193.60
0.086591	-16571	-211.15
0.099213	-16369	-229.79
0.11307	-16399	-250.57
0.12823	-16310	-271.34
0.14475	-16191	-293.28
0.16271	-16137	-316.13
0.18218	-16057	-340.10
0.20322	-15972	-364.74
0.22591	-15898	-390.42
0.25031	-15905	-417.85
0.27650	-15848	-446.03
0.30455	-15785	-474.89
0.33454	-15746	-505.61
0.36653	-15708	-536.97
0.40060	-15675	-570.12
0.43683	-15653	-603.82
0.47530	-15636	-639.04
0.51608	-15588	-674.87
0.55924	-15589	-712.89
0.60487	-15569	-751.32
0.65304	-15556	-791.58
0.70384	-15529	-832.35
0.75734	-15501	-874.79
0.81363	-15507	-918.77
0.87278	-15493	-963.85
0.93488	-15491	-1010.3
1.0000	-15480	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -15942.349429643831
