# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 14:30:14 AEST 2020 [seed=1595737812344]
# -threads 8 xml/biphone_binary_SMHR_2020-07-23_ch2.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-40289.32711948784	-2100.468059331865	-38188.85906015598	3561.5791605059826	3561.5791605059826	17673.7286775408	0.0	5.5622107732776165	147.04007650382044	9.603487897946879	56.87193448068293	125.78521228167259	112.87267786052833	764.4540657371155	22.076617776069053	83.62549675047791	323.7742597634247	115.21421382809561	84.57484458178881	185.17139284499956	106.12636065937858	7.4370132173025665	121.32920765922623	3500.0	35.9324739638717	0.0	5.5622107732776165	147.04007650382044	9.603487897946879	56.87193448068293	125.78521228167259	112.87267786052833	764.4540657371155	22.076617776069053	83.62549675047791	323.7742597634247	115.21421382809561	84.57484458178881	185.17139284499956	106.12636065937858	7.4370132173025665	121.32920765922623	3500.0	35.9324739638717	0.001	0.0	0.366	0.001	0.1	2.2700151007956014E-4	6.4613663334839435	-0.026156968514918454	-38188.85906015598	-1199.394378775646	-882.7728057832253
10000	-18739.82432015495	-1942.8963412972457	-16796.927978857704	3244.9986357521398	3244.9986357521398	17419.2281830394	0.0	58.73257668149507	138.98236547976893	8.348004031923482	82.36802462775432	70.55723612736077	103.37105309689025	575.4365764054223	21.41659523596177	71.63631652450869	169.50412545235957	70.67688916241515	114.29792492886006	188.27314896976222	95.81152993426426	19.036641570349904	95.51119897811465	3236.023373962811	53.195255784660375	0.0	58.73257668149507	138.98236547976893	8.348004031923482	82.36802462775432	70.55723612736077	103.37105309689025	575.4365764054223	21.41659523596177	71.63631652450869	169.50412545235957	70.67688916241515	114.29792492886006	188.27314896976222	95.81152993426426	19.036641570349904	95.51119897811465	3236.023373962811	53.195255784660375	0.008643503253446634	0.0	0.366	0.005222251085094604	0.03081973384749085	5.56599949948309E-4	3.4716686234665044	0.2133524983226116	-16796.927978857704	-1199.394378775646	-724.4902964046935
20000	-18132.945191664265	-1932.4009416023794	-16200.544250061886	3149.9370734284284	3149.9370734284284	16286.352478521876	0.0	58.44709059046014	77.52393256619216	14.624667190103327	70.74461931204046	62.72250935436654	99.0059929919783	259.1024655117235	21.23074505431282	48.40349802965164	162.43979329596326	92.98997290300969	98.02305723416727	180.45726800728755	92.65175468633909	17.767032304454737	98.6623928799076	3142.8933839798124	58.41137923025024	0.0	58.44709059046014	77.52393256619216	14.624667190103327	70.74461931204046	62.72250935436654	99.0059929919783	259.1024655117235	21.23074505431282	48.40349802965164	162.43979329596326	92.98997290300969	98.02305723416727	180.45726800728755	92.65175468633909	17.767032304454737	98.6623928799076	3142.8933839798124	58.41137923025024	0.009490829366317196	0.0	0.366	0.004584281346538326	0.022324288355340685	5.269734117139706E-4	3.3214699158308636	0.0452333757975036	-16200.544250061886	-1199.394378775646	-713.4605464580777
30000	-18087.652691840245	-1948.6622114363597	-16138.990480403887	3598.0750398499354	3598.0750398499354	19071.74562634512	0.0	69.33906553578726	138.08640812905273	10.79728806644656	114.17170980165312	91.03691182747814	109.4949000818691	284.27754796339394	18.30267577182794	61.91673881246284	173.04286412175102	113.78688639938298	154.2730011092196	210.46403451506308	106.78298160292391	19.023833658667094	155.47644859098364	3551.9260970413047	62.45104580781463	0.0	69.33906553578726	138.08640812905273	10.79728806644656	114.17170980165312	91.03691182747814	109.4949000818691	284.27754796339394	18.30267577182794	61.91673881246284	173.04286412175102	113.78688639938298	154.2730011092196	210.46403451506308	106.78298160292391	19.023833658667094	155.47644859098364	3551.9260970413047	62.45104580781463	0.010738258453482485	0.0	0.366	0.003717752427501252	0.017461789280882926	4.411142179770884E-4	3.267514807563716	0.04317736495519505	-16138.990480403887	-1199.394378775646	-732.0921507345959
40000	-18034.17720117765	-1954.4190967740717	-16079.758104403578	3851.8456509876655	3851.8456509876655	21973.093831705286	0.0	88.5315288874557	141.7470655400912	22.74313927662057	132.12100931046422	112.3551567180302	183.4314317935695	235.45295107589646	19.715256884665695	69.09357774199506	220.18452672695938	158.50186993861786	170.34847494840042	229.8953670664881	79.4817255620381	41.12427547694291	205.115028957053	3841.986206246026	71.17891906901691	0.0	88.5315288874557	141.7470655400912	22.74313927662057	132.12100931046422	112.3551567180302	183.4314317935695	235.45295107589646	19.715256884665695	69.09357774199506	220.18452672695938	158.50186993861786	170.34847494840042	229.8953670664881	79.4817255620381	41.12427547694291	205.115028957053	3841.986206246026	71.17891906901691	0.007876665309500245	0.0	0.366	0.002715263330533591	0.012009581674676861	3.8645185221666334E-4	3.212345005387533	0.02783328419337446	-16079.758104403578	-1199.394378775646	-738.6338897898336
50000	-17945.09329379944	-1953.2705672708723	-15991.82272652857	3820.514453188983	3820.514453188983	22594.8048097228	0.0	91.41255638579685	106.03635835230027	24.257304438065194	128.29063519240427	186.39876419072093	130.68382759645945	194.83928952953008	22.979058956284458	84.83552282457777	207.63477166510933	171.8206856684897	187.8609546371898	354.6114516879346	122.59392089412626	37.74432688065038	221.5064829390084	3598.661104257523	79.87035150033213	0.0	91.41255638579685	106.03635835230027	24.257304438065194	128.29063519240427	186.39876419072093	130.68382759645945	194.83928952953008	22.979058956284458	84.83552282457777	207.63477166510933	171.8206856684897	187.8609546371898	354.6114516879346	122.59392089412626	37.74432688065038	221.5064829390084	3598.661104257523	79.87035150033213	0.0076913236755045454	0.0	0.366	0.0024775655215294977	0.010996233480804472	3.6994213699146294E-4	3.2264777820803507	0.018445459385795324	-15991.82272652857	-1199.394378775646	-737.7503855163981
60000	-17865.27093213597	-1965.6704543909598	-15899.600477745009	3781.6482815019317	3781.6482815019317	25097.846061267817	0.0	109.17241842794034	41.655666717219304	76.46094383930476	187.69021521028625	234.9314461020983	123.79324632561645	227.67810612463597	50.93334222042685	99.15854546090442	253.43066209668882	207.38875165376442	233.39478938427294	303.58169705462916	138.7745034606934	50.442329639302876	250.0679163721494	3745.6393577032895	123.42970598072104	0.0	109.17241842794034	41.655666717219304	76.46094383930476	187.69021521028625	234.9314461020983	123.79324632561645	227.67810612463597	50.93334222042685	99.15854546090442	253.43066209668882	207.38875165376442	233.39478938427294	303.58169705462916	138.7745034606934	50.442329639302876	250.0679163721494	3745.6393577032895	123.42970598072104	0.008777970719024527	0.0	0.366	0.0019935301283456526	0.009473385470377857	3.176390137741447E-4	3.2876775051719127	0.01640518237664065	-15899.600477745009	-1199.394378775646	-749.8878952045636
70000	-17822.64107432386	-1953.8045276865948	-15868.836546637263	3384.5118659790596	3384.5118659790596	24235.27220813735	0.0	115.02186074919794	38.753804833238874	77.67401519441388	227.2015203751416	231.17555193757656	153.47800745370466	221.25891523999263	63.873366998432815	99.74102871075016	319.9295719575928	225.44542877892928	249.18343052695008	315.3753596098831	142.61642347638374	50.3890733457047	271.2569533055056	3234.3364771578326	146.44774805488817	0.0	115.02186074919794	38.753804833238874	77.67401519441388	227.2015203751416	231.17555193757656	153.47800745370466	221.25891523999263	63.873366998432815	99.74102871075016	319.9295719575928	225.44542877892928	249.18343052695008	315.3753596098831	142.61642347638374	50.3890733457047	271.2569533055056	3234.3364771578326	146.44774805488817	0.007544658019272032	0.0	0.366	0.0018623520830455887	0.008157387156630384	3.4164556785820307E-4	3.214325256628868	-0.0016630408305950792	-15868.836546637263	-1199.394378775646	-736.7156089000553
80000	-17828.189757971282	-1961.3098840690218	-15866.879873902259	3513.979609994421	3513.979609994421	26378.647532041738	0.0	129.8368576138291	52.64074992203382	60.88754396986104	291.6092367990234	232.927803893177	122.64703077383261	219.60780347528834	97.36416086808792	98.95520544720162	363.25105992725855	252.84095079796006	295.4429216472663	343.03068929508686	158.69389866341032	52.741361375398554	292.81193793531185	3308.2825804620643	142.31810898405297	0.0	129.8368576138291	52.64074992203382	60.88754396986104	291.6092367990234	232.927803893177	122.64703077383261	219.60780347528834	97.36416086808792	98.95520544720162	363.25105992725855	252.84095079796006	295.4429216472663	343.03068929508686	158.69389866341032	52.741361375398554	292.81193793531185	3308.2825804620643	142.31810898405297	0.005691197644960058	0.0	0.366	0.0016094207769750003	0.007460039440768956	3.1426859076179927E-4	3.2585660629677373	0.006008531347991955	-15866.879873902259	-1199.394378775646	-744.9011427423671
90000	-17807.24395948373	-1966.6501107459826	-15840.593848737748	3754.080758311914	3754.080758311914	28239.451085628683	0.0	144.24457405005944	85.1341269077423	94.75415096994269	255.72189242877118	197.48133566197362	133.37314035317382	245.12704383237391	70.4052370463864	106.01409043905258	413.0653047650526	308.0840336720774	299.7666602280386	307.4697124023768	190.78430337193342	64.81034800655003	237.98071000549743	3498.2667796820792	207.98208428438576	0.0	144.24457405005944	85.1341269077423	94.75415096994269	255.72189242877118	197.48133566197362	133.37314035317382	245.12704383237391	70.4052370463864	106.01409043905258	413.0653047650526	308.0840336720774	299.7666602280386	307.4697124023768	190.78430337193342	64.81034800655003	237.98071000549743	3498.2667796820792	207.98208428438576	0.005517735888728507	0.0	0.366	0.0013280738041883166	0.005506272275447828	2.8417858944242304E-4	3.083219726386141	0.03655139193794133	-15840.593848737748	-1199.394378775646	-751.3090463261186
