# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 14:30:14 AEST 2020 [seed=1595737812378]
# -threads 8 xml/biphone_binary_SMHS_2020-07-23_ch2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-24953.028209427634	-901.8124037803851	-24051.215805647247	3576.2906197194875	3576.2906197194875	16926.341388572906	0.0	230.26790491543548	75.75307802171804	2.712982570782992	17.4556182605547	274.24384575070906	58.082515114592816	101.15485828978892	42.00812885141707	207.75883191624374	63.32380489181263	134.0187250350796	135.12318058976683	69.11283206356626	112.8224582614249	124.24831948009076	84.62172679546067	3500.0	263.6947379230387	0.0	230.26790491543548	75.75307802171804	2.712982570782992	17.4556182605547	274.24384575070906	58.082515114592816	101.15485828978892	42.00812885141707	207.75883191624374	63.32380489181263	134.0187250350796	135.12318058976683	69.11283206356626	112.8224582614249	124.24831948009076	84.62172679546067	3500.0	263.6947379230387	0.001	0.0	0.366	0.001	9.999999999999998E-4	-24051.215805647247	0.0	-882.7535081165935
10000	-17470.39125649233	-804.2699370677964	-16666.121319424536	5516.565738643286	5516.565738643286	40686.37959088543	0.0	49.369003863343785	179.67477829952267	189.7858093281845	111.52070755445554	143.2140918799857	143.81916349470808	158.0419171656681	242.07644002329397	229.56533209235982	245.572572428274	420.54736143992403	464.6389968165985	198.2777701026209	162.14702194412544	308.99030500432025	272.0003495570021	5161.5631690929295	276.8078651514345	0.0	49.369003863343785	179.67477829952267	189.7858093281845	111.52070755445554	143.2140918799857	143.81916349470808	158.0419171656681	242.07644002329397	229.56533209235982	245.572572428274	420.54736143992403	464.6389968165985	198.2777701026209	162.14702194412544	308.99030500432025	272.0003495570021	5161.5631690929295	276.8078651514345	0.004919011001740809	0.0	0.366	3.181536992090719E-4	3.181536992090717E-4	-16666.121319424536	0.0	-786.5781643850214
20000	-17104.543205108148	-791.7945888349284	-16312.748616273218	4006.551227573003	4006.551227573003	41612.60484917031	0.0	70.28577773319549	300.65398529710353	257.61308339326007	118.68771581337764	198.89862201772092	163.4467410094959	175.3736603949987	368.9029636225075	331.3973698874326	235.35187844119255	429.5134710523578	620.4540501130303	166.62457907323233	220.49553186123921	407.2421963299081	342.43687358153625	3844.0555209088197	371.9637203663361	0.0	70.28577773319549	300.65398529710353	257.61308339326007	118.68771581337764	198.89862201772092	163.4467410094959	175.3736603949987	368.9029636225075	331.3973698874326	235.35187844119255	429.5134710523578	620.4540501130303	166.62457907323233	220.49553186123921	407.2421963299081	342.43687358153625	3844.0555209088197	371.9637203663361	0.004574658472902529	0.0	0.366	2.3968932537057284E-4	2.396893253705726E-4	-16312.748616273218	0.0	-773.9153808679314
30000	-16925.748164061693	-882.5257587448882	-16043.222405316807	4512.432319800272	4512.432319800272	109090.60289929237	0.0	233.36679283053886	1062.9826289538212	835.8778552612209	487.43025601288696	478.028188149873	522.9352383364584	738.5625322596077	1108.35104872769	879.0225892654645	771.6615189055269	1530.5846878144907	2019.9430689906692	710.4749122007165	635.9357506135163	1605.500144548033	928.6291379122362	3826.9616553841124	1255.4939055030209	0.0	233.36679283053886	1062.9826289538212	835.8778552612209	487.43025601288696	478.028188149873	522.9352383364584	738.5625322596077	1108.35104872769	879.0225892654645	771.6615189055269	1530.5846878144907	2019.9430689906692	710.4749122007165	635.9357506135163	1605.500144548033	928.6291379122362	3826.9616553841124	1255.4939055030209	0.0018331449676897136	0.0	0.366	7.235956753892494E-5	7.235956753892497E-5	-16043.222405316807	0.0	-866.1275642913199
40000	-16879.61171740377	-974.3744692953615	-15905.237248108411	6510.721617977744	6510.721617977744	267110.84970618767	0.0	519.6110927254323	2602.957170078458	2540.4595213285156	1624.5376892386546	1681.45521102232	1499.6373898700265	1480.2652312357632	2811.0402113078517	2633.1522606262456	1944.6336510559902	3976.950077377577	5133.8333368175045	1693.5800529110998	1267.4674076327906	4410.329712171321	2919.747131919049	3298.21529323882	3324.194996644427	0.0	519.6110927254323	2602.957170078458	2540.4595213285156	1624.5376892386546	1681.45521102232	1499.6373898700265	1480.2652312357632	2811.0402113078517	2633.1522606262456	1944.6336510559902	3976.950077377577	5133.8333368175045	1693.5800529110998	1267.4674076327906	4410.329712171321	2919.747131919049	3298.21529323882	3324.194996644427	7.11113914928979E-4	0.0	0.366	2.8829358492369167E-5	2.882935849236917E-5	-15905.237248108411	0.0	-959.4769547216922
50000	-16873.175514533683	-983.9437934892754	-15889.231721044407	6791.302732480053	6791.302732480053	289704.9629385111	0.0	321.20897834336137	2180.405573181641	2203.4168381454347	1619.2127258163264	1399.485591679358	1775.6351303028248	2040.7004879174242	2757.9263715242078	2550.547088626892	2246.654776051146	4635.648882156716	5745.658760425979	2286.647735569673	1451.3057558541575	3603.356015483566	3190.7982802201527	3202.488754124458	3490.8705837739453	0.0	321.20897834336137	2180.405573181641	2203.4168381454347	1619.2127258163264	1399.485591679358	1775.6351303028248	2040.7004879174242	2757.9263715242078	2550.547088626892	2246.654776051146	4635.648882156716	5745.658760425979	2286.647735569673	1451.3057558541575	3603.356015483566	3190.7982802201527	3202.488754124458	3490.8705837739453	6.834485253266567E-4	0.0	0.366	2.6233722376872622E-5	2.6233722376872652E-5	-15889.231721044407	0.0	-968.4729839588715
60000	-16844.447196228553	-982.8226396195786	-15861.624556608975	6866.863096853046	6866.863096853046	283183.3680227977	0.0	312.5737868547785	2984.5739208178593	2256.211298044675	1484.1655763998908	1520.7420664389206	1709.5928112043223	1733.592476388675	2335.7194096534568	2227.8770613199663	2156.8661749586136	3821.027610265182	5451.657491868656	2050.0762492234367	1711.27826149157	4315.030572061554	2927.56729454697	3124.3013713915097	3564.015272912814	0.0	312.5737868547785	2984.5739208178593	2256.211298044675	1484.1655763998908	1520.7420664389206	1709.5928112043223	1733.592476388675	2335.7194096534568	2227.8770613199663	2156.8661749586136	3821.027610265182	5451.657491868656	2050.0762492234367	1711.27826149157	4315.030572061554	2927.56729454697	3124.3013713915097	3564.015272912814	6.675299165782527E-4	0.0	0.366	2.759003402034414E-5	2.7590034020344157E-5	-15861.624556608975	0.0	-966.9344562245941
70000	-16822.750723452315	-987.1178621581942	-15835.632861294122	6748.653698753538	6748.653698753538	297743.06805871933	0.0	269.5361004481382	3831.682697680153	2288.689612790499	1401.5538168194128	1607.2052894175715	1506.0219252144311	1864.5690003344728	2880.0730019290804	3711.770123148375	2346.812524750684	4848.917328098685	5890.074868323929	1823.8092830034184	1739.5468562141907	3655.274459109458	3149.7638956726387	3160.9402551636776	3204.0933312080365	0.0	269.5361004481382	3831.682697680153	2288.689612790499	1401.5538168194128	1607.2052894175715	1506.0219252144311	1864.5690003344728	2880.0730019290804	3711.770123148375	2346.812524750684	4848.917328098685	5890.074868323929	1823.8092830034184	1739.5468562141907	3655.274459109458	3149.7638956726387	3160.9402551636776	3204.0933312080365	6.151501409126853E-4	0.0	0.366	2.5216484932558143E-5	2.5216484932558143E-5	-15835.632861294122	0.0	-971.6114850180536
80000	-16804.17544841614	-978.4053940498669	-15825.770054366272	6979.557102473515	6979.557102473515	273776.1528493316	0.0	546.7361504264613	3671.158073141032	2339.504331118702	1378.9438229117145	1603.9080835390473	1350.7173231757456	1906.1976637639852	2601.253047063075	2985.7074967245053	2052.572811949908	4260.200467327372	5454.278621007185	1978.2932682970352	1663.9586996853932	2645.0805040011946	3117.6285882720076	3179.3093672017344	3057.6311881637857	0.0	546.7361504264613	3671.158073141032	2339.504331118702	1378.9438229117145	1603.9080835390473	1350.7173231757456	1906.1976637639852	2601.253047063075	2985.7074967245053	2052.572811949908	4260.200467327372	5454.278621007185	1978.2932682970352	1663.9586996853932	2645.0805040011946	3117.6285882720076	3179.3093672017344	3057.6311881637857	6.561791506295495E-4	0.0	0.366	2.7887354395371338E-5	2.7887354395371325E-5	-15825.770054366272	0.0	-962.4909566711436
90000	-16823.320622788608	-986.0254181091708	-15837.295204679438	6957.717638263577	6957.717638263577	292522.6751300914	0.0	161.456731064096	2789.5952589587864	2912.078162387635	1395.9306731067595	1540.862944961057	1409.6958498990068	1851.1199001528444	2810.7781221117257	2792.749283733538	2187.5153770406455	4524.007793421733	5807.87754063878	1692.554138200458	1925.289766078142	4041.458651246086	2880.558452592729	3244.3423049417906	3283.935297660529	0.0	161.456731064096	2789.5952589587864	2912.078162387635	1395.9306731067595	1540.862944961057	1409.6958498990068	1851.1199001528444	2810.7781221117257	2792.749283733538	2187.5153770406455	4524.007793421733	5807.87754063878	1692.554138200458	1925.289766078142	4041.458651246086	2880.558452592729	3244.3423049417906	3283.935297660529	6.555074400290016E-4	0.0	0.366	2.6537955599284148E-5	2.6537955599284158E-5	-15837.295204679438	0.0	-970.2875502752489
