# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 15:52:55 AEST 2020 [seed=1595737812378]
# -threads 8 xml/biphone_binary_SMHS_2020-07-23_ch2.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-15823.948607195434	-16818.59535956327	-994.6467523678366	1.0	-16818.59535956327
60000	-15825.648576421458	-16819.375714828642	-993.7271384071848	1.0	-16819.375714828642
70000	-15836.876883784606	-16825.432999621	-988.5561158363951	1.0	-16825.432999621
80000	-15805.144454815147	-16797.36798200653	-992.2235271913839	1.0	-16797.36798200653
90000	-15824.438954221921	-16807.464979632	-983.0260254100791	1.0	-16807.464979632
100000	-15811.810301733229	-16795.12869968662	-983.3183979533887	1.0	-16795.12869968662
110000	-15812.959179094858	-16794.804089893383	-981.8449107985261	1.0	-16794.804089893383
120000	-15833.65116533001	-16815.127922914384	-981.4767575843749	1.0	-16815.127922914384
130000	-15825.451666034869	-16799.34575605664	-973.8940900217697	1.0	-16799.34575605664
140000	-15840.225075988123	-16828.752549269906	-988.5274732817826	1.0	-16828.752549269906
150000	-15826.38138755312	-16808.32601798448	-981.9446304313612	1.0	-16808.32601798448
160000	-15829.953805253457	-16824.4570495072	-994.5032442537438	1.0	-16824.4570495072
170000	-15831.207385603608	-16822.3302455058	-991.1228599021917	1.0	-16822.3302455058
180000	-15813.680634125574	-16798.451280543737	-984.7706464181632	1.0	-16798.451280543737
190000	-15818.171565876284	-16800.795043224443	-982.6234773481594	1.0	-16800.795043224443
200000	-15810.413818250432	-16803.048945042894	-992.6351267924621	1.0	-16803.048945042894
210000	-15832.407238261232	-16809.247195960204	-976.8399576989717	1.0	-16809.247195960204
220000	-15820.676498534725	-16808.780465797452	-988.1039672627269	1.0	-16808.780465797452
230000	-15818.609547574177	-16819.758965369947	-1001.1494177957695	1.0	-16819.758965369947
240000	-15822.699752952925	-16798.22792244852	-975.5281694955958	1.0	-16798.22792244852
250000	-15815.949962197887	-16790.545662386485	-974.5957001885976	1.0	-16790.545662386485
260000	-15830.79770359755	-16809.10817905986	-978.3104754623087	1.0	-16809.10817905986
270000	-15829.147452067215	-16807.330837679703	-978.1833856124878	1.0	-16807.330837679703
280000	-15830.800883966176	-16817.18776938058	-986.386885414404	1.0	-16817.18776938058
290000	-15850.086915200614	-16826.085050554935	-975.9981353543207	1.0	-16826.085050554935
300000	-15836.319077535345	-16818.732159477186	-982.4130819418399	1.0	-16818.732159477186
310000	-15818.257224609935	-16814.096024690978	-995.8388000810426	1.0	-16814.096024690978
320000	-15844.975646312532	-16834.606542435886	-989.6308961233536	1.0	-16834.606542435886
330000	-15837.211517497239	-16828.19582855795	-990.9843110607102	1.0	-16828.19582855795
340000	-15834.99834326934	-16813.583861661253	-978.5855183919115	1.0	-16813.583861661253
350000	-15816.192010764593	-16814.320087649736	-998.1280768851436	1.0	-16814.320087649736
360000	-15837.735097641358	-16829.15381223871	-991.4187145973522	1.0	-16829.15381223871
370000	-15819.534608071395	-16804.959119152	-985.4245110806052	1.0	-16804.959119152
380000	-15809.110912968952	-16812.064589614085	-1002.9536766451334	1.0	-16812.064589614085
390000	-15833.835186036491	-16829.14115750463	-995.3059714681377	1.0	-16829.14115750463
400000	-15809.37619031948	-16798.596951186577	-989.2207608670955	1.0	-16798.596951186577
410000	-15822.002220303735	-16810.540888823576	-988.5386685198412	1.0	-16810.540888823576
420000	-15809.07850438824	-16795.000139403142	-985.9216350149011	1.0	-16795.000139403142
430000	-15811.060639099367	-16797.97143772267	-986.9107986233033	1.0	-16797.97143772267
440000	-15815.322298461691	-16803.904542469307	-988.5822440076162	1.0	-16803.904542469307
450000	-15817.123281602015	-16808.47232714549	-991.3490455434742	1.0	-16808.47232714549
460000	-15818.882272998137	-16812.956829450766	-994.0745564526303	1.0	-16812.956829450766
470000	-15820.158161993113	-16795.39539678455	-975.2372347914348	1.0	-16795.39539678455
480000	-15825.704014887006	-16810.56224942235	-984.8582345353439	1.0	-16810.56224942235
490000	-15820.979336934006	-16799.35713606577	-978.3777991317631	1.0	-16799.35713606577
500000	-15811.147625901796	-16810.87207082318	-999.7244449213853	1.0	-16810.87207082318
510000	-15823.348310530826	-16817.549576307876	-994.2012657770495	1.0	-16817.549576307876
520000	-15812.546667555074	-16800.00424476924	-987.4575772141651	1.0	-16800.00424476924
530000	-15802.338386864292	-16798.059655405883	-995.7212685415915	1.0	-16798.059655405883
540000	-15825.824918734317	-16824.102157114652	-998.2772383803341	1.0	-16824.102157114652
550000	-15839.747604332162	-16824.804719109132	-985.0571147769697	0.9348750848354606	-15793.242500149281
560000	-15838.781054301215	-16827.75791894584	-988.9768646446267	0.9348750848354606	-15796.258646474758
570000	-15841.401999086049	-16825.296083734836	-983.894084648788	0.9348750848354606	-15793.626122456992
580000	-15816.706053200542	-16807.12578327091	-990.419730070368	0.9348750848354606	-15777.064143373766
590000	-15834.441219931261	-16810.074047729897	-975.6328277986356	0.9348750848354606	-15778.857406603986
600000	-15819.384602533044	-16787.36688807437	-967.9822855413285	0.9348750848354606	-15757.130807879186
610000	-15816.087295724441	-16789.089712561236	-973.0024168367939	0.9348750848354606	-15759.06836919223
620000	-15811.331279741507	-16797.197965168332	-985.8666854268249	0.9348750848354606	-15767.486356936739
630000	-15811.47602291372	-16800.04787974511	-988.571856831391	0.9348750848354606	-15770.326845126705
640000	-15833.877382961668	-16822.186095423014	-988.3087124613464	0.9348750848354606	-15791.006174131915
650000	-15828.565425300734	-16823.431542348546	-994.8661170478126	0.9348750848354606	-15792.597561849472
660000	-15821.43337683568	-16809.392114490645	-987.9587376549662	0.9348750848354606	-15779.02260804281
670000	-15837.12359695134	-16820.48781001388	-983.3642130625416	0.9348750848354606	-15789.096479312098
680000	-15836.661925265204	-16827.316717787835	-990.6547925226319	0.9348750848354606	-15795.955453415447
690000	-15826.203134893343	-16810.410574131263	-984.20743923792	0.9348750848354606	-15779.730437594566
700000	-15822.144428731426	-16798.09008891897	-975.9456601875429	0.9348750848354606	-15767.674275276746
