# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 21:41:29 AEST 2020 [seed=1595747310004]
# -threads 8 xml/biphone_binary_SSGR_2020-07-23_ch1.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14291.021124806204	-16464.01978320135	-2172.998658395147	1.0	-16464.01978320135
60000	-14291.140820975885	-16464.085231688874	-2172.9444107129902	1.0	-16464.085231688874
70000	-14299.191652471953	-16460.76074763669	-2161.569095164738	1.0	-16460.76074763669
80000	-14293.791958286427	-16468.485735485425	-2174.693777198997	1.0	-16468.485735485425
90000	-14266.841478288043	-16451.372432423606	-2184.530954135564	1.0	-16451.372432423606
100000	-14273.644244445939	-16430.130453725786	-2156.486209279846	1.0	-16430.130453725786
110000	-14283.097566256667	-16449.79553879603	-2166.6979725393617	1.0	-16449.79553879603
120000	-14285.334527579045	-16432.71448538177	-2147.3799578027256	1.0	-16432.71448538177
130000	-14295.929417299238	-16437.97071833239	-2142.041301033154	1.0	-16437.97071833239
140000	-14303.617498131243	-16471.670469793517	-2168.0529716622723	1.0	-16471.670469793517
150000	-14314.060787588058	-16485.58011694849	-2171.5193293604334	1.0	-16485.58011694849
160000	-14309.510915463543	-16487.74610036583	-2178.2351849022884	1.0	-16487.74610036583
170000	-14309.591021024182	-16488.276576404856	-2178.685555380674	1.0	-16488.276576404856
180000	-14298.693575995305	-16479.985201785737	-2181.2916257904335	1.0	-16479.985201785737
190000	-14291.484506382409	-16456.97812369155	-2165.4936173091432	1.0	-16456.97812369155
200000	-14289.414791713567	-16457.586172072264	-2168.1713803586963	1.0	-16457.586172072264
210000	-14302.104481566768	-16483.811461532314	-2181.706979965546	1.0	-16483.811461532314
220000	-14318.023826894903	-16491.91656128907	-2173.8927343941646	1.0	-16491.91656128907
230000	-14295.481552191915	-16457.763970925636	-2162.282418733722	1.0	-16457.763970925636
240000	-14329.211615130815	-16514.785613932047	-2185.573998801233	1.0	-16514.785613932047
250000	-14303.443370755765	-16456.496074083567	-2153.052703327801	1.0	-16456.496074083567
260000	-14301.68531461913	-16459.97337420524	-2158.288059586111	1.0	-16459.97337420524
270000	-14306.40877568921	-16468.3323661836	-2161.9235904943907	1.0	-16468.3323661836
280000	-14318.101651882978	-16490.37326340094	-2172.271611517962	1.0	-16490.37326340094
290000	-14269.385957959581	-16440.10426960205	-2170.718311642468	1.0	-16440.10426960205
300000	-14316.737764514251	-16502.595445435007	-2185.8576809207557	1.0	-16502.595445435007
310000	-14295.562092194807	-16459.98612696823	-2164.424034773423	1.0	-16459.98612696823
320000	-14299.797085224442	-16471.119175528394	-2171.3220903039523	1.0	-16471.119175528394
330000	-14285.26385757457	-16471.683635094098	-2186.4197775195275	1.0	-16471.683635094098
340000	-14319.38782735133	-16504.604613666128	-2185.2167863147997	1.0	-16504.604613666128
350000	-14299.78537739643	-16470.837447080583	-2171.0520696841527	1.0	-16470.837447080583
360000	-14301.709000127355	-16471.394580651533	-2169.6855805241776	1.0	-16471.394580651533
370000	-14283.60906369203	-16449.931741789533	-2166.3226780975015	1.0	-16449.931741789533
380000	-14290.541231796566	-16441.794901784768	-2151.2536699882025	1.0	-16441.794901784768
390000	-14291.140118158095	-16443.38902347673	-2152.2489053186364	1.0	-16443.38902347673
400000	-14314.82241922078	-16468.31827608942	-2153.4958568686397	1.0	-16468.31827608942
410000	-14301.178306180933	-16449.455604629973	-2148.2772984490407	1.0	-16449.455604629973
420000	-14285.491887779135	-16430.63729949183	-2145.145411712695	1.0	-16430.63729949183
430000	-14288.897466614513	-16440.993180843074	-2152.095714228561	1.0	-16440.993180843074
440000	-14292.923111338621	-16463.087091988633	-2170.163980650011	1.0	-16463.087091988633
450000	-14294.632023788152	-16446.0322595234	-2151.4002357352465	1.0	-16446.0322595234
460000	-14301.795509912303	-16462.333358699147	-2160.5378487868443	1.0	-16462.333358699147
470000	-14314.580588856661	-16471.51848489421	-2156.9378960375516	1.0	-16471.51848489421
480000	-14315.613221209791	-16472.180434384216	-2156.5672131744245	1.0	-16472.180434384216
490000	-14290.972217973651	-16454.756645488047	-2163.7844275143957	1.0	-16454.756645488047
500000	-14312.466245561187	-16500.50554123699	-2188.039295675805	1.0	-16500.50554123699
510000	-14313.010226097347	-16486.455753496855	-2173.4455273995072	1.0	-16486.455753496855
520000	-14278.707736979848	-16457.689286585366	-2178.9815496055185	1.0	-16457.689286585366
530000	-14296.355923009987	-16452.598964147986	-2156.2430411379987	1.0	-16452.598964147986
540000	-14304.053040782866	-16462.791527051224	-2158.738486268358	1.0	-16462.791527051224
550000	-14324.89439441732	-16487.383961253236	-2162.4895668359145	0.9348750848354606	-15554.47642907582
560000	-14318.6238692585	-16464.129587194173	-2145.5057179356727	0.9348750848354606	-15531.630422435763
570000	-14314.359398973278	-16469.693758145404	-2155.3343591721264	0.9348750848354606	-15537.472316652542
580000	-14313.899044308942	-16469.496691744032	-2155.5976474350905	0.9348750848354606	-15537.30523080963
590000	-14313.45836797537	-16454.718514635242	-2141.260146659872	0.9348750848354606	-15522.555752709679
600000	-14331.608453021137	-16485.662064911256	-2154.0536118901186	0.9348750848354606	-15552.317280236857
610000	-14296.4918220127	-16450.09370199204	-2153.6018799793387	0.9348750848354606	-15519.03588493293
620000	-14287.676587217451	-16454.14894930719	-2166.4723620897375	0.9348750848354606	-15523.665223666276
630000	-14296.317273333918	-16496.30637630935	-2199.989102975431	0.9348750848354606	-15565.259926718138
640000	-14315.566226388071	-16487.02393432393	-2171.4577079358587	0.9348750848354606	-15554.723898298062
650000	-14328.543598120927	-16488.25163099487	-2159.7080328739426	0.9348750848354606	-15555.10644473584
660000	-14296.420707881694	-16453.243958348183	-2156.8232504664893	0.9348750848354606	-15522.190772590822
670000	-14282.65822046475	-16455.782548700416	-2173.124328235666	0.9348750848354606	-15525.625643768537
680000	-14304.951927884242	-16465.64826172304	-2160.696333838797	0.9348750848354606	-15534.039480986763
690000	-14338.091238246194	-16492.315553164535	-2154.2243149183423	0.9348750848354606	-15558.548577652326
700000	-14315.492571731376	-16473.971952787364	-2158.4793810559872	0.9348750848354606	-15541.676713514764
710000	-14328.707111342943	-16497.157389893415	-2168.450278550472	0.9348750848354606	-15564.001554849672
720000	-14315.712954040479	-16498.52082044917	-2182.8078664086897	0.9348750848354606	-15566.211228797385
730000	-14297.838167897527	-16472.47343306867	-2174.6352651711422	0.9348750848354606	-15541.32793534803
740000	-14332.1954448236	-16524.676627740726	-2192.481182917126	0.9348750848354606	-15591.293615274992
750000	-14315.722788195348	-16508.018793242572	-2192.296005047225	0.9348750848354606	-15575.708561142286
760000	-14292.49670017541	-16483.812296755525	-2191.3155965801147	0.9348750848354606	-15553.01466166714
770000	-14307.548754296227	-16479.39251725608	-2171.8437629598543	0.9348750848354606	-15547.614618420028
780000	-14296.662690510122	-16473.07663068938	-2176.4139401792568	0.9348750848354606	-15542.00768583387
790000	-14324.425643435861	-16500.74569380549	-2176.3200503696285	0.9348750848354606	-15567.868688995975
800000	-14303.605583297222	-16493.036428173702	-2189.430844876481	0.9348750848354606	-15561.515328014439
810000	-14331.530342849848	-16502.00910572296	-2170.47876287311	0.9348750848354606	-15568.669407966838
820000	-14309.943958077802	-16482.40227440043	-2172.458316322628	0.9348750848354606	-15550.468388121299
830000	-14302.895158008056	-16485.93524662442	-2183.040088616364	0.9348750848354606	-15554.460412851844
840000	-14309.042688865597	-16455.44659303632	-2146.4039041707224	0.9348750848354606	-15523.571401838173
850000	-14338.272017455298	-16497.62576318186	-2159.3537457265616	0.9348750848354606	-15563.847014438994
860000	-14344.079917582236	-16513.030044403164	-2168.9501268209287	0.9348750848354606	-15578.873056657247
870000	-14309.234621050406	-16484.53088464454	-2175.2962635941353	0.9348750848354606	-15552.643193879141
880000	-14292.276734379022	-16453.964638723533	-2161.687904344511	0.9348750848354606	-15523.181328888977
890000	-14311.69387188748	-16485.83174489477	-2174.1378730072893	0.9348750848354606	-15553.783895627239
900000	-14298.259575529599	-16477.902870976308	-2179.6432954467086	0.9348750848354606	-15546.72992911938
