PathParameter	MeanPathLikelihood	MLContribution
0.0000	-42599	-0.091423
2.1715e-06	-41602	-0.75356
2.1888e-05	-34838	-1.9045
8.4561e-05	-25936	-3.2321
0.00022061	-21576	-5.0670
0.00046416	-20034	-7.6525
0.00085232	-19395	-10.937
0.0014248	-18814	-14.830
0.0022237	-18315	-19.531
0.0032929	-18218	-25.042
0.0046784	-17929	-31.038
0.0064280	-17551	-37.682
0.0085909	-17293	-44.812
0.011218	-16824	-52.699
0.014361	-16706	-61.696
0.018075	-16522	-71.419
0.022413	-16402	-82.006
0.027432	-16274	-93.342
0.033190	-16150	-105.47
0.039745	-16032	-118.35
0.047156	-15907	-131.99
0.055484	-15791	-146.52
0.064790	-15698	-161.76
0.075138	-15568	-177.84
0.086591	-15488	-194.90
0.099213	-15395	-212.58
0.11307	-15289	-231.02
0.12823	-15194	-250.49
0.14475	-15122	-270.83
0.16271	-15034	-292.32
0.18218	-14998	-314.85
0.20322	-14929	-338.02
0.22591	-14871	-362.42
0.25031	-14833	-387.98
0.27650	-14796	-414.44
0.30455	-14754	-441.98
0.33454	-14727	-470.69
0.36653	-14699	-500.50
0.40060	-14678	-531.39
0.43683	-14655	-563.41
0.47530	-14639	-596.69
0.51608	-14627	-630.91
0.55924	-14606	-666.20
0.60487	-14594	-702.83
0.65304	-14584	-740.56
0.70384	-14573	-779.47
0.75734	-14566	-819.54
0.81363	-14555	-860.70
0.87278	-14547	-903.13
0.93488	-14541	-946.73
1.0000	-14533	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -14830.256904998978

Inner area for path parameter in (2.1715e-06,0.93488) = -14830
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-17827	-0.091578
2.1715e-06	-17968	-0.75531
2.1888e-05	-18247	-1.8440
8.4561e-05	-18513	-3.1317
0.00022061	-17696	-5.0351
0.00046416	-17911	-7.6461
0.00085232	-17944	-10.965
0.0014248	-17497	-14.877
0.0022237	-17307	-19.437
0.0032929	-17069	-25.085
0.0046784	-16828	-31.006
0.0064280	-16560	-37.503
0.0085909	-16525	-44.765
0.011218	-16390	-52.644
0.014361	-16252	-61.777
0.018075	-16020	-71.421
0.022413	-15973	-81.981
0.027432	-15944	-93.423
0.033190	-15889	-105.53
0.039745	-15720	-118.33
0.047156	-15613	-132.07
0.055484	-15551	-146.52
0.064790	-15498	-161.93
0.075138	-15335	-177.62
0.086591	-15269	-194.92
0.099213	-15159	-212.66
0.11307	-15055	-231.02
0.12823	-15009	-250.32
0.14475	-14971	-271.02
0.16271	-14897	-292.03
0.18218	-14806	-314.63
0.20322	-14756	-337.93
0.22591	-14753	-362.31
0.25031	-14762	-388.00
0.27650	-14702	-414.53
0.30455	-14681	-441.91
0.33454	-14640	-470.74
0.36653	-14622	-500.38
0.40060	-14630	-531.52
0.43683	-14600	-563.35
0.47530	-14586	-596.58
0.51608	-14586	-631.05
0.55924	-14566	-666.17
0.60487	-14555	-702.77
0.65304	-14555	-740.56
0.70384	-14536	-779.36
0.75734	-14538	-819.58
0.81363	-14527	-860.70
0.87278	-14520	-903.08
0.93488	-14515	-946.71
1.0000	-14512	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -14829.224388178034
