# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 17:08:30 AEST 2020 [seed=1595747309895]
# -threads 8 xml/biphone_binary_SSGS_2020-07-23_ch1.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-23008.850859888847	-902.0991727660702	-22106.751687122778	3576.36405283958	3576.36405283958	16912.41124883967	0.0	172.75650261287444	147.55300217745904	35.55598261061152	38.70659228218539	210.6333520718757	212.0365321039218	130.20287669318046	135.37090786240304	140.22108421720856	204.9934527140023	86.70203565608782	87.4237665980312	157.93054739451557	16.354119720908976	62.527708682478966	38.165290302630424	3500.0	101.43666744190374	0.0	172.75650261287444	147.55300217745904	35.55598261061152	38.70659228218539	210.6333520718757	212.0365321039218	130.20287669318046	135.37090786240304	140.22108421720856	204.9934527140023	86.70203565608782	87.4237665980312	157.93054739451557	16.354119720908976	62.527708682478966	38.165290302630424	3500.0	101.43666744190374	0.001	0.0	0.366	0.5	0.001	9.999999999999994E-4	-22106.751687122778	0.0	-882.733729462674
10000	-16021.38843808221	-771.1328307608152	-15250.255607321395	4785.9927987264255	4785.9927987264255	27576.94362930107	0.0	9.12337524811841	122.91755838970616	92.22991533449286	59.55628809816527	101.44895727180186	86.885567699797	139.74374385227637	153.84782902076967	131.5345445695565	118.36538282032954	190.39705798766653	291.1464771827339	124.81148004200854	108.01957723062083	195.5108589549671	132.66351170117773	3999.960973235092	142.06982987282836	0.0	9.12337524811841	122.91755838970616	92.22991533449286	59.55628809816527	101.44895727180186	86.885567699797	139.74374385227637	153.84782902076967	131.5345445695565	118.36538282032954	190.39705798766653	291.1464771827339	124.81148004200854	108.01957723062083	195.5108589549671	132.66351170117773	3999.960973235092	142.06982987282836	0.0065986927215272075	0.0	0.366	0.477616559702443	6.446406505857915E-4	6.446406505857918E-4	-15250.255607321395	0.0	-754.7667446193867
20000	-15622.057212061209	-863.5270759919777	-14758.530136069232	4077.2162060340174	4077.2162060340174	87306.71654209576	0.0	85.16168065925771	682.3236909438732	675.6530785298371	368.7659131086828	452.43018590659176	474.37937411678865	532.0050281222984	592.933958380899	579.6739868585985	726.1105450650269	957.6413816077658	1540.7218837748107	655.6249303686528	562.7250205812373	1214.9580191874509	819.4074668538652	3921.453572912964	674.106207412407	0.0	85.16168065925771	682.3236909438732	675.6530785298371	368.7659131086828	452.43018590659176	474.37937411678865	532.0050281222984	592.933958380899	579.6739868585985	726.1105450650269	957.6413816077658	1540.7218837748107	655.6249303686528	562.7250205812373	1214.9580191874509	819.4074668538652	3921.453572912964	674.106207412407	0.002416665784977531	0.0	0.366	0.6083781407882114	1.1826783405918342E-4	1.1826783405918328E-4	-14758.530136069232	0.0	-845.2283404054378
30000	-15563.218469990949	-921.707635254708	-14641.51083473624	4906.746825989789	4906.746825989789	160379.62025441186	0.0	167.42003173534906	1440.5132295176566	1231.1974425675212	687.4287385705434	960.1902168552356	987.7193549409229	1122.9215316679038	1448.4740828239355	1321.1853435592827	1046.6830339282365	2004.6977825795555	3135.0589095297246	1270.4019162086154	967.1277592137903	2492.291905823957	1856.7861376455585	3371.6500521921093	1306.2170278664946	0.0	167.42003173534906	1440.5132295176566	1231.1974425675212	687.4287385705434	960.1902168552356	987.7193549409229	1122.9215316679038	1448.4740828239355	1321.1853435592827	1046.6830339282365	2004.6977825795555	3135.0589095297246	1270.4019162086154	967.1277592137903	2492.291905823957	1856.7861376455585	3371.6500521921093	1306.2170278664946	0.0012407156788655667	0.0	0.366	0.6342820351043733	5.6230077548327936E-5	5.6230077548327936E-5	-14641.51083473624	0.0	-906.0026755271816
40000	-15539.620314556558	-968.0247184205365	-14571.595596136021	6207.571478803607	6207.571478803607	250424.6271994188	0.0	252.86260225390532	2014.8768318653267	1942.3300967076505	1587.1722261280536	1688.8174419503173	1563.5927849604911	1813.5036383343643	2698.1190683769696	2539.863531369839	1916.7192621899283	2861.295573907034	4821.688124975491	1798.4148104914989	1711.8584536716226	3473.4148271405406	2557.8376708910914	3291.0400976953006	2589.1989283205976	0.0	252.86260225390532	2014.8768318653267	1942.3300967076505	1587.1722261280536	1688.8174419503173	1563.5927849604911	1813.5036383343643	2698.1190683769696	2539.863531369839	1916.7192621899283	2861.295573907034	4821.688124975491	1798.4148104914989	1711.8584536716226	3473.4148271405406	2557.8376708910914	3291.0400976953006	2589.1989283205976	7.645340448217073E-4	0.0	0.366	0.5738399195449013	3.7633177646511105E-5	3.763317764651111E-5	-14571.595596136021	0.0	-952.9915039676551
50000	-15534.204421442186	-975.0494119060237	-14559.155009536162	6533.113493409877	6533.113493409877	264393.56442460144	0.0	424.9784638584703	2820.9005580066355	1504.2113211350409	1387.1456873291088	1952.0292030924832	1785.0623787964582	2146.450100726165	2790.531582647012	2779.2004881261637	1877.10101793532	3653.346972234398	5378.044839359723	1828.3036181012776	1927.8719758411808	2304.905515856856	2935.687132726943	3273.1998298156877	2234.512791720043	0.0	424.9784638584703	2820.9005580066355	1504.2113211350409	1387.1456873291088	1952.0292030924832	1785.0623787964582	2146.450100726165	2790.531582647012	2779.2004881261637	1877.10101793532	3653.346972234398	5378.044839359723	1828.3036181012776	1927.8719758411808	2304.905515856856	2935.687132726943	3273.1998298156877	2234.512791720043	6.96376652655444E-4	0.0	0.366	0.5762193159064937	3.3437574819715175E-5	3.3437574819715195E-5	-14559.155009536162	0.0	-959.6439622996603
60000	-15549.544337278929	-990.4245661975071	-14559.119771081421	7101.047155720644	7101.047155720644	300591.25929898344	0.0	215.00578080707191	2386.7407869712106	3388.0995607502855	1454.8870752320854	2044.9133253009045	1904.4940320251928	2200.209586578312	3450.559949396431	3530.4664982221057	2190.726110619679	4128.780323877852	6635.705102404451	2268.2231228797987	2043.0639710390226	2922.975197463623	2934.312362291392	3256.6540379634316	2606.3087766742956	0.0	215.00578080707191	2386.7407869712106	3388.0995607502855	1454.8870752320854	2044.9133253009045	1904.4940320251928	2200.209586578312	3450.559949396431	3530.4664982221057	2190.726110619679	4128.780323877852	6635.705102404451	2268.2231228797987	2043.0639710390226	2922.975197463623	2934.312362291392	3256.6540379634316	2606.3087766742956	6.206205927707866E-4	0.0	0.366	0.5705732789195758	3.05983096691309E-5	3.05983096691309E-5	-14559.119771081421	0.0	-973.9204863223913
70000	-15525.721308713097	-979.6010129598328	-14546.120295753264	6820.468835108418	6820.468835108418	270573.6490460372	0.0	368.77480688636876	2858.107115499006	2228.4746313638525	1218.1422193119568	1375.0384952130107	1600.153867553489	1668.4847282780454	3381.1315321350717	3400.90130390376	2112.940612275609	3465.5317363797067	5991.493408551179	1636.2742515359505	1875.424029285768	4271.253598795018	2594.004501765734	3319.370395010543	2523.790743517912	0.0	368.77480688636876	2858.107115499006	2228.4746313638525	1218.1422193119568	1375.0384952130107	1600.153867553489	1668.4847282780454	3381.1315321350717	3400.90130390376	2112.940612275609	3465.5317363797067	5991.493408551179	1636.2742515359505	1875.424029285768	4271.253598795018	2594.004501765734	3319.370395010543	2523.790743517912	6.435960037385316E-4	0.0	0.366	0.5122812972808185	3.45211783021654E-5	3.452117830216543E-5	-14546.120295753264	0.0	-963.8733339825709
80000	-15517.379111616752	-968.3065245311395	-14549.072587085613	6368.11989923655	6368.11989923655	244525.1629035774	0.0	167.4769528724475	2274.6510256324673	1909.9843897733565	1302.673994649994	1426.0805944350304	1389.2514376020395	1869.9507015087033	2626.321841509272	3173.9876478144906	1909.057382294742	2886.5467308630446	5436.894185132965	1681.3588194890933	1509.0557700314566	2899.124158374936	2676.246404664123	3029.9505507121726	2138.7705464935407	0.0	167.4769528724475	2274.6510256324673	1909.9843897733565	1302.673994649994	1426.0805944350304	1389.2514376020395	1869.9507015087033	2626.321841509272	3173.9876478144906	1909.057382294742	2886.5467308630446	5436.894185132965	1681.3588194890933	1509.0557700314566	2899.124158374936	2676.246404664123	3029.9505507121726	2138.7705464935407	7.5967838468997E-4	0.0	0.366	0.5580552840288966	4.004989399872218E-5	4.0049893998722174E-5	-14549.072587085613	0.0	-951.608548716675
90000	-15538.61215296387	-996.5099594417422	-14542.102193522127	7817.945121983725	7817.945121983725	305601.4677214239	0.0	305.29744385226934	2827.7909253864113	3684.265453632167	1288.540047823228	1516.5209315295838	1668.5730283906619	1399.1726569996674	3312.821760797766	3745.156927178625	2270.969474834988	3710.8341379863773	7119.822993120077	2353.0620501334024	1994.7681791435111	3249.2272114893185	3098.907433571833	3323.695903024231	2805.6876956171677	0.0	305.29744385226934	2827.7909253864113	3684.265453632167	1288.540047823228	1516.5209315295838	1668.5730283906619	1399.1726569996674	3312.821760797766	3745.156927178625	2270.969474834988	3710.8341379863773	7119.822993120077	2353.0620501334024	1994.7681791435111	3249.2272114893185	3098.907433571833	3323.695903024231	2805.6876956171677	6.458523458696357E-4	0.0	0.366	0.5981942542995157	3.118176668393145E-5	3.1181766683931495E-5	-14542.102193522127	0.0	-977.7513779357348
