# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 20:57:38 AEST 2020 [seed=1595747318385]
# -threads 8 xml/biphone_binary_SSGS_2020-07-23_ch2.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14517.461910011394	-15518.212338514959	-1000.7504285035642	1.0	-15518.212338514959
60000	-14521.316462953819	-15515.468299181663	-994.1518362278433	1.0	-15515.468299181663
70000	-14542.87605423132	-15540.684173273698	-997.808119042379	1.0	-15540.684173273698
80000	-14548.534905520026	-15547.968396386235	-999.4334908662087	1.0	-15547.968396386235
90000	-14534.773665431809	-15535.130879914665	-1000.3572144828559	1.0	-15535.130879914665
100000	-14522.933458363066	-15523.302731381851	-1000.3692730187856	1.0	-15523.302731381851
110000	-14536.599285542781	-15530.310792251914	-993.7115067091323	1.0	-15530.310792251914
120000	-14523.107616635347	-15529.107391886526	-1005.9997752511783	1.0	-15529.107391886526
130000	-14531.955388647919	-15529.173303778785	-997.217915130867	1.0	-15529.173303778785
140000	-14568.12823093735	-15566.501577066285	-998.3733461289357	1.0	-15566.501577066285
150000	-14529.124933884204	-15510.614899426604	-981.4899655423993	1.0	-15510.614899426604
160000	-14523.741205312564	-15521.45835659826	-997.7171512856951	1.0	-15521.45835659826
170000	-14527.893086420967	-15521.194729880184	-993.3016434592181	1.0	-15521.194729880184
180000	-14536.589052762807	-15523.024546006178	-986.4354932433715	1.0	-15523.024546006178
190000	-14537.301399810478	-15532.446822738844	-995.1454229283669	1.0	-15532.446822738844
200000	-14529.76091033606	-15520.544230557567	-990.783320221507	1.0	-15520.544230557567
210000	-14524.608846703404	-15513.660293012315	-989.0514463089119	1.0	-15513.660293012315
220000	-14546.845133481243	-15532.725478367942	-985.8803448866989	1.0	-15532.725478367942
230000	-14532.170690841187	-15525.810537867359	-993.6398470261726	1.0	-15525.810537867359
240000	-14530.784913359654	-15512.892434508993	-982.1075211493383	1.0	-15512.892434508993
250000	-14534.181972971344	-15530.300872036198	-996.118899064854	1.0	-15530.300872036198
260000	-14518.48460066678	-15520.338247028953	-1001.8536463621739	1.0	-15520.338247028953
270000	-14522.581498853888	-15509.585030815912	-987.0035319620242	1.0	-15509.585030815912
280000	-14515.534523946666	-15496.193305558092	-980.658781611427	1.0	-15496.193305558092
