PathParameter	MeanPathLikelihood	MLContribution
0.0000	-42328	-0.091757
2.1715e-06	-42181	-0.76209
2.1888e-05	-35125	-1.9340
8.4561e-05	-26593	-3.2779
0.00022061	-21592	-5.0757
0.00046416	-20089	-7.6756
0.00085232	-19459	-10.953
0.0014248	-18805	-14.831
0.0022237	-18327	-19.528
0.0032929	-18200	-24.945
0.0046784	-17807	-30.661
0.0064280	-17243	-37.108
0.0085909	-17071	-44.540
0.011218	-16839	-52.721
0.014361	-16706	-61.720
0.018075	-16536	-71.426
0.022413	-16392	-81.958
0.027432	-16265	-93.401
0.033190	-16178	-105.55
0.039745	-16029	-118.27
0.047156	-15889	-131.87
0.055484	-15781	-146.39
0.064790	-15677	-161.66
0.075138	-15568	-177.91
0.086591	-15501	-195.01
0.099213	-15399	-212.67
0.11307	-15296	-230.99
0.12823	-15183	-250.40
0.14475	-15121	-270.81
0.16271	-15033	-292.33
0.18218	-15001	-314.91
0.20322	-14931	-338.03
0.22591	-14869	-362.40
0.25031	-14833	-388.01
0.27650	-14797	-414.43
0.30455	-14752	-441.97
0.33454	-14728	-470.78
0.36653	-14703	-500.59
0.40060	-14679	-531.44
0.43683	-14656	-563.50
0.47530	-14642	-596.67
0.51608	-14623	-630.86
0.55924	-14607	-666.34
0.60487	-14599	-702.90
0.65304	-14582	-740.55
0.70384	-14574	-779.53
0.75734	-14566	-819.51
0.81363	-14554	-860.65
0.87278	-14547	-903.13
0.93488	-14541	-946.73
1.0000	-14534	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -14829.407499100604

Inner area for path parameter in (2.1715e-06,0.93488) = -14829
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-17827	-0.090923
2.1715e-06	-19256	-0.77121
2.1888e-05	-18284	-1.8832
8.4561e-05	-18513	-3.1223
0.00022061	-17743	-5.0177
0.00046416	-18151	-7.6792
0.00085232	-17944	-10.988
0.0014248	-17497	-14.841
0.0022237	-17331	-19.504
0.0032929	-17069	-25.011
0.0046784	-16828	-30.696
0.0064280	-16560	-37.078
0.0085909	-16525	-44.432
0.011218	-16400	-52.697
0.014361	-16466	-61.829
0.018075	-16160	-71.489
0.022413	-15973	-81.935
0.027432	-15991	-93.375
0.033190	-15909	-105.71
0.039745	-15731	-118.36
0.047156	-15613	-131.87
0.055484	-15551	-146.41
0.064790	-15498	-161.77
0.075138	-15345	-177.67
0.086591	-15350	-195.17
0.099213	-15159	-212.71
0.11307	-15055	-230.95
0.12823	-15028	-250.21
0.14475	-15018	-271.10
0.16271	-14915	-292.06
0.18218	-14806	-314.49
0.20322	-14756	-337.75
0.22591	-14766	-362.34
0.25031	-14762	-387.97
0.27650	-14702	-414.57
0.30455	-14682	-441.93
0.33454	-14685	-470.90
0.36653	-14647	-500.53
0.40060	-14635	-531.53
0.43683	-14600	-563.38
0.47530	-14600	-596.74
0.51608	-14591	-630.93
0.55924	-14569	-666.20
0.60487	-14564	-703.07
0.65304	-14555	-740.50
0.70384	-14548	-779.51
0.75734	-14538	-819.60
0.81363	-14527	-860.58
0.87278	-14527	-903.09
0.93488	-14525	-946.74
1.0000	-14516	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -14828.776486734154
