# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 18:53:06 AEST 2020 [seed=1595747309846]
# -threads 8 xml/biphone_binary_SSHR_2020-07-23_ch1.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-15478.411141395685	-17631.158270420114	-2152.7471290244293	1.0	-17631.158270420114
60000	-15482.500539420014	-17628.523014368235	-2146.02247494822	1.0	-17628.523014368235
70000	-15471.769500292903	-17625.713310988125	-2153.943810695222	1.0	-17625.713310988125
80000	-15483.272123868832	-17661.539136523017	-2178.267012654185	1.0	-17661.539136523017
90000	-15462.260649684198	-17626.111360430386	-2163.850710746189	1.0	-17626.111360430386
100000	-15471.023259904572	-17640.729381579076	-2169.7061216745046	1.0	-17640.729381579076
110000	-15502.485743953728	-17683.914372769817	-2181.4286288160897	1.0	-17683.914372769817
120000	-15484.589782993542	-17659.686791456512	-2175.09700846297	1.0	-17659.686791456512
130000	-15471.493172133982	-17645.981962552607	-2174.4887904186253	1.0	-17645.981962552607
140000	-15485.612384385844	-17655.224094977395	-2169.6117105915505	1.0	-17655.224094977395
150000	-15489.304898971322	-17657.1392594596	-2167.8343604882775	1.0	-17657.1392594596
160000	-15476.458879342736	-17641.028907260134	-2164.5700279173975	1.0	-17641.028907260134
170000	-15483.929144417387	-17634.942166389057	-2151.0130219716707	1.0	-17634.942166389057
180000	-15482.316659214874	-17631.93246545192	-2149.615806237044	1.0	-17631.93246545192
190000	-15477.15001866176	-17630.108774208245	-2152.9587555464855	1.0	-17630.108774208245
200000	-15497.028576872932	-17646.223007632623	-2149.194430759691	1.0	-17646.223007632623
210000	-15492.665402019195	-17639.119386707134	-2146.4539846879397	1.0	-17639.119386707134
220000	-15470.392672754735	-17632.047885943	-2161.6552131882654	1.0	-17632.047885943
230000	-15485.10198110652	-17656.313955470563	-2171.2119743640437	1.0	-17656.313955470563
240000	-15500.38901420551	-17658.193053292518	-2157.8040390870074	1.0	-17658.193053292518
250000	-15476.986879806938	-17643.668690618233	-2166.6818108112952	1.0	-17643.668690618233
260000	-15477.261281396808	-17636.706307112894	-2159.445025716086	1.0	-17636.706307112894
270000	-15485.400836617766	-17648.75633592981	-2163.3554993120442	1.0	-17648.75633592981
280000	-15481.104084495897	-17646.846277211476	-2165.7421927155788	1.0	-17646.846277211476
290000	-15456.637369338827	-17618.21178107394	-2161.574411735113	1.0	-17618.21178107394
300000	-15460.281295431001	-17620.39729649028	-2160.116001059277	1.0	-17620.39729649028
310000	-15488.173602290892	-17632.584023210657	-2144.4104209197644	1.0	-17632.584023210657
320000	-15469.50429068987	-17622.797400636227	-2153.293109946356	1.0	-17622.797400636227
330000	-15479.151633082898	-17616.848104534656	-2137.696471451758	1.0	-17616.848104534656
340000	-15471.076540152118	-17616.42262432873	-2145.3460841766114	1.0	-17616.42262432873
350000	-15470.017598737959	-17621.94530189989	-2151.9277031619304	1.0	-17621.94530189989
360000	-15500.645030158967	-17641.929801114016	-2141.284770955049	1.0	-17641.929801114016
