PathParameter	MeanPathLikelihood	MLContribution
0.0000	-62408	-0.12854
2.1715e-06	-55977	-1.0053
2.1888e-05	-46000	-2.7945
8.4561e-05	-43175	-5.6527
0.00022061	-39921	-8.7920
0.00046416	-32279	-11.358
0.00085232	-26242	-13.382
0.0014248	-20509	-16.147
0.0022237	-19918	-21.140
0.0032929	-19625	-26.955
0.0046784	-19284	-33.531
0.0064280	-19046	-41.133
0.0085909	-18989	-49.543
0.011218	-18729	-58.642
0.014361	-18582	-68.597
0.018075	-18363	-79.314
0.022413	-18201	-90.872
0.027432	-18007	-103.08
0.033190	-17798	-115.99
0.039745	-17595	-129.92
0.047156	-17468	-144.83
0.055484	-17315	-160.25
0.064790	-17123	-176.23
0.075138	-16939	-193.23
0.086591	-16805	-211.30
0.099213	-16676	-230.33
0.11307	-16569	-250.39
0.12823	-16469	-271.35
0.14475	-16370	-293.30
0.16271	-16288	-316.24
0.18218	-16202	-339.96
0.20322	-16112	-364.76
0.22591	-16046	-390.64
0.25031	-15971	-417.55
0.27650	-15916	-445.75
0.30455	-15866	-474.80
0.33454	-15804	-504.97
0.36653	-15765	-536.64
0.40060	-15733	-569.21
0.43683	-15687	-602.89
0.47530	-15660	-638.06
0.51608	-15635	-674.55
0.55924	-15620	-711.85
0.60487	-15581	-750.46
0.65304	-15575	-790.46
0.70384	-15546	-831.22
0.75734	-15526	-873.56
0.81363	-15514	-917.40
0.87278	-15505	-962.36
0.93488	-15490	-1008.5
1.0000	-15481	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -15930.995394990641

Inner area for path parameter in (2.1715e-06,0.93488) = -15931
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-31359	-0.13163
2.1715e-06	-38225	-1.0329
2.1888e-05	-38127	-2.7422
8.4561e-05	-37786	-5.6681
0.00022061	-30789	-9.4844
0.00046416	-24163	-11.175
0.00085232	-19302	-13.383
0.0014248	-19305	-16.122
0.0022237	-18903	-21.105
0.0032929	-18740	-27.013
0.0046784	-18697	-33.599
0.0064280	-18517	-41.065
0.0085909	-18402	-49.588
0.011218	-18159	-58.575
0.014361	-17947	-68.674
0.018075	-17988	-79.366
0.022413	-17758	-90.881
0.027432	-17707	-103.31
0.033190	-17526	-116.16
0.039745	-17253	-129.67
0.047156	-16979	-144.41
0.055484	-17110	-160.61
0.064790	-16877	-176.45
0.075138	-16651	-193.03
0.086591	-16606	-211.41
0.099213	-16478	-230.26
0.11307	-16422	-250.36
0.12823	-16288	-271.48
0.14475	-16226	-293.27
0.16271	-16159	-316.34
0.18218	-16087	-340.18
0.20322	-15960	-364.48
0.22591	-15884	-390.56
0.25031	-15879	-417.70
0.27650	-15824	-445.72
0.30455	-15773	-475.17
0.33454	-15740	-505.08
0.36653	-15703	-536.68
0.40060	-15679	-569.48
0.43683	-15642	-603.05
0.47530	-15607	-638.04
0.51608	-15555	-674.20
0.55924	-15566	-712.21
0.60487	-15541	-750.07
0.65304	-15537	-790.78
0.70384	-15515	-831.33
0.75734	-15492	-873.46
0.81363	-15480	-917.20
0.87278	-15477	-962.47
0.93488	-15467	-1008.6
1.0000	-15451	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -15932.811438597637
