PathParameter	MeanPathLikelihood	MLContribution
0.0000	-58754	-0.12238
2.1715e-06	-53962	-0.99953
2.1888e-05	-47430	-2.8622
8.4561e-05	-43906	-5.7447
0.00022061	-40541	-8.4560
0.00046416	-28900	-9.5726
0.00085232	-20423	-11.578
0.0014248	-20026	-15.917
0.0022237	-19824	-21.040
0.0032929	-19531	-26.906
0.0046784	-19306	-33.594
0.0064280	-19096	-41.124
0.0085909	-18931	-49.433
0.011218	-18703	-58.614
0.014361	-18590	-68.637
0.018075	-18377	-79.263
0.022413	-18164	-90.696
0.027432	-17974	-103.00
0.033190	-17803	-116.00
0.039745	-17594	-129.99
0.047156	-17488	-144.77
0.055484	-17279	-160.13
0.064790	-17134	-176.49
0.075138	-16978	-193.43
0.086591	-16802	-211.40
0.099213	-16695	-230.45
0.11307	-16567	-250.43
0.12823	-16476	-271.62
0.14475	-16397	-293.89
0.16271	-16327	-317.13
0.18218	-16255	-341.55
0.20322	-16210	-366.95
0.22591	-16140	-393.41
0.25031	-16104	-421.31
0.27650	-16069	-450.32
0.30455	-16039	-480.33
0.33454	-16001	-511.56
0.36653	-15980	-544.11
0.40060	-15957	-577.80
0.43683	-15938	-612.68
0.47530	-15918	-648.73
0.51608	-15901	-686.14
0.55924	-15891	-724.83
0.60487	-15879	-764.65
0.65304	-15866	-805.74
0.70384	-15857	-848.11
0.75734	-15847	-891.85
0.81363	-15843	-936.91
0.87278	-15836	-983.06
0.93488	-15827	-1030.6
1.0000	-15823	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -16143.967678123076

Inner area for path parameter in (2.1715e-06,0.93488) = -16144
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-38054	-0.12593
2.1715e-06	-38133	-0.98740
2.1888e-05	-38171	-2.7922
8.4561e-05	-38027	-5.6931
0.00022061	-37988	-9.6813
0.00046416	-18992	-8.6284
0.00085232	-19129	-11.591
0.0014248	-18827	-15.871
0.0022237	-18869	-21.063
0.0032929	-18588	-26.898
0.0046784	-18779	-33.632
0.0064280	-18535	-41.108
0.0085909	-18411	-49.504
0.011218	-18184	-58.506
0.014361	-18153	-68.773
0.018075	-17732	-79.230
0.022413	-17664	-90.743
0.027432	-17613	-103.07
0.033190	-17456	-116.18
0.039745	-17198	-129.77
0.047156	-17111	-145.00
0.055484	-17013	-160.21
0.064790	-16722	-176.20
0.075138	-16717	-193.73
0.086591	-16549	-211.21
0.099213	-16455	-230.39
0.11307	-16369	-250.30
0.12823	-16325	-271.65
0.14475	-16238	-293.74
0.16271	-16184	-317.08
0.18218	-16092	-341.43
0.20322	-16066	-367.05
0.22591	-16056	-393.37
0.25031	-16006	-421.22
0.27650	-15997	-450.31
0.30455	-15958	-480.46
0.33454	-15922	-511.54
0.36653	-15908	-544.03
0.40060	-15901	-577.70
0.43683	-15884	-612.68
0.47530	-15872	-648.78
0.51608	-15868	-686.13
0.55924	-15851	-724.82
0.60487	-15842	-764.69
0.65304	-15836	-805.69
0.70384	-15835	-848.17
0.75734	-15820	-891.71
0.81363	-15813	-936.85
0.87278	-15810	-983.10
0.93488	-15804	-1030.5
1.0000	-15801	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -16143.58958857263
