# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 18:33:29 AEST 2020 [seed=1595747309853]
# -threads 8 xml/biphone_binary_SSHS_2020-07-23_ch1.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-15836.148398787127	-16813.354066489486	-977.2056677023588	1.0	-16813.354066489486
60000	-15826.902010460148	-16831.216268302156	-1004.3142578420083	1.0	-16831.216268302156
70000	-15819.563604527033	-16813.40186183095	-993.8382573039169	1.0	-16813.40186183095
80000	-15844.455762147816	-16822.38007174006	-977.9243095922423	1.0	-16822.38007174006
90000	-15833.280240648695	-16827.377831797006	-994.0975911483112	1.0	-16827.377831797006
100000	-15823.81203031077	-16813.773195913265	-989.9611656024954	1.0	-16813.773195913265
110000	-15837.427023741582	-16824.60845463633	-987.1814308947492	1.0	-16824.60845463633
120000	-15833.746406452055	-16826.88007702857	-993.1336705765151	1.0	-16826.88007702857
130000	-15823.574635648745	-16826.327540442304	-1002.7529047935589	1.0	-16826.327540442304
140000	-15820.374160556665	-16816.847817419704	-996.4736568630391	1.0	-16816.847817419704
150000	-15813.730132085686	-16804.235451124812	-990.5053190391257	1.0	-16804.235451124812
160000	-15810.978509335931	-16804.41416565004	-993.435656314108	1.0	-16804.41416565004
170000	-15834.57557937012	-16818.226760891408	-983.6511815212887	1.0	-16818.226760891408
180000	-15820.032439486406	-16806.3027648925	-986.2703254060955	1.0	-16806.3027648925
190000	-15834.616598360348	-16814.476086601077	-979.8594882407283	1.0	-16814.476086601077
200000	-15809.634291751101	-16794.642043489344	-985.0077517382434	1.0	-16794.642043489344
210000	-15815.341863168318	-16803.703872990045	-988.3620098217268	1.0	-16803.703872990045
220000	-15837.867077103458	-16827.457992417432	-989.5909153139747	1.0	-16827.457992417432
230000	-15836.374001255484	-16819.502630505012	-983.1286292495283	1.0	-16819.502630505012
240000	-15820.113144592664	-16798.21528733056	-978.1021427378962	1.0	-16798.21528733056
250000	-15818.02012409495	-16808.212572579723	-990.1924484847738	1.0	-16808.212572579723
260000	-15811.480151250262	-16801.45602179989	-989.97587054963	1.0	-16801.45602179989
270000	-15803.679154653722	-16776.297310379567	-972.618155725844	1.0	-16776.297310379567
280000	-15822.195474100574	-16793.05594246048	-970.8604683599059	1.0	-16793.05594246048
290000	-15822.347554015025	-16810.682227233807	-988.3346732187813	1.0	-16810.682227233807
300000	-15825.353392882786	-16812.937897579402	-987.5845046966169	1.0	-16812.937897579402
310000	-15828.891490270735	-16807.64491772385	-978.7534274531157	1.0	-16807.64491772385
320000	-15831.02495287476	-16809.036042651056	-978.0110897762956	1.0	-16809.036042651056
330000	-15816.718520172497	-16803.3125859662	-986.5940657937031	1.0	-16803.3125859662
340000	-15821.900702007879	-16798.742971076208	-976.8422690683286	1.0	-16798.742971076208
350000	-15825.8677438049	-16810.911093337865	-985.0433495329661	1.0	-16810.911093337865
360000	-15819.728588550966	-16805.514238072617	-985.7856495216511	1.0	-16805.514238072617
370000	-15836.694992627949	-16823.88264835327	-987.1876557253195	1.0	-16823.88264835327
380000	-15819.640634069223	-16805.439492067424	-985.7988579982006	1.0	-16805.439492067424
390000	-15828.629870062177	-16807.746198263016	-979.1163282008387	1.0	-16807.746198263016
400000	-15835.41251469551	-16821.620457278143	-986.2079425826327	1.0	-16821.620457278143
410000	-15813.120374561373	-16809.14930943934	-996.0289348779676	1.0	-16809.14930943934
420000	-15805.980013218143	-16791.280481432495	-985.3004682143535	1.0	-16791.280481432495
430000	-15825.767687434829	-16814.294342335896	-988.5266549010666	1.0	-16814.294342335896
440000	-15804.98991596028	-16815.38615082639	-1010.3962348661125	1.0	-16815.38615082639
450000	-15817.334854205084	-16803.89529250921	-986.5604383041245	1.0	-16803.89529250921
460000	-15821.319451515963	-16794.264025395794	-972.944573879831	1.0	-16794.264025395794
470000	-15821.72897866266	-16804.00846553935	-982.2794868766903	1.0	-16804.00846553935
480000	-15818.139939190705	-16809.543279184418	-991.4033399937124	1.0	-16809.543279184418
490000	-15821.077496618063	-16818.620125018377	-997.542628400314	1.0	-16818.620125018377
500000	-15800.838276885584	-16789.79522872152	-988.9569518359345	1.0	-16789.79522872152
510000	-15820.932387103185	-16803.171285141103	-982.2388980379184	1.0	-16803.171285141103
520000	-15822.786532628128	-16815.985771499014	-993.1992388708853	1.0	-16815.985771499014
530000	-15815.652140700793	-16811.774235485085	-996.1220947842918	1.0	-16811.774235485085
540000	-15820.274637136636	-16813.13041197519	-992.8557748385551	1.0	-16813.13041197519
550000	-15839.082973462564	-16827.78797627477	-988.7050028122056	0.9348750848354606	-15796.269041343918
560000	-15835.64631101946	-16822.131084818026	-986.4847737985658	0.9348750848354606	-15790.83596223723
570000	-15832.251047202037	-16822.021631210224	-989.7705840081876	0.9348750848354606	-15790.9476248975
580000	-15834.274675755789	-16830.936293969513	-996.6616182137248	0.9348750848354606	-15799.730499018902
590000	-15822.374872476943	-16822.278055901625	-999.9031834246817	0.9348750848354606	-15791.847234630024
600000	-15836.504117930757	-16829.845357907783	-993.3412399770262	0.9348750848354606	-15798.494370724664
610000	-15833.881352821496	-16820.887801269946	-987.0064484484509	0.9348750848354606	-15789.707621442063
620000	-15827.984598884319	-16808.15299111061	-980.1683922262937	0.9348750848354606	-15777.356836882633
630000	-15833.257959701647	-16831.36542717488	-998.1074674732309	0.9348750848354606	-15800.22584577104
640000	-15809.553665429095	-16792.351970555676	-982.7983051265805	0.9348750848354606	-15762.756129305373
650000	-15837.824304497362	-16814.262803215683	-976.4384987183206	0.9348750848354606	-15782.825838994411
