PathParameter	MeanPathLikelihood	MLContribution
0.0000	-55601	-0.12229
2.1715e-06	-57026	-1.0176
2.1888e-05	-46201	-2.8330
8.4561e-05	-44205	-5.7412
0.00022061	-40191	-7.5291
0.00046416	-21638	-8.1821
0.00085232	-20520	-11.629
0.0014248	-20106	-15.959
0.0022237	-19849	-21.053
0.0032929	-19531	-26.912
0.0046784	-19316	-33.587
0.0064280	-19078	-41.088
0.0085909	-18916	-49.378
0.011218	-18676	-58.626
0.014361	-18625	-68.612
0.018075	-18329	-79.100
0.022413	-18137	-90.597
0.027432	-17962	-103.08
0.033190	-17845	-116.16
0.039745	-17599	-129.97
0.047156	-17476	-144.70
0.055484	-17275	-160.19
0.064790	-17150	-176.61
0.075138	-16984	-193.44
0.086591	-16796	-211.41
0.099213	-16702	-230.46
0.11307	-16561	-250.38
0.12823	-16476	-271.61
0.14475	-16395	-293.87
0.16271	-16327	-317.04
0.18218	-16246	-341.50
0.20322	-16214	-366.95
0.22591	-16136	-393.43
0.25031	-16110	-421.42
0.27650	-16072	-450.35
0.30455	-16038	-480.35
0.33454	-16003	-511.63
0.36653	-15983	-544.14
0.40060	-15956	-577.80
0.43683	-15938	-612.74
0.47530	-15921	-648.79
0.51608	-15901	-686.13
0.55924	-15891	-724.83
0.60487	-15879	-764.74
0.65304	-15870	-805.83
0.70384	-15857	-848.06
0.75734	-15845	-891.84
0.81363	-15845	-936.95
0.87278	-15836	-983.14
0.93488	-15829	-1030.7
1.0000	-15823	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -16142.165647216538

Inner area for path parameter in (2.1715e-06,0.93488) = -16142
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-38228	-0.11971
2.1715e-06	-38222	-1.0150
2.1888e-05	-38171	-2.7239
8.4561e-05	-38027	-5.6980
0.00022061	-38224	-9.6698
0.00046416	-18992	-8.1070
0.00085232	-19129	-11.652
0.0014248	-18967	-15.930
0.0022237	-19057	-21.077
0.0032929	-18588	-26.905
0.0046784	-18801	-33.656
0.0064280	-18535	-41.087
0.0085909	-18438	-49.461
0.011218	-18184	-58.435
0.014361	-18153	-68.892
0.018075	-17732	-79.007
0.022413	-17664	-90.601
0.027432	-17622	-103.05
0.033190	-17477	-116.39
0.039745	-17198	-129.68
0.047156	-17154	-145.02
0.055484	-17013	-160.21
0.064790	-16825	-176.50
0.075138	-16717	-193.77
0.086591	-16549	-211.03
0.099213	-16455	-230.36
0.11307	-16370	-250.14
0.12823	-16370	-271.84
0.14475	-16251	-293.74
0.16271	-16184	-316.98
0.18218	-16092	-341.17
0.20322	-16121	-367.27
0.22591	-16056	-393.23
0.25031	-16006	-421.28
0.27650	-15997	-450.36
0.30455	-15971	-480.49
0.33454	-15964	-511.66
0.36653	-15908	-544.06
0.40060	-15910	-577.77
0.43683	-15886	-612.66
0.47530	-15872	-648.84
0.51608	-15870	-686.12
0.55924	-15851	-724.78
0.60487	-15850	-764.74
0.65304	-15836	-805.87
0.70384	-15838	-848.17
0.75734	-15823	-891.65
0.81363	-15820	-937.03
0.87278	-15810	-983.10
0.93488	-15805	-1030.7
1.0000	-15801	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -16143.688511537968
