lex_ID,tip_label,n_entries
200,WesternArrarnta,343
1026,Githabul,1373
1025,Bandjalang,1361
1009,Gamilaraay,812
592,Muruwari,1201
206,Wailwan,727
1008,Yuwaalaraay,1559
13,Dyirbal,712
1012,Wargamay,912
821,Gumbaynggir,335
985,Yaygirr,921
771,Kalkatungu,1407
631,Yalarnnga,595
865,Diyari,353
572,Ngamini,860
598,Yandruwandha,811
982,Nhirrpi,312
518,Yarluyandi,319
269,Wangkumara,732
433,PittaPitta,670
118,Badimaya,542
905,Malgana,294
534,Nhanta,602
1021,Wajarri,1161
204,WembaWemba,1128
99,BidyaraGungabula,758
94,Biri,699
5,Gangulu,531
63,Dharumbal,562
962,Gunya,666
800,Guwamu,430
958,Margany,357
835,GuguBadhun,483
767,Karajarri,1748
642,MangalaMcK,1229
507,Nyangumarta,1545
737,Kukatj,783
952,Ngawun,316
618,Mirniny,380
1031,Ngadjumaya,828
851,Bilinarra,1731
852,Gurindji,4910
790,Jaru,2160
606,Mudburra,827
565,Ngarinyman,1395
1019,WalmajarriHR,3911
1024,Ngardily,419
252,Warlmanpa,890
242,Warlpiri,4955
911,Nyawaygi,558
475,Paakantyi,1198
972,Kunjen,422
611,Mbakwithi,390
901,GuuguYimidhirr,309
1032,KukuYalanji,1789
38,Djabugay,921
427,Yidiny,1667
966,WikMungkan,3831
740,KuguNganhcara,483
656,KuukuYau,1068
928,Pakanh,481
377,Umpila,793
949,KokNar,361
946,Kurtjar,1139
967,Thaynakwith,665
650,Linngithigh,490
920,Yadhaykenu,583
744,KokoBera,973
1042,KuukThaayorre,3326
964,Olkola,1522
363,YirYoront,1768
965,UwOykangand,1234
443,Payungu,715
930,Purduna,777
400,Thalanyji,779
778,Jiwarli,1236
1016,Tharrgari,452
228,Warriyangga,372
762,Kariyarra,360
697,Kurrama,808
1029,Martuthunira,1011
563,Ngarla,1342
554,Ngarluma,876
917,Nyamal,879
462,Panyjima,484
417,Yindjibarndi,779
914,Yinhawangka,1182
162,Adnyamathanha,1720
519,Nukunu,358
117,Wirangu,528
1011,YortaYorta,336
101,Batyala,478
30,Duungidjawu,574
91,Bularnu,600
237,Warluwarra,1005
305,Wakaya,1044
546,Yanyuwa,2021
760,Kartujarra,818
113,Yulparija,1797
288,Wangkatja,2130
232,Warnman,1007
734,Kukatja,3370
957,Ngaanyatjarra,1772
943,PintupiLuritja,3729
645,Malyangapa,250
77,Dhangu,410
31,Djinang,2124
62,Dhayyi,1110
1018,Djapu,970
983,Yannhangu,1451
412,Ritharrngu,1496
807,Gupapuyngu,2489
