# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Oct 26 17:25:28 AEST 2020 [seed=1603697101928]
# -window -working -options
# keywords: discretized_branch_rates
state	joint	prior	likelihood	PN_cognates_2020-10-26.treeModel.rootHeight	biphone_binary_2020-10-26.treeModel.rootHeight	PN_cognates_2020-10-26.treeLength	biphone_binary_2020-10-26.treeLength	tmrca(PN_cognates_2020-10-26.Bandjalangic)	tmrca(PN_cognates_2020-10-26.CentralNSW)	tmrca(PN_cognates_2020-10-26.Gumbaynggiric)	tmrca(PN_cognates_2020-10-26.Kalkatungic)	tmrca(PN_cognates_2020-10-26.KanyaraMantharta)	tmrca(PN_cognates_2020-10-26.Karnic)	tmrca(PN_cognates_2020-10-26.Kartu)	tmrca(PN_cognates_2020-10-26.Marrngu)	tmrca(PN_cognates_2020-10-26.Mayi)	tmrca(PN_cognates_2020-10-26.Ngayarta)	tmrca(PN_cognates_2020-10-26.NgumpinYapa)	tmrca(PN_cognates_2020-10-26.PamaMaric)	tmrca(PN_cognates_2020-10-26.SouthWest)	tmrca(PN_cognates_2020-10-26.ThuraYura)	tmrca(PN_cognates_2020-10-26.WakaKabi)	tmrca(PN_cognates_2020-10-26.Warluwaric)	tmrca(PN_cognates_2020-10-26.Wati)	tmrca(PN_cognates_2020-10-26.Yolngu)	age(PN_cognates_2020-10-26.Bandjalangic)	age(PN_cognates_2020-10-26.CentralNSW)	age(PN_cognates_2020-10-26.Gumbaynggiric)	age(PN_cognates_2020-10-26.Kalkatungic)	age(PN_cognates_2020-10-26.KanyaraMantharta)	age(PN_cognates_2020-10-26.Karnic)	age(PN_cognates_2020-10-26.Kartu)	age(PN_cognates_2020-10-26.Marrngu)	age(PN_cognates_2020-10-26.Mayi)	age(PN_cognates_2020-10-26.Ngayarta)	age(PN_cognates_2020-10-26.NgumpinYapa)	age(PN_cognates_2020-10-26.PamaMaric)	age(PN_cognates_2020-10-26.SouthWest)	age(PN_cognates_2020-10-26.ThuraYura)	age(PN_cognates_2020-10-26.WakaKabi)	age(PN_cognates_2020-10-26.Warluwaric)	age(PN_cognates_2020-10-26.Wati)	age(PN_cognates_2020-10-26.Yolngu)	tmrca(biphone_binary_2020-10-26.Bandjalangic)	tmrca(biphone_binary_2020-10-26.CentralNSW)	tmrca(biphone_binary_2020-10-26.Gumbaynggiric)	tmrca(biphone_binary_2020-10-26.Kalkatungic)	tmrca(biphone_binary_2020-10-26.KanyaraMantharta)	tmrca(biphone_binary_2020-10-26.Karnic)	tmrca(biphone_binary_2020-10-26.Kartu)	tmrca(biphone_binary_2020-10-26.Marrngu)	tmrca(biphone_binary_2020-10-26.Mayi)	tmrca(biphone_binary_2020-10-26.Ngayarta)	tmrca(biphone_binary_2020-10-26.NgumpinYapa)	tmrca(biphone_binary_2020-10-26.PamaMaric)	tmrca(biphone_binary_2020-10-26.SouthWest)	tmrca(biphone_binary_2020-10-26.ThuraYura)	tmrca(biphone_binary_2020-10-26.WakaKabi)	tmrca(biphone_binary_2020-10-26.Warluwaric)	tmrca(biphone_binary_2020-10-26.Wati)	tmrca(biphone_binary_2020-10-26.Yolngu)	age(biphone_binary_2020-10-26.Bandjalangic)	age(biphone_binary_2020-10-26.CentralNSW)	age(biphone_binary_2020-10-26.Gumbaynggiric)	age(biphone_binary_2020-10-26.Kalkatungic)	age(biphone_binary_2020-10-26.KanyaraMantharta)	age(biphone_binary_2020-10-26.Karnic)	age(biphone_binary_2020-10-26.Kartu)	age(biphone_binary_2020-10-26.Marrngu)	age(biphone_binary_2020-10-26.Mayi)	age(biphone_binary_2020-10-26.Ngayarta)	age(biphone_binary_2020-10-26.NgumpinYapa)	age(biphone_binary_2020-10-26.PamaMaric)	age(biphone_binary_2020-10-26.SouthWest)	age(biphone_binary_2020-10-26.ThuraYura)	age(biphone_binary_2020-10-26.WakaKabi)	age(biphone_binary_2020-10-26.Warluwaric)	age(biphone_binary_2020-10-26.Wati)	age(biphone_binary_2020-10-26.Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	bcov.alpha.2	bcov.s.2	frequencies.21	frequencies.22	hfrequencies.21	hfrequencies.22	alpha	PN_cognates_2020-10-26.ucld.mean	PN_cognates_2020-10-26.ucld.stdev	biphone_binary_2020-10-26.ucld.mean	biphone_binary_2020-10-26.ucld.stdev	PN_cognates_2020-10-26.meanRate	PN_cognates_2020-10-26.coefficientOfVariation	PN_cognates_2020-10-26.covariance	biphone_binary_2020-10-26.meanRate	biphone_binary_2020-10-26.coefficientOfVariation	biphone_binary_2020-10-26.covariance	PN_cognates_2020-10-26.treeLikelihood	biphone_binary_2020-10-26.treeLikelihood	PN_cognates_2020-10-26.branchRates	biphone_binary_2020-10-26.branchRates	PN_cognates_2020-10-26.speciation	biphone_binary_2020-10-26.speciation
0	-196090.2673875296	-6954.539342350255	-189135.72804517933	3640.507453144275	3555.2705838823035	22137.956130042214	18743.31173504344	42.5642730160968	171.46094758430908	325.04380295077823	14.521549968737112	476.7452160205784	168.5438783959484	467.90970987033245	318.1136529778185	375.31977764816133	310.2322342104899	159.3522143802046	139.4021286409225	609.4347428181171	141.42261592668675	4.8055056006151915	40.39712360846143	3500.0	105.30765332572871	42.5642730160968	171.46094758430908	325.04380295077823	14.521549968737112	476.7452160205784	168.5438783959484	467.90970987033245	318.1136529778185	375.31977764816133	310.2322342104899	159.3522143802046	139.4021286409225	609.4347428181171	141.42261592668675	4.8055056006151915	40.39712360846143	3500.0	105.30765332572871	14.834338980666084	333.1123350420572	85.65602393926035	28.676090126108466	102.11030982390153	174.5515912383067	296.27221816054765	306.32579942237766	98.5943327966562	212.85455263567496	118.07303835968929	105.26921285126043	195.33483688915393	75.65902464710403	40.22953552708447	240.82139065263573	3500.0	234.88832409814512	14.834338980666084	333.1123350420572	85.65602393926035	28.676090126108466	102.11030982390153	174.5515912383067	296.27221816054765	306.32579942237766	98.5943327966562	212.85455263567496	118.07303835968929	105.26921285126043	195.33483688915393	75.65902464710403	40.22953552708447	240.82139065263573	3500.0	234.88832409814512	0.1	0.0	0.537	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.0E-5	0.3333333333333333	0.001	0.3333333333333333	9.598096968912254E-8	6.713831269435805	0.010459593757855825	1.4313721373691103E-4	8.07066726541036	-0.024001429443147964	-152083.524000391	-37052.20404478834	-1199.394378775646	-1199.394378775646	-2434.9796158309623	-2093.557885058437
10000	-57380.65448612668	-3935.0918945086833	-53445.562591618	3164.7845763833884	4094.6340419174867	36182.08063003203	24950.546880216414	18.620360271687552	191.07731860146214	225.79677623051583	20.680766418775214	1433.2396269105084	388.45616552984086	366.1368176278379	438.76227221672076	44.60875286623746	363.67894112070195	204.53426333401936	195.17639888225222	802.829516385193	261.821821791911	57.93126215311057	164.50263716207	3068.6132663069316	128.8051802761441	18.620360271687552	191.07731860146214	225.79677623051583	20.680766418775214	1433.2396269105084	388.45616552984086	366.1368176278379	438.76227221672076	44.60875286623746	363.67894112070195	204.53426333401936	195.17639888225222	802.829516385193	261.821821791911	57.93126215311057	164.50263716207	3068.6132663069316	128.8051802761441	1.269611604865992	79.88364447407749	112.52365042317994	89.15660697879389	76.96721189256375	302.318708900369	172.94313084434788	139.88693695102745	144.69061050861532	350.76116832310885	134.37747321656767	186.79735620114303	148.84129771837246	145.89756654229	29.598995657291788	207.5697416323885	3019.9288639854058	233.26677826769668	1.269611604865992	79.88364447407749	112.52365042317994	89.15660697879389	76.96721189256375	302.318708900369	172.94313084434788	139.88693695102745	144.69061050861532	350.76116832310885	134.37747321656767	186.79735620114303	148.84129771837246	145.89756654229	29.598995657291788	207.5697416323885	3019.9288639854058	233.26677826769668	0.0048891374661974366	0.0	0.537	0.002665618716352539	1.47334263037903	0.5213317715856819	0.47866822841431805	0.5	0.5	0.001607647465422533	0.08943483225081425	0.585121179451667	0.414878820548333	0.5	0.5	0.6089463174062407	9.95888364026099E-5	1.5142848673847524E-4	0.010174141528989765	0.0934758620180864	7.924497780158E-5	1.018782382941477	0.1285606896159327	0.0011569223555859876	2.713676569913159	0.060477667216584076	-38564.41793301342	-14881.144658604579	-1199.394378775646	-1199.394378775646	-773.7093084159501	-738.674755527827
20000	-53022.71414560129	-4000.448672085544	-49022.26547351575	4046.595847854647	5048.258446039207	46978.82416386021	38116.29739714311	47.363484659271315	238.32448465488565	253.81941910132676	214.49984734497338	1619.7464933113974	536.5583440849765	445.0097736778192	366.7514728849706	86.57914907842229	563.5086414573566	303.2929580552933	262.32300346970794	1056.176922459157	371.296407336625	92.43545690587996	324.3362603700865	4035.732726425005	213.77195041529495	47.363484659271315	238.32448465488565	253.81941910132676	214.49984734497338	1619.7464933113974	536.5583440849765	445.0097736778192	366.7514728849706	86.57914907842229	563.5086414573566	303.2929580552933	262.32300346970794	1056.176922459157	371.296407336625	92.43545690587996	324.3362603700865	4035.732726425005	213.77195041529495	0.6384690294329446	132.15928399313424	159.2018269908425	373.52571946809536	247.50755903666783	499.7513594927983	185.2030214246017	217.87882513903048	198.98687364293994	362.7340138548827	256.51522166431397	313.1503963060837	190.77365064342874	238.13762835565993	38.797865036056436	393.0845371963386	4596.210578923327	368.8717675677542	0.6384690294329446	132.15928399313424	159.2018269908425	373.52571946809536	247.50755903666783	499.7513594927983	185.2030214246017	217.87882513903048	198.98687364293994	362.7340138548827	256.51522166431397	313.1503963060837	190.77365064342874	238.13762835565993	38.797865036056436	393.0845371963386	4596.210578923327	368.8717675677542	0.0035529529558889585	0.0	0.537	3.2059964288486445E-4	1.7694642283998256	0.6052429139295062	0.394757086070494	0.5	0.5	8.278951292604525E-4	0.11386047257565099	0.6004304725922333	0.39956952740776686	0.5	0.5	0.6437579278777135	9.449542799720417E-5	1.4526412841590571E-4	0.0071001356179075424	0.09711148957638524	8.138494766734688E-5	0.9565638864134458	0.22189507899811536	5.780178178561657E-4	3.1201938946225494	0.19617715001034358	-34836.86404852542	-14185.401424990328	-1199.394378775646	-1199.394378775646	-794.8873819597771	-782.3533826648687
30000	-51119.31489659528	-4005.341532205356	-47113.97336438992	4217.36223522157	4770.614998749735	49417.96332131887	38687.09193013032	47.34017142994088	327.91855344985333	228.81369634476044	210.73166881047533	1653.3091904657144	544.182333353161	463.8674703826089	343.0128564974477	116.1273748857295	589.8889894592737	334.53705092449985	276.7497961424629	1001.1989099367679	482.3524281726888	91.63133184829071	325.2336097801751	4210.738771756594	325.97969232469427	47.34017142994088	327.91855344985333	228.81369634476044	210.73166881047533	1653.3091904657144	544.182333353161	463.8674703826089	343.0128564974477	116.1273748857295	589.8889894592737	334.53705092449985	276.7497961424629	1001.1989099367679	482.3524281726888	91.63133184829071	325.2336097801751	4210.738771756594	325.97969232469427	3.0668801857663257	137.265623675447	132.10364765763958	326.1079654123823	248.980320303389	514.6166156128936	231.85357858711276	1107.537015886448	206.0626053128167	199.4851716767206	261.1931446331845	339.65059448741476	109.74509599093146	225.12959953757206	97.6728356524812	367.7739904841498	4709.5026884403815	383.0887297578025	3.0668801857663257	137.265623675447	132.10364765763958	326.1079654123823	248.980320303389	514.6166156128936	231.85357858711276	1107.537015886448	206.0626053128167	199.4851716767206	261.1931446331845	339.65059448741476	109.74509599093146	225.12959953757206	97.6728356524812	367.7739904841498	4709.5026884403815	383.0887297578025	0.0033426798088965998	0.0	0.537	9.680917092258831E-5	1.3520632974401687	0.7302315136074933	0.269768486392507	0.5	0.5	3.072139670637594E-4	0.12115265232102139	0.6250548036881552	0.37494519631184464	0.5	0.5	0.7082057861964777	9.824310408393007E-5	1.5204491592740857E-4	0.0055302725984183254	0.06686482903015122	8.772911405518268E-5	0.8759277850904108	0.08149280740264572	5.343282104755202E-4	3.0302955335712496	0.23106170709792195	-33079.047907218126	-14034.925457171794	-1199.394378775646	-1199.394378775646	-797.8792877767264	-784.0146972560632
40000	-49886.0412295819	-4062.0102493923505	-45824.03098018955	4656.1361382998975	6654.54019894641	57406.94439117784	57755.90584607067	44.58830697602087	328.9518335701065	238.72018519668055	126.72451702038866	1665.8663370376632	544.1164311232637	493.7487555242195	452.7450662051651	105.0804236459428	637.9151863209368	401.60478194532544	305.19155947982586	1096.234393708831	562.8766479542376	126.86988869387712	432.8722127267515	4605.86646258941	355.12900499318056	44.58830697602087	328.9518335701065	238.72018519668055	126.72451702038866	1665.8663370376632	544.1164311232637	493.7487555242195	452.7450662051651	105.0804236459428	637.9151863209368	401.60478194532544	305.19155947982586	1096.234393708831	562.8766479542376	126.86988869387712	432.8722127267515	4605.86646258941	355.12900499318056	3.350594986345415	193.23961191675465	219.0915477629315	865.5314037952244	347.55866275058935	725.9413532938773	219.3118677760694	557.0782519186727	309.3945315167688	419.5334417883402	499.83378368875395	491.0634544632901	236.79947366230346	328.3157364312372	102.53833438213425	567.0932802675802	3517.3048091073283	570.4840119632078	3.350594986345415	193.23961191675465	219.0915477629315	865.5314037952244	347.55866275058935	725.9413532938773	219.3118677760694	557.0782519186727	309.3945315167688	419.5334417883402	499.83378368875395	491.0634544632901	236.79947366230346	328.3157364312372	102.53833438213425	567.0932802675802	3517.3048091073283	570.4840119632078	0.002408634552961457	0.0	0.537	1.4727998031220538E-4	0.6896228380040919	0.8259424471615141	0.17405755283848615	0.5	0.5	0.0020643434937814655	0.11482808836220332	0.6294887759935652	0.3705112240064346	0.5	0.5	0.6920790834350505	9.892511419655086E-5	1.5788679171434516E-4	0.0038919940799815875	0.05359640734415093	9.186886544213039E-5	0.9043982439657426	0.194181232656307	3.677591693542737E-4	3.171969139430208	0.23756317042020433	-31915.457486109797	-13908.573494079748	-1199.394378775646	-1199.394378775646	-813.527169004588	-827.2517422667813
50000	-49029.39364981881	-4054.0605316639044	-44975.33311815491	4844.425142634425	5545.011566819479	62608.35389407657	48341.932812009094	42.376018002495336	414.127404325259	204.02360213592922	184.0800845489562	1641.2526230006379	509.2876250691294	510.30160910217927	466.1395421603247	97.82919820500494	665.0014146726334	481.8611024304049	317.1265440826103	911.3691826419861	703.2907711125214	207.8083378652307	492.73252598740606	4797.348230971059	486.1096983467818	42.376018002495336	414.127404325259	204.02360213592922	184.0800845489562	1641.2526230006379	509.2876250691294	510.30160910217927	466.1395421603247	97.82919820500494	665.0014146726334	481.8611024304049	317.1265440826103	911.3691826419861	703.2907711125214	207.8083378652307	492.73252598740606	4797.348230971059	486.1096983467818	4.840208761447448	152.9488765200438	252.0914487445582	596.3600964220434	282.8350358337363	600.0404394397104	337.6471584076478	671.9571589308696	239.07335442629287	331.73746335455394	411.4821733542662	408.088032494615	181.23084059513468	242.63682710111289	83.30938013102066	378.1281430367458	3292.7808348968188	509.63103808918436	4.840208761447448	152.9488765200438	252.0914487445582	596.3600964220434	282.8350358337363	600.0404394397104	337.6471584076478	671.9571589308696	239.07335442629287	331.73746335455394	411.4821733542662	408.088032494615	181.23084059513468	242.63682710111289	83.30938013102066	378.1281430367458	3292.7808348968188	509.63103808918436	0.0026528188711657614	0.0	0.537	3.6915310144955855E-4	0.3758389664388572	0.8917963171779895	0.10820368282201082	0.5	0.5	0.0018608439290254718	0.144836625640426	0.6105095418986305	0.3894904581013692	0.5	0.5	0.6260856914356925	9.973692797323349E-5	1.6178480712678692E-4	0.0037642092763489	0.044398045156442675	9.249721665665332E-5	0.9275605387623977	0.07518467881102553	4.1091604157216096E-4	3.1076537115425684	0.1895996719658757	-31096.731708988984	-13878.601409165924	-1199.394378775646	-1199.394378775646	-824.912286651733	-808.1683589672604
60000	-48607.48142037735	-4075.8676501676664	-44531.61377020968	4920.910885711983	6524.056273133239	63066.88257937862	58311.48494653624	39.865892467787965	420.81545835667475	159.45549905666556	121.89681908242451	1717.247853192843	519.5014540737927	589.3518428749178	561.7319042546759	101.27942576087105	697.41959780775	499.89019888591366	331.65658518341263	807.6552531003264	578.6459140638086	205.4471457942481	525.4001059158535	4806.158151368943	412.1761015167825	39.865892467787965	420.81545835667475	159.45549905666556	121.89681908242451	1717.247853192843	519.5014540737927	589.3518428749178	561.7319042546759	101.27942576087105	697.41959780775	499.89019888591366	331.65658518341263	807.6552531003264	578.6459140638086	205.4471457942481	525.4001059158535	4806.158151368943	412.1761015167825	4.101275866995415	178.67297435736427	189.80174879079544	758.5215726277024	350.41322324456775	239.22841489479558	290.12227331842206	506.1811542590126	360.26512058167185	467.3819199650142	495.02363975756384	491.63700624409216	173.5786812032091	274.82619911311633	158.74970733230398	461.39138018210315	4484.770143359485	887.2073053051034	4.101275866995415	178.67297435736427	189.80174879079544	758.5215726277024	350.41322324456775	239.22841489479558	290.12227331842206	506.1811542590126	360.26512058167185	467.3819199650142	495.02363975756384	491.63700624409216	173.5786812032091	274.82619911311633	158.74970733230398	461.39138018210315	4484.770143359485	887.2073053051034	0.0025279912988449204	0.0	0.537	0.005634598517007424	0.3030116281827435	0.9390949476359879	0.06090505236401224	0.5	0.5	0.0032759282748227496	0.12970572061376268	0.6164012013963336	0.3835987986036658	0.5	0.5	0.7333614797453355	9.619848823529947E-5	1.6223192724689159E-4	0.0029939837919392047	0.03336107362974787	8.925032976037989E-5	0.985912012986848	0.0798689093944816	3.3657697239750307E-4	3.0596150844165177	0.18028507085506273	-30683.467256557196	-13848.146513652488	-1199.394378775646	-1199.394378775646	-825.0626005649588	-828.3716984095819
70000	-48490.410593824156	-4066.38401748258	-44424.026576341574	4418.216919809548	5877.808508163552	65076.545321518075	53157.16807700927	37.105027399980905	376.43293222214936	153.6772791485349	136.23415982681564	1876.3402645475967	537.0663751805671	570.5929379186116	658.626497974256	105.59835789387029	687.492845483307	491.7079644040965	350.95117439662454	1040.7578413417898	650.8895025508718	188.61125615426135	500.51087152060205	4035.633513648208	417.90784314711044	37.105027399980905	376.43293222214936	153.6772791485349	136.23415982681564	1876.3402645475967	537.0663751805671	570.5929379186116	658.626497974256	105.59835789387029	687.492845483307	491.7079644040965	350.95117439662454	1040.7578413417898	650.8895025508718	188.61125615426135	500.51087152060205	4035.633513648208	417.90784314711044	10.04510070216355	164.80319331332703	197.4511870047549	711.1291693109353	319.90713749691554	196.98104643387157	382.00414804001423	460.5766772675836	323.97604409885497	538.362346988071	451.1304280921323	452.05659930677547	106.31197028142473	239.5827988842755	93.97623652458839	631.1756967704162	3823.6478600631144	632.8894943018066	10.04510070216355	164.80319331332703	197.4511870047549	711.1291693109353	319.90713749691554	196.98104643387157	382.00414804001423	460.5766772675836	323.97604409885497	538.362346988071	451.1304280921323	452.05659930677547	106.31197028142473	239.5827988842755	93.97623652458839	631.1756967704162	3823.6478600631144	632.8894943018066	0.002479146097372358	0.0	0.537	0.0010834714963109714	0.219644880811274	0.9388066077524722	0.06119339224752799	0.5	0.5	3.5482984849936373E-4	0.14594400758793985	0.6302147464486848	0.3697852535513143	0.5	0.5	0.7367561321596104	9.471934443074145E-5	1.4738699648618074E-4	0.00302221257740174	0.03222383387105237	8.981907932262631E-5	0.9434429732881174	0.05563163528075582	3.364969421161026E-4	3.025052574413519	0.13658349204715836	-30581.90439406499	-13842.122182276582	-1199.394378775646	-1199.394378775646	-829.3749977526903	-817.6747870466489
80000	-48397.36989005031	-4052.1476369413176	-44345.222253108994	3758.3842558291662	6249.962518727508	63198.99780052149	50683.75955035534	37.05751326233367	405.3807752240359	101.37178979290886	135.7259268459126	1930.776200902106	555.1940297027555	618.8246227701557	776.3233151961408	126.15253888375096	701.6011043037936	522.5085091968904	391.60436852167703	1071.0662188348256	471.168930560644	168.51882003151326	589.3993517497619	3561.798430884219	432.9667216637314	37.05751326233367	405.3807752240359	101.37178979290886	135.7259268459126	1930.776200902106	555.1940297027555	618.8246227701557	776.3233151961408	126.15253888375096	701.6011043037936	522.5085091968904	391.60436852167703	1071.0662188348256	471.168930560644	168.51882003151326	589.3993517497619	3561.798430884219	432.9667216637314	9.931471202214217	176.19333757393045	207.03536972102893	751.0399637328766	382.06950003151013	253.8149876026786	323.5986980404397	432.6010276359604	468.51643004945515	520.9202825713088	478.03374236335236	451.62389013961456	104.1997877527968	234.77919708333604	180.13713674158325	262.96978878740754	3350.855695157596	1044.3938079695017	9.931471202214217	176.19333757393045	207.03536972102893	751.0399637328766	382.06950003151013	253.8149876026786	323.5986980404397	432.6010276359604	468.51643004945515	520.9202825713088	478.03374236335236	451.62389013961456	104.1997877527968	234.77919708333604	180.13713674158325	262.96978878740754	3350.855695157596	1044.3938079695017	0.002686928888252371	0.0	0.537	0.008683734401922043	0.1648811878232258	0.9393101933888519	0.06068980661114832	0.5	0.5	0.0029128375462808263	0.13289695552486602	0.6244978946474881	0.37550210535251105	0.5	0.5	0.7739179174467538	9.686153407038745E-5	1.5979625354194493E-4	0.003046155172317302	0.03388451797864344	9.606736541109379E-5	1.0619940425525958	0.027508051025633102	3.6545868628759407E-4	3.0831364685064058	0.13665502967478615	-30516.48027975686	-13828.741973352133	-1199.394378775646	-1199.394378775646	-825.1336585220248	-809.0807338297088
90000	-48405.84118828825	-4049.2748187537545	-44356.56636953449	3847.704558964335	4130.282758205305	66797.05918618693	50768.39524066318	41.41116319946064	557.0200596150626	103.23026119028142	151.43055316255996	1966.7550191871335	564.4911244336697	629.2680721614623	827.7252650558099	128.24010242429537	741.9615307412078	571.1690522715077	415.29102585446043	941.1943234032391	640.7900978602133	138.18647687986285	585.7178620525775	3738.107044480725	456.9359962823728	41.41116319946064	557.0200596150626	103.23026119028142	151.43055316255996	1966.7550191871335	564.4911244336697	629.2680721614623	827.7252650558099	128.24010242429537	741.9615307412078	571.1690522715077	415.29102585446043	941.1943234032391	640.7900978602133	138.18647687986285	585.7178620525775	3738.107044480725	456.9359962823728	10.862368096783367	232.11668258041433	291.8223005905756	1076.5121689123096	461.80652454926803	342.22713696800173	361.04811645675414	840.947159295977	531.9545415888332	696.108924541983	596.7500149164975	606.9265819702298	152.94327710592944	386.7312846981168	152.7491874275656	352.23659835481317	3430.326082151405	735.569413698587	10.862368096783367	232.11668258041433	291.8223005905756	1076.5121689123096	461.80652454926803	342.22713696800173	361.04811645675414	840.947159295977	531.9545415888332	696.108924541983	596.7500149164975	606.9265819702298	152.94327710592944	386.7312846981168	152.7491874275656	352.23659835481317	3430.326082151405	735.569413698587	0.002590598262244787	0.0	0.537	0.011295922190768498	0.1635870423911681	0.9387298837341039	0.061270116265896485	0.5	0.5	5.584373798186869E-4	0.16899604649961222	0.6215074938014371	0.37849250619856195	0.5	0.5	0.6804094033515637	9.925330316612821E-5	1.7719637669811572E-4	0.0020871952109337627	0.017465935832629714	9.590871046081624E-5	1.1377291833614054	0.017666186650941152	4.005118894789694E-4	2.725501170606898	0.05678370190186969	-30517.11740715954	-13839.448962374952	-1199.394378775646	-1199.394378775646	-831.0161671368256	-800.353250457403
