# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Nov 06 14:30:33 AEST 2020 [seed=1604636984853]
# -window -working -options
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(KanyaraMantharta)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(Wati)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	WPN_cognates_2020-10-12.ucld.mean	WPN_cognates_2020-10-12.ucld.stdev	WPN_cognates_2020-10-12.meanRate	WPN_cognates_2020-10-12.coefficientOfVariation	WPN_cognates_2020-10-12.covariance	WPN_cognates_2020-10-12.treeLikelihood	WPN_cognates_2020-10-12.branchRates	speciation
0	-622217.1966066803	-1808.0034789614444	-620409.1931277189	3548.2095987991515	14082.813694430934	172.50142644908556	222.0018859166255	224.7908445525395	195.80270539328922	103.33874658288367	150.74853595292302	81.90399637707881	3500.0	0.1	0.0	0.537	0.5	0.5	0.5	0.5	0.5	0.5	1.0E-5	0.3333333333333333	7.106924197842824E-6	5.580374645103296	0.038430424067099817	-62055.84127240252	-383.0738674778016	-1490.30996700738
10000	-23966.238642509637	-522.1188974329878	-23444.11974507665	3030.334196013109	18466.719425131017	201.76799833337833	196.67170814523962	207.081703835164	214.28474428700835	285.666288676599	171.73674292300296	285.45609563371136	3025.881842052938	0.0026741971163289358	0.0	0.537	0.005056444510314602	2.1581439676720438	0.4784602978594637	0.5215397021405364	0.5	0.5	9.334644078692631E-5	2.118468289815462E-4	1.2687898379339994E-4	1.109853835947828	0.026964798907812858	-13041.000578295172	-383.0738674778016	-310.01398027222257
20000	-22816.9362928689	-555.5370406743473	-22261.399252194555	3730.3194658088532	27567.326350210755	363.8496435706476	466.2111650345321	330.7371546935695	488.3781826026924	515.5242232757066	369.8542616148948	607.8162915172186	3165.454825884953	0.002346197541319192	0.0	0.537	3.2232302983841604E-4	1.2084311959827807	0.5745770868455299	0.4254229131544699	0.5	0.5	9.806550025253588E-5	1.9309097811397651E-4	1.5018903865854108E-4	0.891575592184995	0.021556121229503872	-12102.485298854053	-383.0738674778016	-322.8433638340057
30000	-22430.937949651478	-573.1623956609495	-21857.775553990527	3426.0589151933486	34015.42281334016	466.6092995114141	611.67448427164	543.3968541596003	763.370179765799	781.3235758847306	585.7241914453828	844.4408686634339	3242.7435248938145	0.002122002640638917	0.0	0.537	0.005527254915405088	0.9692326307379512	0.6572350651264794	0.34276493487352017	0.5	0.5	8.374069829957529E-5	1.8029447627358568E-4	1.279171210685999E-4	0.9284505872470633	0.0635664293343132	-11794.818449263863	-383.0738674778016	-330.5533439832407
40000	-21957.772517739348	-596.2548528388564	-21361.51766490049	4563.190695389962	51162.28040200161	696.7899987021979	1121.1190867099567	941.6640361377293	1085.4677798546631	1206.2508577766578	858.8194878654425	1372.4915274587752	3307.7302989709347	0.0010959590079073597	0.0	0.537	1.3893777767378063E-4	0.5255714563995405	0.7908246921683317	0.20917530783166793	0.5	0.5	7.027165202628381E-5	1.8239691137688992E-4	1.0995975976923334E-4	1.0129213741045349	0.06825182900312768	-11412.425106042534	-383.0738674778016	-346.1996450493853
50000	-21704.480751290594	-617.2574468305485	-21087.223304460043	6838.1003286797195	71833.66121603441	954.7162277117512	1539.7947577749849	1379.329454682004	1479.2853358511502	1706.3494231008156	1243.4173196668653	2058.5969176769154	3844.96168637894	0.0011045650008640736	0.0	0.537	0.0026909578206600684	0.3348548700689827	0.8793241980940444	0.12067580190595524	0.5	0.5	6.467040040155003E-5	4.2399401515812673E-4	8.73436475233165E-5	1.5390315899363822	-0.08148604981945927	-11241.504292168667	-383.0738674778016	-362.7196011925241
60000	-21607.513735172222	-615.3375043364675	-20992.176230835754	6918.341722201598	73961.651229094	1067.113921065029	1581.1150645984349	1594.7782360162798	1599.8607905713047	1807.9345496642218	1363.9287247697832	2282.7503430348875	3323.6727741808704	7.883990430076495E-4	0.0	0.537	0.17271286254968937	0.34661200595555874	0.8883364310100499	0.11166356898994986	0.5	0.5	6.88217893954793E-5	4.195341895479736E-4	8.197335706705172E-5	1.5797024489419047	-0.09494405065329266	-11188.164441140403	-383.0738674778016	-361.37198622095275
70000	-21572.121918642886	-611.5329786206537	-20960.588940022233	6154.766317566384	67573.9762733468	971.3595278809959	1503.2036457307613	1382.4328179357199	1519.1720735334902	1658.3417935134287	1254.462239577923	2095.6326953648872	3068.709341374036	8.645457710531008E-4	0.0	0.537	0.33370463166843495	0.18810668693532487	0.9038001204736268	0.09619987952637257	0.5	0.5	7.097208987790358E-5	3.7712080196231274E-4	8.348474658552966E-5	1.5607517396719348	-0.10735024386352929	-11181.94711006918	-383.0738674778016	-357.3981052331228
80000	-21570.680162989403	-612.9679019185639	-20957.71226107084	6761.394453379838	70118.5263975884	984.295380064486	1492.101134278442	1662.4337831275461	1505.2621191421429	1696.9299810431467	1334.8870016351277	2260.1182207687316	3101.0251583640065	0.0011350479674187843	0.0	0.537	0.3466350437658972	0.24922228457928433	0.8999423226801699	0.10005767731982959	0.5	0.5	7.756481198745139E-5	5.673599566451653E-4	7.703970376457841E-5	1.7055605830533194	-0.042621058643116064	-11171.477269393434	-383.0738674778016	-361.57567660259343
90000	-21577.304216286982	-616.962093486237	-20960.342122800746	6921.072237512508	78532.15138234102	1221.7048786649539	1572.9768459222544	1842.2637827853343	1786.4605327956572	2037.3302631267632	1504.067867240256	2567.2499366928328	3373.883339106312	7.818881768136634E-4	0.0	0.537	0.2376827243361999	0.19527177529518358	0.898286815717014	0.1017131842829855	0.5	0.5	8.020317165390064E-5	4.796891872590566E-4	8.378092107975235E-5	1.6291158862097261	-0.018719380075456527	-11178.593016961664	-383.0738674778016	-363.6748666282961
