# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Oct 27 10:05:04 AEST 2020 [seed=1603757075952]
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(KanyaraMantharta)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(Wati)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	bcov.alpha.2	bcov.s.2	frequencies.21	frequencies.22	hfrequencies.21	hfrequencies.22	alpha	WPN_cognates_2020-10-12.ucld.mean	WPN_cognates_2020-10-12.ucld.stdev	biphone_binary_2020-10-12.ucld.mean	biphone_binary_2020-10-12.ucld.stdev	WPN_cognates_2020-10-12.meanRate	WPN_cognates_2020-10-12.coefficientOfVariation	WPN_cognates_2020-10-12.covariance	biphone_binary_2020-10-12.meanRate	biphone_binary_2020-10-12.coefficientOfVariation	biphone_binary_2020-10-12.covariance	WPN_cognates_2020-10-12.treeLikelihood	biphone_binary_2020-10-12.treeLikelihood	WPN_cognates_2020-10-12.branchRates	biphone_binary_2020-10-12.branchRates	speciation
0	-203905.57161998816	-2207.499580860611	-201698.07203912755	3613.1713050135127	14135.819313573315	156.10062376069925	237.45628042617625	262.40354693849264	125.37304188508354	135.0439655176246	167.75067074886735	54.25067634953265	3500.0	0.1	0.0	0.537	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.0E-5	0.3333333333333333	0.001	0.3333333333333333	1.110035989367828E-6	4.442286999312463	-0.04860997444179866	0.004041573890926514	3.7308168416032452	0.1789472036331641	-61201.89747854919	-11302.447217620287	-383.0738674778016	-383.0738674778016	-1496.9567736113625
10000	-24484.582176126874	-975.3440079906211	-23509.238168136253	4032.5877239306337	41455.21611004073	745.9771688921942	804.4421178457682	729.8492014381707	845.5394840975475	746.7749577096441	653.0085865913406	777.5578066736787	3476.0210100169966	0.0014487005494737927	0.0	0.537	0.0031430682012693876	0.478640746904783	0.5914402335833493	0.4085597664166505	0.5	0.5	0.006403418793110553	0.06921897261041465	0.5772339295788941	0.42276607042110564	0.5	0.5	0.2623179218552631	9.748463414123135E-5	0.001609712836769696	6.296016270104882E-4	0.0044646440978638605	1.4074864634418559E-4	1.5840350675650872	0.17988480187570538	2.4440911070873185E-4	1.887028080774622	0.029172077557402986	-12793.895711015892	-4850.173137455212	-383.0738674778016	-383.0738674778016	-338.5559308225924
20000	-22676.217857321466	-996.8759803621842	-21679.341876959283	3747.3820974718956	50012.53637645818	962.6897908645313	1411.9670601316648	928.3765255511832	1485.066060099736	1264.2982378213246	759.4734117338899	996.7841294434472	3223.2825112975675	0.0011001705498140022	0.0	0.537	0.08495275945159346	0.35428763352233683	0.8989348993376012	0.10106510066239857	0.5	0.5	0.0010245856524094302	0.07545398216447206	0.6354119848083263	0.3645880151916735	0.5	0.5	0.2863172387533846	7.91875173766526E-5	1.7217061208655687E-4	3.79741864090623E-4	0.002339399043720171	1.34843856669409E-4	0.9711052201875885	-0.033283364990715436	1.4123039456809874E-4	2.156685109460805	0.033602151342644486	-11452.75442958038	-4745.810489954686	-383.0738674778016	-383.0738674778016	-344.43109998477007
30000	-22490.58875789706	-1029.6100861426748	-21460.978671754387	5195.668532901187	87842.36452160674	1854.7345877558378	2669.573834094137	1381.7280361484054	3081.338618167025	2249.5127731605335	1443.0520011283465	2161.578624804014	3407.992100461712	8.530444061188592E-4	0.0	0.537	0.1442076208123396	0.18475537700816272	0.8927742623733282	0.10722573762667152	0.5	0.5	9.578431879200155E-4	0.12400423294668886	0.6304628030362623	0.3695371969637374	0.5	0.5	0.3499158910747838	6.0913541716846203E-5	1.2017155763024261E-4	1.2200415393482962E-4	3.8130459238567606E-4	9.015864004554009E-5	1.1253710427660737	0.021421329456874083	6.100464105413276E-5	1.6642136497986726	0.13991062276970442	-11353.657737892083	-4713.283366437533	-383.0738674778016	-383.0738674778016	-369.21153255822964
40000	-22423.01783681277	-1040.6109741574567	-21382.406862655313	6085.045229516838	108600.68698814376	2548.0850450101875	3898.7830154642734	2034.9648146266788	3883.711647592255	2853.1260693103704	1671.1020004393652	2841.458539925511	3182.319075593133	5.481189511555533E-4	0.0	0.537	0.2512275357559381	0.13353909623895152	0.9012845829183717	0.09871541708162807	0.5	0.5	0.001995356750441433	0.12060999048959997	0.677504183778289	0.32249581622171053	0.5	0.5	0.358457322121369	5.244640665160555E-5	1.1114156398177893E-4	8.588155625911151E-5	2.1902494620646738E-4	6.597750094563058E-5	1.2756809043213593	-0.12206673599961589	4.6574253586978156E-5	1.377124690115146	6.256635081336168E-4	-11316.211577954053	-4710.846049357553	-383.0738674778016	-383.0738674778016	-376.688945658036
50000	-22436.260340207624	-1041.4166804385643	-21394.84365976906	6642.242998380663	112128.3015470309	2486.761474455534	4142.707481840716	1690.5158149400763	3830.682888941575	2594.2552176690015	2154.4294457338783	3054.568461078705	3170.3762456047366	5.623343536003585E-4	0.0	0.537	0.21832480910850316	0.1708170630934126	0.8982822775167607	0.101717722483239	0.5	0.5	0.004361782625028056	0.1232526837626297	0.6559788785177414	0.34402112148225794	0.5	0.5	0.34015553699419193	5.6000021076688076E-5	1.1742099237156835E-4	9.922987340358823E-5	2.255361866194435E-4	6.218522973955965E-5	1.343458960560851	-0.03935228777382366	5.1558587434977184E-5	1.4387695993226952	0.0556063723843857	-11322.609875189355	-4721.088437400363	-383.0738674778016	-383.0738674778016	-378.4137192595391
60000	-22405.947270490764	-1042.6458889757394	-21363.301381515026	6728.799083166551	119329.74746590883	3126.0928112952793	4531.3798303655485	2182.611782158449	4070.150735080655	3173.984222188576	2147.998360107316	3475.89590832178	3277.79958982632	5.507910617115201E-4	0.0	0.537	0.2706759438780306	0.1653126156873808	0.9022228685314276	0.09777713146857213	0.5	0.5	0.002788887702525927	0.13416372396590454	0.6568371720313806	0.3431628279686189	0.5	0.5	0.3843204011128224	6.143529044110317E-5	1.772017581497962E-4	6.949824645126287E-5	1.2296158909203288E-4	6.001548662221479E-5	1.5175550578060015	-0.038360558712093165	4.106134710660086E-5	1.1496363929156717	0.34182094670463525	-11315.335147200747	-4719.414044650051	-383.0738674778016	-383.0738674778016	-381.0075146236112
70000	-22361.139502130944	-1037.2017032874887	-21323.937798843453	6973.568621011003	113967.9145251299	2941.4283129991873	4515.803095389945	2093.1320184564042	3307.3154715279034	2872.682522957279	1738.0264919623075	3450.937084453496	3092.499282844329	6.581923712463534E-4	0.0	0.537	0.2608211952839988	0.13144256297953616	0.9015857683187772	0.09841423168122235	0.5	0.5	0.002097802121806199	0.160552336698059	0.6409175192669219	0.3590824807330777	0.5	0.5	0.43445357653316147	7.150801748461663E-5	2.1833674470018665E-4	7.497651948220012E-5	1.3480254657879115E-4	6.42568490129512E-5	1.5341685760613888	-0.055483975017633275	4.114083768553802E-5	1.184145179159197	-0.035362103703822666	-11304.906144772225	-4721.317473792472	-383.0738674778016	-383.0738674778016	-380.8954065610329
80000	-22263.382071854077	-1034.2508857626206	-21229.131186091457	6559.654664501844	111685.88508482432	3083.2939747936493	3791.432638441706	2002.1889893703683	3271.563377025926	2788.2139195126674	1556.8718109756885	3152.875233356787	3120.0083809031166	5.063506953930948E-4	0.0	0.537	0.1824408617947221	0.1546134889246948	0.8993480741278231	0.10065192587217647	0.5	0.5	0.005007826136689851	0.14100722896520662	0.6384951636072218	0.36150483639277775	0.5	0.5	0.3277988600032223	9.020559402126743E-5	3.12729355994373E-4	8.107667985692836E-5	1.6897537961419704E-4	6.63711409134437E-5	1.7791303322323697	-0.021104962353935934	3.952755845326854E-5	1.364497483051741	0.05320238089091753	-11296.953182069527	-4710.075312341189	-383.0738674778016	-383.0738674778016	-377.9621606728402
90000	-22261.235392506165	-1043.6093100890564	-21217.626082417108	6952.3600769200475	122446.50466215372	2914.842889319258	4171.40014418077	2279.4153365667294	3870.6540941073645	2876.578728614992	1839.282844535286	3502.714390951353	3170.2139482793136	5.128325732549665E-4	0.0	0.537	0.25541429405803595	0.14909971742493505	0.9033795543257032	0.09662044567429642	0.5	0.5	0.003984683160925919	0.14113669631638215	0.6357959967769298	0.3642040032230697	0.5	0.5	0.3857996621585408	8.227479069871346E-5	3.059235261550989E-4	7.884898872911406E-5	1.668442555295423E-4	5.80045984934401E-5	1.9404905479860135	0.014297666449712733	3.6539599981640214E-5	1.265061054768368	0.07879015676708077	-11308.569385490884	-4707.355118898191	-383.0738674778016	-383.0738674778016	-381.7282097020505
