# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Oct 27 10:36:39 AEST 2020 [seed=1603757075952]
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
1000	-20949.60824654914	-21997.93435173054	-1048.3261051813975	1.0	-21997.93435173054
2000	-20937.220022106496	-21981.043739451383	-1043.823717344888	1.0	-21981.043739451383
3000	-20944.335848869374	-21989.039750266893	-1044.7039013975184	1.0	-21989.039750266893
4000	-20922.032967829287	-21971.86050471044	-1049.827536881151	1.0	-21971.86050471044
5000	-20918.833512265668	-21962.191349767814	-1043.3578375021466	1.0	-21962.191349767814
6000	-20965.28818693609	-22011.400908276213	-1046.1127213401217	1.0	-22011.400908276213
7000	-20952.10889121468	-22000.72018655157	-1048.61129533689	1.0	-22000.72018655157
8000	-20940.680286119987	-21987.810376275735	-1047.1300901557493	1.0	-21987.810376275735
9000	-20940.745800075707	-21984.998693092217	-1044.2528930165092	1.0	-21984.998693092217
10000	-20952.51510182807	-22001.28034228725	-1048.7652404591774	1.0	-22001.28034228725
11000	-20955.694139007348	-22004.11979178369	-1048.4256527763414	0.7038417613775041	-15797.918326463512
12000	-20965.685718475816	-22015.354754065465	-1049.669035589649	0.7038417613775041	-15806.194200168851
13000	-20964.192882674757	-22011.073723193073	-1046.8808405183145	0.7038417613775041	-15802.35528491785
14000	-20991.50601867337	-22037.654806371538	-1046.1487876981673	0.7038417613775041	-15820.84735784771
15000	-21000.30435587991	-22046.20049375805	-1045.8961378781391	0.7038417613775041	-15826.787345184326
16000	-20999.842135139006	-22042.658470565802	-1042.816335426798	0.7038417613775041	-15823.382212472561
17000	-21002.02587197898	-22046.268677724787	-1044.242805745807	0.7038417613775041	-15826.345687975405
18000	-21015.415636979797	-22060.660072880542	-1045.2444359007457	0.7038417613775041	-15836.771593912948
19000	-21011.607368503635	-22056.692814210113	-1045.0854457064777	0.7038417613775041	-15833.93218532662
20000	-21008.31430669716	-22052.154646447027	-1043.840339749865	0.7038417613775041	-15830.369284947814
21000	-21065.52529515585	-22108.259916057992	-1042.7346209021418	0.4752986965619486	-11055.151336082476
22000	-21080.03788202605	-22127.367275070963	-1047.3293930449138	0.4752986965619486	-11066.643921848394
23000	-21082.67574706411	-22129.194531165325	-1046.518784101215	0.4752986965619486	-11067.087086718993
24000	-21081.01912568995	-22125.511135585373	-1044.4920098954228	0.4752986965619486	-11064.272922533366
25000	-21087.344388575595	-22129.9910930706	-1042.646704495003	0.4752986965619486	-11065.434006337906
26000	-21154.538470562326	-22202.33988452377	-1047.8014139614454	0.4752986965619486	-11102.525975389317
27000	-21096.085730373004	-22139.6089694948	-1043.5232391217944	0.4752986965619486	-11070.465289327207
28000	-21104.889718326136	-22151.18209258813	-1046.2923742619942	0.4752986965619486	-11077.418948466076
29000	-21085.79526122848	-22127.936153747367	-1042.140892518889	0.4752986965619486	-11064.191896152897
30000	-21090.76152774195	-22134.979492604398	-1044.2179648624463	0.4752986965619486	-11068.629428497088
31000	-21211.346320039913	-22261.29064614067	-1049.9443261007596	0.30455107259771197	-7509.882599110445
32000	-21194.112412405386	-22240.34245413345	-1046.2300417280644	0.30455107259771197	-7500.919709682606
33000	-21233.527722483435	-22278.51590208874	-1044.9881796053057	0.30455107259771197	-7511.681822520888
34000	-21267.21738849025	-22310.851753859068	-1043.6343653688173	0.30455107259771197	-7520.5882322022335
35000	-21288.909042167066	-22331.89455635287	-1042.9855141858009	0.30455107259771197	-7526.54559741291
36000	-21254.613581786725	-22300.04051300107	-1045.426931214346	0.30455107259771197	-7518.54229519739
37000	-21226.29670943857	-22268.501572575024	-1042.2048631364523	0.30455107259771197	-7506.696293273253
38000	-21309.953203037665	-22357.46811845757	-1047.5149154199069	0.30455107259771197	-7537.484020412075
39000	-21276.863238564667	-22315.743362820736	-1038.8801242560708	0.30455107259771197	-7518.771645075767
