AIATSIS_Code,Ascii_Name,Attested,BasicVacabCoding,CheckPhonemed,ColorInclude,ColourProject,Count@BasicVocab,Count@ColorTerms,Count@Concepticon,Count@FFRecords,Count@FloraFaunaCode,Count@GrammarCode,Count@MatCulture,Count@ReleaseData,CreatedBy,DateCreated,DateModified,EtymologyofName,Family,glottolog@description,glottolog@hid,glottolog@id,glottolog@lat,glottolog@level,glottolog@long,glottolog@newimport,glottolog@pk,glottolog@status,GrammarCoding,HGProject,Homophoneinc,INC@CVC_coding,INC@MCTowner,Include@FF,ISO639,LastModifiedBy,Latitude,Location,Longitude,materlanguagelist,MatCultureCoding,note about includion,NoteLangEtymology,NotePhonemeProj,NotStandardNote,NumberofEntries,NumberofVarieties,NumberofWords,NumeralsProj,PhonemeProj,PolygonData,Priority1Sources,SoundSymbInclude,SourceLangEtymology,StandardLanguageName,StdHonophones,StdLng@Record_ID,Subgroup_ID,TEMP@Count@BVpny9Y,TEMP@Source,TEMP@StdNote,TEMP@SubgroupName,TEMP@SubsubGroup,Underresourced,UpdatedCoords,ChirilaRelease,Pny8inc
"D54*","Yuwaaliyaay","","","","","","","","1743","","","","","2","CB","11/5/2010","2/1/2016 11:47:39 PM","no-having","Pama-Nyungan","","","yuwa1243","","","","","","","","","","","","","kld","bowern","-29.84291122144783","Balonne, Nerran, etc., Rivers","149.806501013693","yes","","","","","","3280","4","","","","148.8314673833587,-29.50392287766672,0XX148.9513548754403,-29.2949118222314,0XX148.9933898253479,-29.02015825881615,0XX149.2534953363563,-28.78266376451964,0XX149.4633219723795,-28.44536907626062,0XX149.2328988638794,-28.2904022936829,0XX148.6664735538394,-28.347237268516,0XX148.1874124328797,-28.65141411559851,0XX147.7038232713458,-28.93645507256524,0XX148.8314673833587,-29.50392287766672,0XX","2936","","","Yuwaaliyaay","","4","4","","Copied from Curr pending identification","","Central NSW","","","","",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Phase1",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
