# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Oct 27 11:45:38 AEST 2020 [seed=1603763128707]
# keywords: discretized_branch_rates
state	joint	prior	likelihood	WPN_cognates_2020-10-12.treeModel.rootHeight	WPN_phonotactics_2020-10-12.treeModel.rootHeight	WPN_cognates_2020-10-12.treeLength	WPN_phonotactics_2020-10-12.treeLength	tmrca(WPN_cognates_2020-10-12.KanyaraMantharta)	tmrca(WPN_cognates_2020-10-12.Kartu)	tmrca(WPN_cognates_2020-10-12.Marrngu)	tmrca(WPN_cognates_2020-10-12.Ngayarta)	tmrca(WPN_cognates_2020-10-12.NgumpinYapa)	tmrca(WPN_cognates_2020-10-12.SouthWest)	tmrca(WPN_cognates_2020-10-12.ThuraYura)	tmrca(WPN_cognates_2020-10-12.Wati)	tmrca(WPN_phonotactics_2020-10-12.KanyaraMantharta)	tmrca(WPN_phonotactics_2020-10-12.Kartu)	tmrca(WPN_phonotactics_2020-10-12.Marrngu)	tmrca(WPN_phonotactics_2020-10-12.Ngayarta)	tmrca(WPN_phonotactics_2020-10-12.NgumpinYapa)	tmrca(WPN_phonotactics_2020-10-12.SouthWest)	tmrca(WPN_phonotactics_2020-10-12.ThuraYura)	tmrca(WPN_phonotactics_2020-10-12.Wati)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	bcov.alpha.2	bcov.s.2	frequencies.21	frequencies.22	hfrequencies.21	hfrequencies.22	alpha	WPN_cognates_2020-10-12.ucld.mean	WPN_cognates_2020-10-12.ucld.stdev	biphone_binary_2020-10-12.ucld.mean	biphone_binary_2020-10-12.ucld.stdev	WPN_cognates_2020-10-12.meanRate	WPN_cognates_2020-10-12.coefficientOfVariation	WPN_cognates_2020-10-12.covariance	biphone_binary_2020-10-12.meanRate	biphone_binary_2020-10-12.coefficientOfVariation	biphone_binary_2020-10-12.covariance	WPN_cognates_2020-10-12.treeLikelihood	biphone_binary_2020-10-12.treeLikelihood	WPN_cognates_2020-10-12.branchRates	biphone_binary_2020-10-12.branchRates	WPN_cognates_2020-10-12.speciation	WPN_phonotactics_2020-10-12.speciation
0	-227438.68537948257	-3836.4671385990455	-223602.21824088352	3980.583879605212	3687.056997567764	15298.80144929335	14192.156391774372	334.59966269331505	31.068170453576684	86.09236081002442	129.30496888102866	180.39566206099508	24.91993063811272	401.8868335885941	3500.0	172.2693525685403	132.24816563055663	53.056070927705	124.43505656016487	154.44391241333545	137.26994956748706	198.607505853522	3500.0	0.1	0.0	0.537	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.0E-5	0.3333333333333333	0.001	0.3333333333333333	1.0737052099254803E-7	6.790545177649441	-0.03253530917360792	1.1535660002717E-4	5.7026633748261135	-0.06638927546856929	-57695.48200497419	-10867.876796921451	-383.0738674778016	-383.0738674778016	-1614.3521577567678	-1503.2781239529272
10000	-26155.810109521342	-1251.6201402523868	-24904.189969268955	3295.3093817111385	3371.3193788682306	41614.026020468176	13377.728874998393	917.1025753927895	774.4125590790695	539.0589463855196	376.69099805157254	736.5262721500907	1342.640920722823	1567.5507892551527	2933.252928245967	104.21235045405562	137.6368593787151	53.792993680794105	97.51779573906599	98.8151682168929	54.50793750804643	166.98061104519718	3122.0842705455334	0.002323535707711903	0.0	0.537	0.10274810459644199	0.5371955360447356	0.5065193913342629	0.4934806086657372	0.5	0.5	0.012122572321322354	0.10732801229177523	0.5397652527854695	0.4602347472145306	0.5	0.5	0.38038380456179066	9.908726961139829E-5	0.0054903668813032335	0.004710492326648152	0.03711661842211963	5.49598449316584E-5	2.4186119019442662	0.3889578914943534	6.596140387217889E-4	3.1236276010650936	0.012484512020167421	-13893.140260380931	-4930.793483756958	-383.0738674778016	-383.0738674778016	-351.4210617585507	-308.60137297960637
20000	-23022.772954305197	-1276.6061887583598	-21746.166765546837	3547.1574904215227	3680.470672131228	43482.318657486205	17818.834597159173	824.4979062129623	935.528661913837	606.5369687207144	967.5807413352868	1700.8775488661063	968.1909614989798	1567.4626974788307	2487.75831819983	222.7873052639424	237.0474232855685	160.26188713084582	196.93196334610812	172.0789537280451	116.66015913672192	317.65203031984856	3664.495043290866	0.0017425925574889427	0.0	0.537	0.10950608597069535	0.3750114639676745	0.8909781145556311	0.10902188544436883	0.5	0.5	2.7004509677745547E-4	0.10116709165880443	0.6474413887409236	0.35255861125907656	0.5	0.5	0.2718105400886042	9.972153300310082E-5	3.2525766937826307E-4	0.0022951312897613444	0.011220509971749898	1.6024497067960972E-4	1.2086474139955132	0.11468189886548508	4.3131487238628975E-4	1.6970338140363108	0.1484205431308323	-11268.805502170722	-4764.100773242919	-383.0738674778016	-383.0738674778016	-343.8244759991047	-318.25727740135346
30000	-22587.498293781555	-1310.6308658992252	-21276.86742788233	3187.965940952428	3652.9917791387757	45866.66653401227	24812.271029352603	799.8482691981443	1047.0410867053308	888.4286454147984	2148.834346907368	1360.194382431645	916.0279001280392	1244.2026704949974	2292.5798259415474	424.34862612792597	510.9919835188009	363.7053156302393	402.7903643829619	329.46335685506597	258.2169646955558	544.8949533986672	3431.5188327972573	0.0017488837880900812	0.0	0.537	0.1650331703060197	0.19308809143567354	0.8890274887770122	0.11097251122298776	0.5	0.5	2.9314658096335787E-4	0.13780791850579124	0.6387412935651533	0.3612587064348468	0.5	0.5	0.2758776041691857	9.709171935921843E-5	1.9959456059568634E-4	7.794171920811032E-4	0.003574246205517991	1.5728821943018203E-4	0.9798077564551002	0.2207024787589837	2.598789812348587E-4	1.5613658020654915	0.015399283481435891	-11177.387399231886	-4733.5949936790985	-383.0738674778016	-383.0738674778016	-347.2835478338395	-322.7802234868489
40000	-22432.692559303	-1336.3505716474185	-21096.34198765558	3214.8418579067584	3512.965973950532	46294.82331952336	35424.87168090096	815.5996528363638	1365.2083546161668	940.0657159838938	1884.3920413869348	1743.2320548165403	622.035345406695	1369.9749280396793	2334.367813132751	679.447030212389	917.6678534963683	611.2758726185156	755.5559004813516	471.15606224143727	571.7712475081337	868.1379655762705	3412.63171134409	0.0016000789450901106	0.0	0.537	0.23337254015404987	0.18811446312314428	0.8969604607733089	0.10303953922669101	0.5	0.5	5.429053452358268E-4	0.09711095500851165	0.6535868485197295	0.3464131514802707	0.5	0.5	0.3331956562422253	9.045005920007976E-5	1.287725986849281E-4	5.3357391837914E-4	0.002108231296686684	1.3455687551564764E-4	0.8494159670578233	0.21861803623703788	2.1015391404329803E-4	1.5660662483341956	0.2236631395082592	-11137.45213709827	-4710.942943210382	-383.0738674778016	-383.0738674778016	-345.1808147632288	-333.048913193947
50000	-22353.747171813742	-1352.0209246285485	-21001.726247185194	3415.441470734756	3875.4550761614	46613.503418180524	47463.3255701328	854.565644639136	898.7158110834496	936.5256624279286	2366.7902657748054	1890.2180950496513	789.2039205427989	591.8058358267235	1598.5251751145845	994.8750997082986	1175.9821702901459	969.4660958599177	1209.860426794981	772.4036950830724	1153.7679682281855	1078.450285042941	3294.6432844167393	0.0013165818421814225	0.0	0.537	0.27840030981413033	0.21468546616444323	0.8969604607733089	0.10303953922669101	0.5	0.5	2.2059915949106606E-4	0.0777152359125703	0.6430260102780666	0.3569739897219335	0.5	0.5	0.305763127539481	9.374241016662183E-5	1.1326990112286313E-4	3.475852122354615E-4	0.001409102893736509	1.3528446079662476E-4	0.7830117397033187	0.19243054995809533	1.49195970304862E-4	1.7480479441506442	0.17344985074178842	-11119.686296252308	-4691.054885580275	-383.0738674778016	-383.0738674778016	-343.47633806705693	-344.4193642774305
60000	-22345.824612426895	-1375.0649660055453	-20970.75964642135	4636.716322004872	5332.018419921999	53062.40320710987	66818.172509171	831.2918865270141	1097.405984496924	1118.132288894313	2128.0567045408434	2245.1559074223323	761.8961859507856	1130.6973427167784	1686.1735420673347	1418.1954515798645	2036.6561650077504	1323.1840625900518	1762.217991446521	1068.1172266354588	1357.3130010614652	1692.5849967187783	3889.979994178849	9.059337313436915E-4	0.0	0.537	0.24941638230629598	0.18854766656679986	0.9014518249679968	0.09854817503200328	0.5	0.5	0.0020866959078373114	0.12679327055637724	0.6457249747241234	0.35427502527587673	0.5	0.5	0.3546057950491097	8.630271231068407E-5	1.051675920721933E-4	2.1090529365551088E-4	8.33753476062598E-4	1.131338517978114E-4	0.8732194290870265	0.24265662170850913	8.929827721011918E-5	1.5145156560548059	0.08014282224144788	-11121.757070541196	-4690.7498124637295	-383.0738674778016	-383.0738674778016	-350.02482713193655	-358.370041910535
70000	-22347.62486786769	-1380.5318342744104	-20967.09303359328	3741.6365405130628	4727.403229122775	55849.42093965569	66283.31770586548	752.0545288711883	1237.8529698524958	1429.714423852165	2154.0841761235138	2419.2077101293526	1093.1992623678004	1182.4717271246948	2282.095619603503	1608.197345427504	2230.0301432093866	1449.8195373610722	1957.9417271619313	1155.5199696268205	1188.2968070310073	1769.038427899133	3493.176655351595	0.0010206500561159544	0.0	0.537	0.29086107908979975	0.18534582639621683	0.8998963840690163	0.10010361593098392	0.5	0.5	2.7022039540479734E-4	0.11672426672871306	0.6431828150502666	0.3568171849497335	0.5	0.5	0.42769202468956297	8.25641074351815E-5	1.1477410197013368E-4	2.256140671773418E-4	9.458785022107808E-4	1.0257588030563279E-4	0.9031824318576794	0.30490796664608816	7.10331879557739E-5	1.573730326756189	-0.07578868210077883	-11129.675107318995	-4683.670780294958	-383.0738674778016	-383.0738674778016	-350.7023455518005	-357.9737119263897
80000	-22320.64490464288	-1387.4875953104893	-20933.15730933239	5083.995942029116	4239.63130066028	69785.85189126272	62772.6036998592	919.1742034528656	1433.9048328437236	1538.7098330334643	2707.1515798878277	3228.4773389703705	1169.313860760769	1675.94603979012	3070.4300301533212	1760.9916603327936	1887.327433061507	1404.924161666961	1942.1378949752275	1137.002318705413	1263.3643021517164	1507.5565049488976	3205.1676781616993	8.248204733984064E-4	0.0	0.537	0.2901011332309456	0.20499630540823802	0.9055639346380624	0.09443606536193791	0.5	0.5	0.004325463539722295	0.14024234992546547	0.6476380187162359	0.3523619812837641	0.5	0.5	0.4114336071291468	6.989502900505275E-5	1.1277392532801315E-4	2.2969428998704576E-4	8.692408154009222E-4	8.278593343490594E-5	0.9656071255516167	0.07386008528780526	7.978684186244606E-5	1.6813144394037087	0.08574785595464447	-11112.268472473877	-4674.605419955071	-383.0738674778016	-383.0738674778016	-360.976456341165	-355.05094054287144
90000	-22325.054104093273	-1385.2209566525544	-20939.83314744072	4206.103927509554	4929.243699510118	58131.103250346496	74108.41585265768	962.3341057026112	1268.324917389364	1040.3997948041654	2486.0047467664112	3080.916207560549	911.9353613130716	1050.4255920774508	2451.5653035904074	1951.693036492282	2596.7843700818567	1331.605305224897	2540.1628947365575	1356.0938836189061	1586.129522981365	1749.8102517957159	3131.840757560226	8.752511164149923E-4	0.0	0.537	0.30148414478870905	0.15884575349085717	0.9030450905713489	0.09695490942865151	0.5	0.5	8.164131479080228E-4	0.1177226003064201	0.6745139079639297	0.32548609203607043	0.5	0.5	0.4436310303061186	8.78637287252966E-5	1.1302996202608255E-4	1.50574269062792E-4	4.2734104774378497E-4	1.0218817485904352E-4	0.8296619515380546	0.06432699138035809	6.733080331235935E-5	1.576460188843823	0.15396323351243701	-11114.345138795414	-4676.837062460651	-383.0738674778016	-383.0738674778016	-353.5294626623203	-361.5760831611104
