# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Oct 27 12:15:10 AEST 2020 [seed=1603763128707]
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
10000	-20684.225736891232	-22109.346725752657	-1425.120988861425	1.0	-22109.346725752657
20000	-20676.182392651986	-22101.308439219385	-1425.1260465673977	1.0	-22101.308439219385
30000	-20700.469343794648	-22128.43748571563	-1427.9681419209828	1.0	-22128.43748571563
40000	-20670.323207150966	-22100.65846216199	-1430.3352550110237	1.0	-22100.65846216199
50000	-20677.785382840644	-22112.17993778117	-1434.3945549405262	1.0	-22112.17993778117
60000	-20696.50215456161	-22125.95528353087	-1429.453128969259	1.0	-22125.95528353087
70000	-20695.45443524601	-22129.31468086407	-1433.8602456180604	1.0	-22129.31468086407
80000	-20672.98212455329	-22100.462916161534	-1427.4807916082414	1.0	-22100.462916161534
90000	-20677.59400834715	-22101.536371904233	-1423.942363557081	1.0	-22101.536371904233
100000	-20688.50413390153	-22118.620408340845	-1430.1162744393155	1.0	-22118.620408340845
110000	-20688.502779053255	-22111.610438014573	-1423.1076589613176	0.7038417613775041	-15984.539895233549
120000	-20758.5689753251	-22186.67914802132	-1428.1101726962206	0.7038417613775041	-16038.85792396545
130000	-20780.04988851504	-22211.478773430365	-1431.4288849153227	0.7038417613775041	-16057.295799960157
140000	-20780.944949692483	-22209.509089824493	-1428.5641401320104	0.7038417613775041	-16055.061036612517
150000	-20752.895005333827	-22186.56725934405	-1433.6722540102242	0.7038417613775041	-16040.42642824679
160000	-20760.769827173433	-22194.52866668818	-1433.7588395147473	0.7038417613775041	-16046.055642225438
170000	-20730.97879483161	-22161.307818447687	-1430.329023616074	0.7038417613775041	-16021.657653650043
180000	-20722.719559456727	-22149.067681335426	-1426.3481218786997	0.7038417613775041	-16011.863557138777
190000	-20772.48736369433	-22201.481677349148	-1428.9943136548172	0.7038417613775041	-16049.53840790938
200000	-20747.724569324622	-22176.45461111122	-1428.7300417866006	0.7038417613775041	-16031.84504723536
210000	-20984.624262413025	-22414.888482167808	-1430.2642197547839	0.4752986965619486	-11404.228779521936
220000	-20893.861062544664	-22324.212556733182	-1430.3514941885194	0.4752986965619486	-11361.176423362447
230000	-20901.517098334272	-22335.79670816675	-1434.2796098324752	0.4752986965619486	-11368.743442838037
240000	-20845.5916572195	-22286.39928982438	-1440.8076326048829	0.4752986965619486	-11348.690176343942
250000	-20913.5333575679	-22343.31845895804	-1429.7851013901422	0.4752986965619486	-11369.960246746998
260000	-20880.75263627361	-22308.609538588	-1427.8569023143912	0.4752986965619486	-11352.45141356771
270000	-20885.294320549216	-22317.245126486396	-1431.9508059371788	0.4752986965619486	-11358.703973806889
280000	-20880.301580538267	-22306.2457284511	-1425.9441479128318	0.4752986965619486	-11350.324272963067
290000	-20926.827751072804	-22353.243849075337	-1426.416098002532	0.4752986965619486	-11372.91005126385
300000	-20920.940246065078	-22349.594499482493	-1428.6542534174155	0.4752986965619486	-11372.34988322256
310000	-21005.960001419702	-22424.33556433138	-1418.3755629116774	0.30455107259771197	-7815.7632122886835
320000	-21064.464708025575	-22494.038886039365	-1429.5741780137917	0.30455107259771197	-7844.77949853963
330000	-21017.69316079542	-22452.102156306366	-1434.4089955109455	0.30455107259771197	-7835.3699911607855
340000	-21035.385555817807	-22462.726061593665	-1427.340505775856	0.30455107259771197	-7833.689739306587
350000	-21090.34173115254	-22515.621483786435	-1425.2797526338932	0.30455107259771197	-7848.365948308686
360000	-21041.47370593287	-22476.94519104969	-1435.4714851168226	0.30455107259771197	-7843.674871295231
370000	-21059.56028321371	-22489.071305783582	-1429.511022569872	0.30455107259771197	-7843.222695258783
380000	-21094.756235350542	-22518.11871658767	-1423.3624812371288	0.30455107259771197	-7847.793118900408
390000	-21171.081064843518	-22595.754199017203	-1424.673134173686	0.30455107259771197	-7872.348580524889
400000	-21087.911960002195	-22515.454251620955	-1427.5422916187601	0.30455107259771197	-7849.888497883547
410000	-21335.55619414856	-22767.839199862236	-1432.2830057136741	0.1821814557051778	-5319.225691443282
420000	-21520.53470748077	-22936.622573040553	-1416.0878655597855	0.1821814557051778	-5336.7302061224345
430000	-21561.528662400466	-22979.961069292316	-1418.4324068918488	0.1821814557051778	-5346.543085836881
440000	-21529.2983046257	-22948.57416758957	-1419.275862963872	0.1821814557051778	-5341.514768411598
450000	-21489.589373500865	-22897.097619341002	-1407.5082458401366	0.1821814557051778	-5322.512920411044
460000	-21437.643150183292	-22834.975307778855	-1397.3321575955642	0.1821814557051778	-5302.87319358409
470000	-21570.16825991841	-22993.57010732508	-1423.4018474066684	0.1821814557051778	-5353.0865008042265
480000	-21456.283521984195	-22879.593145502768	-1423.3096235185722	0.1821814557051778	-5332.246589576673
490000	-21441.14155342264	-22853.30976902063	-1412.1682155979922	0.1821814557051778	-5318.346595781306
500000	-21517.866934379625	-22934.08709518085	-1416.2201608012263	0.1821814557051778	-5336.376482576818
510000	-21920.40788643163	-23327.120364955554	-1406.7124785239232	0.09921256574801246	-3581.492387179772
520000	-21952.52569440187	-23363.450119195528	-1410.924424793658	0.09921256574801246	-3588.8908235844365
530000	-22197.513142710803	-23611.91775861072	-1414.40461589992	0.09921256574801246	-3616.676848013486
540000	-21885.82412180923	-23301.55897243302	-1415.7348506237909	0.09921256574801246	-3587.083615258226
550000	-21866.832248404902	-23274.438779913533	-1407.606531508631	0.09921256574801246	-3577.0710636542613
560000	-22131.518245941268	-23537.475279403825	-1405.9570334625575	0.09921256574801246	-3601.681742541343
570000	-22108.58720942768	-23522.967542536106	-1414.3803331084266	0.09921256574801246	-3607.8299952194375
580000	-21810.087874441186	-23226.537205976605	-1416.4493315354177	0.09921256574801246	-3580.284108748343
590000	-21878.5141746629	-23294.291066984442	-1415.7768923215406	0.09921256574801246	-3586.400418344106
600000	-21761.58664388466	-23177.61248738409	-1416.0258434994287	0.09921256574801246	-3575.0486891869054
610000	-22625.509185725423	-24016.847893596452	-1391.338707871029	0.04715560318259695	-2458.258240837299
620000	-22722.462193449122	-24105.97383208001	-1383.511638630886	0.04715560318259695	-2455.003049156734
630000	-22829.460557355265	-24215.592461713615	-1386.1319043583503	0.04715560318259695	-2462.668887273744
640000	-22839.188505969112	-24224.917640467505	-1385.7291344983923	0.04715560318259695	-2462.7248446984013
650000	-23152.24436148804	-24544.248143267076	-1392.0037817790367	0.04715560318259695	-2483.761829675884
660000	-22868.285425962	-24249.567458808328	-1381.2820328463288	0.04715560318259695	-2459.649825859358
670000	-22862.999013291246	-24250.703995043554	-1387.7049817523082	0.04715560318259695	-2465.8234907871756
680000	-22861.941669094485	-24263.120780984165	-1401.1791118896795	0.04715560318259695	-2479.247761221177
690000	-23090.33129243544	-24503.85632924269	-1413.5250368072523	0.04715560318259695	-2502.363536588039
700000	-23111.33157277719	-24510.93568695883	-1399.6041141816381	0.04715560318259695	-2489.4328948489438
710000	-25440.11973207128	-26781.716986583342	-1341.5972545120621	0.018074689652218572	-1801.4195233845323
720000	-25436.428865531674	-26802.071333975062	-1365.6424684433878	0.018074689652218572	-1825.3980260486069
730000	-25718.384909929777	-27094.349737571763	-1375.9648276419873	0.018074689652218572	-1840.8166532452692
740000	-25377.844154941544	-26766.183731649806	-1388.3395767082602	0.018074689652218572	-1847.0362338511977
750000	-25440.913089927144	-26819.81311127551	-1378.900021348366	0.018074689652218572	-1838.736629917864
760000	-25513.794708868627	-26920.304092114995	-1406.5093832463688	0.018074689652218572	-1867.6633044595856
770000	-26148.82738726724	-27561.416770447577	-1412.5893831803378	0.018074689652218572	-1885.2213229746264
780000	-25040.061253145504	-26411.136753949933	-1371.0755008044277	0.018074689652218572	-1823.666836827576
790000	-24952.938086388865	-26331.03937184099	-1378.1012854521232	0.018074689652218572	-1829.1178972746268
800000	-25214.925075041014	-26596.261973411092	-1381.3368983700766	0.018074689652218572	-1837.088843705387
810000	-32302.462314153538	-33725.6394637553	-1423.1771496017643	0.004678428381140585	-1574.3019060730244
820000	-34348.84322763018	-35798.32829550096	-1449.4850678707799	0.004678428381140585	-1610.1836708862734
830000	-32329.347602257974	-33760.90265194173	-1431.555049683758	0.004678428381140585	-1582.805587049921
840000	-32472.630604561808	-33900.45944833532	-1427.8288437735146	0.004678428381140585	-1579.7497204041908
850000	-32953.88745748048	-34401.11873550979	-1447.2312780293116	0.004678428381140585	-1601.403680379301
860000	-33006.017879487656	-34427.89425079277	-1421.8763713051148	0.004678428381140585	-1576.2926621009433
