# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Oct 26 14:50:23 AEST 2020 [seed=1603687805667]
# -window -working -options
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-33019.446895338355	-2102.9595423568207	-30916.487352981534	3545.1484792011734	3545.1484792011734	18333.256438865894	299.8621609363993	272.59351268135003	112.93418555378145	14.361390079441838	236.9078602695649	207.5897855310763	58.494685315547024	56.62709591718886	31.03940888830395	213.56106510357455	102.27615816554408	124.65077151094573	324.1663325359126	53.13435871196091	101.40308989548792	46.45419525026252	3500.0	202.18049399025978	299.8621609363993	272.59351268135003	112.93418555378145	14.361390079441838	236.9078602695649	207.5897855310763	58.494685315547024	56.62709591718886	31.03940888830395	213.56106510357455	102.27615816554408	124.65077151094573	324.1663325359126	53.13435871196091	101.40308989548792	46.45419525026252	3500.0	202.18049399025978	0.001	0.0	0.366	0.5	0.5	0.6163641279929664	0.38363587200703375	0.5	0.5	0.5	0.001	0.1	3.7230987697261386E-4	6.498679930243612	-0.02394661435104155	-30916.487352981534	-1199.394378775646	-882.4129252604789
10000	-16093.86305454358	-1966.4687975835973	-14127.394256959984	3686.6646963563726	3686.6646963563726	25836.422695808582	29.654947744207668	301.21259555082645	67.52696672961532	34.73745626056743	411.5480018850408	189.15369755115753	103.13889131300206	239.81219609866412	49.816057311891946	430.03740363919053	217.4338519406892	217.9190187868862	431.0031662228459	57.385152398904836	273.08502721269844	87.98523690878595	3061.7887175898295	159.77731854367886	29.654947744207668	301.21259555082645	67.52696672961532	34.73745626056743	411.5480018850408	189.15369755115753	103.13889131300206	239.81219609866412	49.816057311891946	430.03740363919053	217.4338519406892	217.9190187868862	431.0031662228459	57.385152398904836	273.08502721269844	87.98523690878595	3061.7887175898295	159.77731854367886	0.0059989000405299845	0.0	0.366	1.3425757880363885E-4	0.15693882817228957	0.6163641279929664	0.38363587200703375	0.5	0.5	0.6124998328227044	0.0034204089616376126	0.017458876687210773	7.385481856914116E-4	3.4551745943775427	0.003311901954381754	-14127.394256959984	-1199.394378775646	-747.5593522407661
20000	-15896.492648497348	-1994.3752805148151	-13902.117367982532	4096.447262028198	4096.447262028198	36880.44823346278	33.36339767196779	385.98542524750275	292.76341091258934	53.10608693813296	668.1075306967375	492.7641810066153	261.95849187844556	358.2253794037302	47.77092638439389	596.4397854955845	386.69756314209803	383.3850287498586	513.0396140252102	105.17922462049943	424.53964869981127	144.01365266027923	3635.0590424232946	305.6198356912604	33.36339767196779	385.98542524750275	292.76341091258934	53.10608693813296	668.1075306967375	492.7641810066153	261.95849187844556	358.2253794037302	47.77092638439389	596.4397854955845	386.69756314209803	383.3850287498586	513.0396140252102	105.17922462049943	424.53964869981127	144.01365266027923	3635.0590424232946	305.6198356912604	0.004197075555761757	0.0	0.366	5.366790794621897E-4	0.15903426707027776	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7057644715434996	0.001875891929599122	0.009388355224244102	4.890137360859785E-4	3.5580187846386426	-0.00616441325732194	-13902.117367982532	-1199.394378775646	-777.7670044336639
30000	-15830.173694878893	-2034.3420389606185	-13795.831655918275	4457.292865397187	4457.292865397187	57839.05710086245	33.32684867237762	692.4280034654294	375.87676690427605	27.58293209620483	814.4214983029291	775.5454849386934	577.2868471876046	329.6208525889846	98.46997328406682	1262.132459636033	532.1224115203682	789.1078652512709	779.9083900504576	173.2117649232783	592.6784467949044	296.379036565534	3898.354758558074	637.9752025822302	33.32684867237762	692.4280034654294	375.87676690427605	27.58293209620483	814.4214983029291	775.5454849386934	577.2868471876046	329.6208525889846	98.46997328406682	1262.132459636033	532.1224115203682	789.1078652512709	779.9083900504576	173.2117649232783	592.6784467949044	296.379036565534	3898.354758558074	637.9752025822302	0.0030509313950926836	0.0	0.366	0.0024688496414120684	0.16344324167704602	0.6163641279929664	0.38363587200703375	0.5	0.5	0.72845036071755	0.0011067329954620446	0.005874289592628694	2.92745484865244E-4	3.99200763779518	0.012385053825758682	-13795.831655918275	-1199.394378775646	-818.5257518197111
40000	-15796.927161017627	-2031.5010836215915	-13765.426077396036	4176.545924096781	4176.545924096781	56352.140470962135	316.37800132627825	558.0079707521838	506.3166476661157	30.674936937361906	661.8273233329035	619.1446169490747	404.2398367647606	414.95758060306423	100.84041063136121	1358.907357038373	614.873617727888	795.2331969679415	493.1432103117925	167.5110494841414	410.4861766209382	299.312661812412	3854.9233372942517	621.2057657904952	316.37800132627825	558.0079707521838	506.3166476661157	30.674936937361906	661.8273233329035	619.1446169490747	404.2398367647606	414.95758060306423	100.84041063136121	1358.907357038373	614.873617727888	795.2331969679415	493.1432103117925	167.5110494841414	410.4861766209382	299.312661812412	3854.9233372942517	621.2057657904952	0.0027323631772790684	0.0	0.366	1.3449497617258832E-4	0.1990970745302693	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7246252316745602	0.0010174464907605864	0.00539349276152294	2.7841162962211996E-4	3.901695008425324	0.042509512626010146	-13765.426077396036	-1199.394378775646	-814.8368322512636
50000	-15787.106145965327	-2063.271107339519	-13723.835038625808	4420.101251615447	4420.101251615447	79108.46306951727	237.99497436322665	899.802655818487	821.6192254592634	30.354633122610654	1004.3390952536562	987.912376005957	945.4278581218272	695.6938092007273	162.99743668313215	1154.1994585396942	1360.5288497412973	1100.4103044586936	780.4450347580092	375.1678307952269	504.4006021428879	463.50106368833264	3321.920449664032	841.3173840878347	237.99497436322665	899.802655818487	821.6192254592634	30.354633122610654	1004.3390952536562	987.912376005957	945.4278581218272	695.6938092007273	162.99743668313215	1154.1994585396942	1360.5288497412973	1100.4103044586936	780.4450347580092	375.1678307952269	504.4006021428879	463.50106368833264	3321.920449664032	841.3173840878347	0.001827002507202914	0.0	0.366	0.0013582277200002804	0.16987514047601238	0.6163641279929664	0.38363587200703375	0.5	0.5	0.837115833127729	6.380179151514512E-4	0.003094395177026238	2.1338065918520777E-4	3.49661790652264	0.060316398746805555	-13723.835038625808	-1199.394378775646	-847.9875976530674
60000	-15793.261195451269	-2101.879310454671	-13691.381884996597	5127.3179612081885	5127.3179612081885	120502.01537248962	393.1603960445518	605.5781563833117	1480.7705600938887	46.78593269452668	1257.661969961953	1596.8925624856324	706.6702880081613	1473.958666028474	235.1884092477431	1931.634701045835	1979.6265030202228	1950.8503350978478	1593.5580144453186	496.58295256366785	1594.0598498928634	1673.9777241491624	3276.646822593227	1354.2708788179696	393.1603960445518	605.5781563833117	1480.7705600938887	46.78593269452668	1257.661969961953	1596.8925624856324	706.6702880081613	1473.958666028474	235.1884092477431	1931.634701045835	1979.6265030202228	1950.8503350978478	1593.5580144453186	496.58295256366785	1594.0598498928634	1673.9777241491624	3276.646822593227	1354.2708788179696	0.0013332396820018575	0.0	0.366	3.745699552001981E-4	0.19700441918791198	0.6163641279929664	0.38363587200703375	0.5	0.5	0.780742752273514	4.112395548766119E-4	0.0020292684840166864	1.3914732377395115E-4	3.63708906710672	0.04552753586905701	-13691.381884996597	-1199.394378775646	-888.0867227687729
70000	-15773.850758730143	-2109.431387217466	-13664.419371512677	5615.791771224278	5615.791771224278	133486.5282730523	702.9662983320469	522.3833623271365	1015.4600463655106	31.41967336343646	1505.4016471380874	1162.5992518447606	996.1688140682776	2143.7930798894954	356.7433483169979	1622.8899366025648	1660.432646613075	2265.3730145562504	1273.1803022370218	482.7767678762493	1098.415118388803	2501.424448875785	3227.223606554634	1595.238900957526	702.9662983320469	522.3833623271365	1015.4600463655106	31.41967336343646	1505.4016471380874	1162.5992518447606	996.1688140682776	2143.7930798894954	356.7433483169979	1622.8899366025648	1660.432646613075	2265.3730145562504	1273.1803022370218	482.7767678762493	1098.415118388803	2501.424448875785	3227.223606554634	1595.238900957526	0.001275483638213887	0.0	0.366	0.002319861240402327	0.15145486301288724	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7877199649443583	3.192203147413026E-4	0.001331976622902643	1.243362345557487E-4	3.434155010627401	0.048505072876101465	-13664.419371512677	-1199.394378775646	-896.4001904697178
80000	-15755.624722584278	-2131.3355449629153	-13624.289177621362	6200.885945409587	6200.885945409587	160041.36265377887	1004.3835380422547	685.4364502653106	1761.6760569492383	83.50806862963101	1745.3756075643576	1132.8539719234284	1519.7666547470649	1676.5515970696028	307.1545784737197	2031.025479009908	2280.411950456836	2615.971924899576	1758.5048386599144	536.0762297651215	1103.0605502855324	3138.327807857396	3740.4554312043238	1980.6109689652342	1004.3835380422547	685.4364502653106	1761.6760569492383	83.50806862963101	1745.3756075643576	1132.8539719234284	1519.7666547470649	1676.5515970696028	307.1545784737197	2031.025479009908	2280.411950456836	2615.971924899576	1758.5048386599144	536.0762297651215	1103.0605502855324	3138.327807857396	3740.4554312043238	1980.6109689652342	0.0012479716792346937	0.0	0.366	2.294587161039208E-5	0.1329054639016841	0.6163641279929664	0.38363587200703375	0.5	0.5	0.943489064902007	2.1835384754731772E-4	7.614274586586759E-4	9.425869117100772E-5	2.987611690694868	0.36933830726506384	-13624.289177621362	-1199.394378775646	-918.0006272272634
90000	-15725.5250221897	-2117.558410091027	-13607.966612098673	5640.001763354938	5640.001763354938	144604.89594242323	313.97951672056024	703.7801928741773	1164.0195942394375	71.29572162691511	1448.9997390099231	1054.202238760357	954.4903690766117	1532.4957237403335	389.6108303038709	1879.9175523006827	2247.96190947294	2486.6434256473526	1257.9373063538692	514.4408350233939	1589.4960839349997	3232.264045296053	3291.1952815591208	1792.5017893593792	313.97951672056024	703.7801928741773	1164.0195942394375	71.29572162691511	1448.9997390099231	1054.202238760357	954.4903690766117	1532.4957237403335	389.6108303038709	1879.9175523006827	2247.96190947294	2486.6434256473526	1257.9373063538692	514.4408350233939	1589.4960839349997	3232.264045296053	3291.1952815591208	1792.5017893593792	0.0012826544287062006	0.0	0.366	0.0013699968607298063	0.18508886287731635	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8297349140980453	2.0318278326119063E-4	5.330825307487522E-4	1.0743260283223962E-4	2.525538218035732	0.030344784424188715	-13607.966612098673	-1199.394378775646	-904.7502743880715
